Time,wikipedia
2022-08-29,85
2022-08-30,81
2022-08-31,76
2022-09-01,79
2022-09-02,76
2022-09-03,78
2022-09-04,94
2022-09-05,96
2022-09-06,86
2022-09-07,79
2022-09-08,91
2022-09-09,87
2022-09-10,81
2022-09-11,85
2022-09-12,82
2022-09-13,86
2022-09-14,80
2022-09-15,82
2022-09-16,81
2022-09-17,78
2022-09-18,82
2022-09-19,88
2022-09-20,91
2022-09-21,84
2022-09-22,82
2022-09-23,87
2022-09-24,82
2022-09-25,89
2022-09-26,81
2022-09-27,83
2022-09-28,82
2022-09-29,82
2022-09-30,83
2022-10-01,81
2022-10-02,87
2022-10-03,81
2022-10-04,82
2022-10-05,89
2022-10-06,86
2022-10-07,85
2022-10-08,84
2022-10-09,86
2022-10-10,86
2022-10-11,84
2022-10-12,85
2022-10-13,90
2022-10-14,84
2022-10-15,77
2022-10-16,85
2022-10-17,83
2022-10-18,84
2022-10-19,87
2022-10-20,87
2022-10-21,83
2022-10-22,77
2022-10-23,85
2022-10-24,85
2022-10-25,86
2022-10-26,88
2022-10-27,85
2022-10-28,84
2022-10-29,83
2022-10-30,88
2022-10-31,85
2022-11-01,86
2022-11-02,83
2022-11-03,86
2022-11-04,84
2022-11-05,86
2022-11-06,82
2022-11-07,84
2022-11-08,83
2022-11-09,82
2022-11-10,87
2022-11-11,90
2022-11-12,82
2022-11-13,89
2022-11-14,86
2022-11-15,82
2022-11-16,82
2022-11-17,83
2022-11-18,81
2022-11-19,79
2022-11-20,83
2022-11-21,80
2022-11-22,81
2022-11-23,76
2022-11-24,78
2022-11-25,73
2022-11-26,89
2022-11-27,93
2022-11-28,82
2022-11-29,83
2022-11-30,85
2022-12-01,86
2022-12-02,81
2022-12-03,81
2022-12-04,88
2022-12-05,82
2022-12-06,89
2022-12-07,86
2022-12-08,86
2022-12-09,82
2022-12-10,85
2022-12-11,88
2022-12-12,80
2022-12-13,82
2022-12-14,81
2022-12-15,82
2022-12-16,76
2022-12-17,79
2022-12-18,79
2022-12-19,83
2022-12-20,80
2022-12-21,75
2022-12-22,79
2022-12-23,77
2022-12-24,78
2022-12-25,81
2022-12-26,81
2022-12-27,83
2022-12-28,88
2022-12-29,87
2022-12-30,89
2022-12-31,90
2023-01-01,91
2023-01-02,86
2023-01-03,80
2023-01-04,84
2023-01-05,88
2023-01-06,79
2023-01-07,80
2023-01-08,89
2023-01-09,83
2023-01-10,86
2023-01-11,87
2023-01-12,85
2023-01-13,87
2023-01-14,83
2023-01-15,88
2023-01-16,84
2023-01-17,87
2023-01-18,90
2023-01-19,93
2023-01-20,89
2023-01-21,91
2023-01-22,89
2023-01-23,85
2023-01-24,89
2023-01-25,85
2023-01-26,82
2023-01-27,79
2023-01-28,84
2023-01-29,86
2023-01-30,85
2023-01-31,87
2023-02-01,86
2023-02-02,85
2023-02-03,85
2023-02-04,87
2023-02-05,93
2023-02-06,91
2023-02-07,88
2023-02-08,87
2023-02-09,88
2023-02-10,88
2023-02-11,88
2023-02-12,89
2023-02-13,87
2023-02-14,85
2023-02-15,89
2023-02-16,94
2023-02-17,85
2023-02-18,84
2023-02-19,90
2023-02-20,88
2023-02-21,82
2023-02-22,90
2023-02-23,84
2023-02-24,86
2023-02-25,83
2023-02-26,90
2023-02-27,88
2023-02-28,86
2023-03-01,84
2023-03-02,85
2023-03-03,100
2023-03-04,86
2023-03-05,91
2023-03-06,87
2023-03-07,85
2023-03-08,86
2023-03-09,80
2023-03-10,77
2023-03-11,86
2023-03-12,89
2023-03-13,88
2023-03-14,83
2023-03-15,79
2023-03-16,78
2023-03-17,80
2023-03-18,81
2023-03-19,85
2023-03-20,85
2023-03-21,82
2023-03-22,81
2023-03-23,84
2023-03-24,83
2023-03-25,80
2023-03-26,91
2023-03-27,91
2023-03-28,83
2023-03-29,83
2023-03-30,81
2023-03-31,84
2023-04-01,82
2023-04-02,85
2023-04-03,82
2023-04-04,84
2023-04-05,84
2023-04-06,85
2023-04-07,78
2023-04-08,89
2023-04-09,90
2023-04-10,88
2023-04-11,86
2023-04-12,82
2023-04-13,85
2023-04-14,85
2023-04-15,83
2023-04-16,92
2023-04-17,83
2023-04-18,81
2023-04-19,89
2023-04-20,80
2023-04-21,79
2023-04-22,85
2023-04-23,89
2023-04-24,85
2023-04-25,83
2023-04-26,80
2023-04-27,84
2023-04-28,80
2023-04-29,87
2023-04-30,90
2023-05-01,86
2023-05-02,83
2023-05-03,78
2023-05-04,82
2023-05-05,78
2023-05-06,76
2023-05-07,83
2023-05-08,85
2023-05-09,81
2023-05-10,81
2023-05-11,78
2023-05-12,84
2023-05-13,84
2023-05-14,86
2023-05-15,85
2023-05-16,85
2023-05-17,81
2023-05-18,81
2023-05-19,83
2023-05-20,81
2023-05-21,90
2023-05-22,82
2023-05-23,75
2023-05-24,81
2023-05-25,81
