Time,nba_standings
2022-01-01,33.0
2022-01-02,40.0
2022-01-03,31.0
2022-01-04,40.0
2022-01-05,36.0
2022-01-06,32.0
2022-01-07,35.0
2022-01-08,51.0
2022-01-09,36.0
2022-01-10,39.0
2022-01-11,30.0
2022-01-12,37.0
2022-01-13,47.0
2022-01-14,28.0
2022-01-15,40.0
2022-01-16,39.0
2022-01-17,31.0
2022-01-18,36.0
2022-01-19,27.0
2022-01-20,36.0
2022-01-21,31.0
2022-01-22,39.0
2022-01-23,26.0
2022-01-24,41.0
2022-01-25,25.0
2022-01-26,36.0
2022-01-27,40.0
2022-01-28,38.0
2022-01-29,45.0
2022-01-30,44.0
2022-01-31,33.0
2022-02-01,34.0
2022-02-02,35.0
2022-02-03,34.0
2022-02-04,42.0
2022-02-05,40.0
2022-02-06,45.0
2022-02-07,44.0
2022-02-08,39.0
2022-02-09,47.0
2022-02-10,50.0
2022-02-11,48.0
2022-02-12,46.0
2022-02-13,48.0
2022-02-14,25.0
2022-02-15,36.0
2022-02-16,40.0
2022-02-17,41.0
2022-02-18,33.0
2022-02-19,18.0
2022-02-20,17.0
2022-02-21,20.0
2022-02-22,13.0
2022-02-23,15.0
2022-02-24,16.0
2022-02-25,35.0
2022-02-26,45.0
2022-02-27,44.0
2022-02-28,42.0
2022-03-01,35.0
2022-03-02,38.0
2022-03-03,37.0
2022-03-04,46.0
2022-03-05,47.0
2022-03-06,59.0
2022-03-07,42.0
2022-03-08,42.0
2022-03-09,36.0
2022-03-10,53.0
2022-03-11,39.0
2022-03-12,42.0
2022-03-13,46.0
2022-03-14,37.0
2022-03-15,46.0
2022-03-16,33.0
2022-03-17,54.0
2022-03-18,27.0
2022-03-19,49.0
2022-03-20,44.0
2022-03-21,46.0
2022-03-22,55.0
2022-03-23,42.0
2022-03-24,61.0
2022-03-25,41.0
2022-03-26,45.0
2022-03-27,63.0
2022-03-28,78.0
2022-03-29,62.0
2022-03-30,71.0
2022-03-31,65.0
2022-04-01,67.0
2022-04-02,83.0
2022-04-03,100.0
2022-04-04,75.0
2022-04-05,45.0
2022-04-06,90.0
2022-04-07,75.0
2022-04-08,76.0
2022-04-09,77.0
2022-04-10,87.0
2022-04-11,93.0
2022-04-12,34.0
2022-04-13,42.0
2022-04-14,30.0
2022-04-15,19.0
2022-04-16,33.0
2022-04-17,35.0
2022-04-18,19.0
2022-04-19,18.0
2022-04-20,17.0
2022-04-21,19.0
2022-04-22,19.0
2022-04-23,21.0
2022-04-24,26.0
2022-04-25,19.0
2022-04-26,20.0
2022-04-27,18.0
2022-04-28,19.0
2022-04-29,17.0
2022-04-30,15.0
2022-05-01,14.0
