Time,american express
2023-04-26,88
2023-04-27,80
2023-04-28,85
2023-04-29,71
2023-04-30,71
2023-05-01,95
2023-05-02,93
2023-05-03,95
2023-05-04,85
2023-05-05,80
2023-05-06,67
2023-05-07,68
2023-05-08,92
2023-05-09,91
2023-05-10,83
2023-05-11,86
2023-05-12,73
2023-05-13,65
2023-05-14,64
2023-05-15,93
2023-05-16,90
2023-05-17,82
2023-05-18,86
2023-05-19,85
2023-05-20,69
2023-05-21,67
2023-05-22,88
2023-05-23,83
2023-05-24,84
2023-05-25,81
2023-05-26,76
2023-05-27,66
2023-05-28,58
2023-05-29,69
2023-05-30,93
2023-05-31,97
2023-06-01,97
2023-06-02,91
2023-06-03,71
2023-06-04,68
2023-06-05,92
2023-06-06,89
2023-06-07,87
2023-06-08,83
2023-06-09,83
2023-06-10,67
2023-06-11,63
2023-06-12,94
2023-06-13,86
2023-06-14,87
2023-06-15,91
2023-06-16,87
2023-06-17,68
2023-06-18,60
2023-06-19,83
2023-06-20,88
2023-06-21,89
2023-06-22,80
2023-06-23,86
2023-06-24,70
2023-06-25,66
2023-06-26,84
2023-06-27,91
2023-06-28,83
2023-06-29,82
2023-06-30,89
2023-07-01,78
2023-07-02,66
2023-07-03,77
2023-07-04,71
2023-07-05,94
2023-07-06,95
2023-07-07,89
2023-07-08,74
2023-07-09,66
2023-07-10,86
2023-07-11,93
2023-07-12,87
2023-07-13,84
2023-07-14,88
2023-07-15,69
2023-07-16,69
2023-07-17,88
2023-07-18,88
2023-07-19,77
2023-07-20,84
2023-07-21,94
2023-07-22,65
2023-07-23,62
2023-07-24,86
2023-07-25,83
2023-07-26,77
2023-07-27,81
2023-07-28,73
2023-07-29,68
2023-07-30,63
2023-07-31,84
2023-08-01,94
2023-08-02,83
2023-08-03,86
2023-08-04,79
2023-08-05,70
2023-08-06,68
2023-08-07,87
2023-08-08,84
2023-08-09,78
2023-08-10,80
2023-08-11,77
2023-08-12,73
2023-08-13,62
2023-08-14,80
2023-08-15,79
2023-08-16,77
2023-08-17,75
2023-08-18,80
2023-08-19,67
2023-08-20,66
2023-08-21,80
2023-08-22,80
2023-08-23,77
2023-08-24,71
2023-08-25,83
2023-08-26,62
2023-08-27,64
2023-08-28,76
2023-08-29,69
2023-08-30,76
2023-08-31,76
2023-09-01,78
2023-09-02,72
2023-09-03,67
2023-09-04,69
2023-09-05,80
2023-09-06,80
2023-09-07,75
2023-09-08,73
2023-09-09,64
2023-09-10,60
2023-09-11,73
2023-09-12,74
2023-09-13,77
2023-09-14,81
2023-09-15,82
2023-09-16,66
2023-09-17,62
2023-09-18,76
2023-09-19,77
2023-09-20,75
2023-09-21,73
2023-09-22,68
2023-09-23,60
2023-09-24,60
2023-09-25,76
2023-09-26,68
2023-09-27,71
2023-09-28,71
2023-09-29,79
2023-09-30,62
2023-10-01,69
2023-10-02,79
2023-10-03,76
2023-10-04,85
2023-10-05,75
2023-10-06,74
2023-10-07,61
2023-10-08,58
2023-10-09,73
2023-10-10,75
2023-10-11,74
2023-10-12,70
2023-10-13,73
2023-10-14,66
2023-10-15,65
2023-10-16,72
2023-10-17,77
2023-10-18,75
2023-10-19,72
2023-10-20,74
2023-10-21,60
2023-10-22,57
2023-10-23,74
2023-10-24,73
2023-10-25,68
2023-10-26,66
2023-10-27,71
2023-10-28,60
2023-10-29,54
2023-10-30,77
2023-10-31,72
2023-11-01,82
2023-11-02,74
2023-11-03,76
2023-11-04,67
2023-11-05,59
2023-11-06,72
2023-11-07,76
2023-11-08,73
2023-11-09,76
2023-11-10,71
2023-11-11,62
2023-11-12,56
2023-11-13,73
2023-11-14,72
2023-11-15,80
2023-11-16,74
2023-11-17,72
2023-11-18,62
2023-11-19,60
2023-11-20,73
2023-11-21,72
2023-11-22,65
2023-11-23,51
2023-11-24,65
2023-11-25,67
2023-11-26,64
2023-11-27,81
2023-11-28,77
2023-11-29,72
2023-11-30,70
2023-12-01,83
2023-12-02,66
2023-12-03,58
2023-12-04,82
2023-12-05,77
2023-12-06,72
2023-12-07,75
2023-12-08,77
2023-12-09,65
2023-12-10,62
2023-12-11,81
2023-12-12,80
2023-12-13,79
2023-12-14,75
2023-12-15,78
2023-12-16,69
2023-12-17,65
2023-12-18,71
2023-12-19,79
2023-12-20,75
2023-12-21,78
2023-12-22,78
2023-12-23,70
2023-12-24,55
2023-12-25,48
2023-12-26,74
2023-12-27,90
2023-12-28,84
2023-12-29,88
2023-12-30,72
2023-12-31,63
2024-01-01,65
2024-01-02,89
2024-01-03,88
2024-01-04,89
2024-01-05,80
2024-01-06,70
2024-01-07,63
2024-01-08,74
2024-01-09,77
2024-01-10,78
2024-01-11,75
2024-01-12,73
2024-01-13,64
2024-01-14,61
2024-01-15,78
2024-01-16,81
2024-01-17,85
2024-01-18,95
2024-01-19,100
2024-01-20,91
