Time,american express
2023-12-22,72
2023-12-23,65
2023-12-24,51
2023-12-25,45
2023-12-26,68
2023-12-27,84
2023-12-28,78
2023-12-29,82
2023-12-30,67
2023-12-31,58
2024-01-01,60
2024-01-02,83
2024-01-03,82
2024-01-04,82
2024-01-05,75
2024-01-06,65
2024-01-07,59
2024-01-08,69
2024-01-09,72
2024-01-10,73
2024-01-11,70
2024-01-12,68
2024-01-13,59
2024-01-14,57
2024-01-15,73
2024-01-16,76
2024-01-17,79
2024-01-18,89
2024-01-19,93
2024-01-20,85
2024-01-21,100
2024-01-22,97
2024-01-23,70
2024-01-24,69
2024-01-25,66
2024-01-26,70
2024-01-27,65
2024-01-28,61
2024-01-29,66
2024-01-30,72
2024-01-31,75
2024-02-01,79
2024-02-02,80
2024-02-03,67
2024-02-04,61
2024-02-05,69
2024-02-06,74
2024-02-07,67
2024-02-08,67
2024-02-09,67
2024-02-10,64
2024-02-11,55
2024-02-12,61
2024-02-13,72
2024-02-14,71
2024-02-15,72
2024-02-16,76
2024-02-17,71
2024-02-18,65
2024-02-19,72
2024-02-20,76
2024-02-21,76
2024-02-22,70
2024-02-23,73
2024-02-24,65
2024-02-25,58
2024-02-26,69
2024-02-27,75
2024-02-28,67
2024-02-29,76
2024-03-01,78
2024-03-02,68
2024-03-03,66
2024-03-04,75
2024-03-05,76
2024-03-06,70
2024-03-07,68
2024-03-08,71
2024-03-09,67
2024-03-10,61
2024-03-11,70
2024-03-12,69
2024-03-13,69
2024-03-14,68
2024-03-15,70
2024-03-16,61
2024-03-17,62
2024-03-18,72
2024-03-19,69
2024-03-20,72
2024-03-21,66
2024-03-22,70
2024-03-23,61
2024-03-24,61
2024-03-25,67
2024-03-26,67
2024-03-27,68
2024-03-28,71
2024-03-29,68
2024-03-30,58
2024-03-31,55
2024-04-01,83
2024-04-02,71
2024-04-03,73
2024-04-04,68
2024-04-05,70
2024-04-06,60
2024-04-07,55
2024-04-08,63
2024-04-09,70
2024-04-10,74
2024-04-11,65
2024-04-12,80
2024-04-13,63
2024-04-14,62
2024-04-15,69
2024-04-16,68
2024-04-17,67
2024-04-18,65
2024-04-19,65
2024-04-20,61
2024-04-21,56
2024-04-22,66
2024-04-23,65
2024-04-24,63
2024-04-25,63
2024-04-26,71
2024-04-27,54
2024-04-28,56
2024-04-29,69
2024-04-30,73
2024-05-01,74
2024-05-02,70
2024-05-03,67
2024-05-04,58
2024-05-05,61
2024-05-06,64
2024-05-07,66
2024-05-08,65
2024-05-09,67
2024-05-10,66
2024-05-11,55
2024-05-12,49
2024-05-13,71
2024-05-14,71
2024-05-15,72
2024-05-16,67
2024-05-17,75
2024-05-18,54
2024-05-19,53
2024-05-20,67
2024-05-21,65
2024-05-22,65
2024-05-23,62
2024-05-24,67
2024-05-25,55
2024-05-26,49
2024-05-27,58
2024-05-28,72
2024-05-29,74
2024-05-30,66
2024-05-31,71
2024-06-01,66
2024-06-02,59
2024-06-03,73
2024-06-04,67
2024-06-05,74
2024-06-06,72
2024-06-07,67
2024-06-08,59
2024-06-09,56
2024-06-10,67
2024-06-11,71
2024-06-12,74
2024-06-13,70
2024-06-14,67
2024-06-15,57
2024-06-16,54
2024-06-17,68
2024-06-18,70
2024-06-19,73
2024-06-20,65
2024-06-21,67
2024-06-22,59
2024-06-23,58
2024-06-24,66
2024-06-25,69
2024-06-26,67
2024-06-27,65
2024-06-28,66
2024-06-29,60
2024-06-30,57
2024-07-01,86
2024-07-02,78
2024-07-03,66
2024-07-04,60
2024-07-05,78
2024-07-06,57
2024-07-07,59
2024-07-08,71
2024-07-09,70
2024-07-10,70
2024-07-11,65
2024-07-12,68
2024-07-13,57
2024-07-14,52
2024-07-15,67
2024-07-16,70
2024-07-17,69
2024-07-18,68
2024-07-19,72
2024-07-20,58
2024-07-21,54
2024-07-22,78
2024-07-23,63
2024-07-24,67
2024-07-25,69
2024-07-26,69
2024-07-27,55
2024-07-28,55
2024-07-29,67
2024-07-30,71
2024-07-31,71
2024-08-01,75
2024-08-02,72
2024-08-03,63
2024-08-04,61
2024-08-05,71
2024-08-06,72
2024-08-07,72
2024-08-08,63
2024-08-09,70
2024-08-10,56
2024-08-11,56
2024-08-12,64
2024-08-13,77
2024-08-14,72
2024-08-15,72
2024-08-16,69
2024-08-17,61
2024-08-18,58
2024-08-19,66
2024-08-20,69
2024-08-21,67
2024-08-22,64
2024-08-23,66
2024-08-24,55
2024-08-25,56
2024-08-26,69
2024-08-27,62
2024-08-28,65
2024-08-29,67
2024-08-30,69
2024-08-31,62
2024-09-01,67
2024-09-02,64
2024-09-03,70
2024-09-04,69
2024-09-05,66
2024-09-06,67
2024-09-07,53
2024-09-08,54
2024-09-09,65
2024-09-10,64
2024-09-11,62
2024-09-12,68
2024-09-13,69
2024-09-14,56
2024-09-15,50
2024-09-16,63
