Time,american express
2024-08-18,68
2024-08-19,77
2024-08-20,81
2024-08-21,79
2024-08-22,75
2024-08-23,77
2024-08-24,64
2024-08-25,66
2024-08-26,81
2024-08-27,73
2024-08-28,76
2024-08-29,78
2024-08-30,81
2024-08-31,73
2024-09-01,79
2024-09-02,75
2024-09-03,82
2024-09-04,80
2024-09-05,77
2024-09-06,79
2024-09-07,63
2024-09-08,63
2024-09-09,76
2024-09-10,74
2024-09-11,72
2024-09-12,79
2024-09-13,81
2024-09-14,66
2024-09-15,59
2024-09-16,74
2024-09-17,77
2024-09-18,78
2024-09-19,71
2024-09-20,76
2024-09-21,70
2024-09-22,57
2024-09-23,78
2024-09-24,73
2024-09-25,77
2024-09-26,69
2024-09-27,69
2024-09-28,69
2024-09-29,59
2024-09-30,77
2024-10-01,83
2024-10-02,79
2024-10-03,74
2024-10-04,77
2024-10-05,63
2024-10-06,59
2024-10-07,76
2024-10-08,71
2024-10-09,73
2024-10-10,69
2024-10-11,68
2024-10-12,62
2024-10-13,59
2024-10-14,79
2024-10-15,71
2024-10-16,71
2024-10-17,77
2024-10-18,76
2024-10-19,62
2024-10-20,59
2024-10-21,71
2024-10-22,71
2024-10-23,71
2024-10-24,72
2024-10-25,66
2024-10-26,56
2024-10-27,55
2024-10-28,66
2024-10-29,73
2024-10-30,68
2024-10-31,68
2024-11-01,78
2024-11-02,64
2024-11-03,60
2024-11-04,74
2024-11-05,65
2024-11-06,52
2024-11-07,68
2024-11-08,73
2024-11-09,62
2024-11-10,57
2024-11-11,74
2024-11-12,76
2024-11-13,78
2024-11-14,73
2024-11-15,73
2024-11-16,60
2024-11-17,61
2024-11-18,76
2024-11-19,74
2024-11-20,81
2024-11-21,70
2024-11-22,69
2024-11-23,63
2024-11-24,60
2024-11-25,72
2024-11-26,72
2024-11-27,74
2024-11-28,50
2024-11-29,69
2024-11-30,68
2024-12-01,71
2024-12-02,86
2024-12-03,84
2024-12-04,85
2024-12-05,75
2024-12-06,75
2024-12-07,65
2024-12-08,62
2024-12-09,79
2024-12-10,74
2024-12-11,77
2024-12-12,73
2024-12-13,72
2024-12-14,69
2024-12-15,64
2024-12-16,71
2024-12-17,80
2024-12-18,78
2024-12-19,75
2024-12-20,76
2024-12-21,71
2024-12-22,62
2024-12-23,83
2024-12-24,73
2024-12-25,52
2024-12-26,80
2024-12-27,86
2024-12-28,74
2024-12-29,65
2024-12-30,86
2024-12-31,84
2025-01-01,65
2025-01-02,90
2025-01-03,92
2025-01-04,78
2025-01-05,67
2025-01-06,76
2025-01-07,80
2025-01-08,82
2025-01-09,78
2025-01-10,72
2025-01-11,73
2025-01-12,67
2025-01-13,84
2025-01-14,84
2025-01-15,89
2025-01-16,100
2025-01-17,93
2025-01-18,87
2025-01-19,74
2025-01-20,80
2025-01-21,77
2025-01-22,75
2025-01-23,78
2025-01-24,76
2025-01-25,66
2025-01-26,66
2025-01-27,74
2025-01-28,77
2025-01-29,72
2025-01-30,76
2025-01-31,77
2025-02-01,75
2025-02-02,68
2025-02-03,75
2025-02-04,74
2025-02-05,72
2025-02-06,74
2025-02-07,72
2025-02-08,62
2025-02-09,59
2025-02-10,66
2025-02-11,79
2025-02-12,73
2025-02-13,76
2025-02-14,72
2025-02-15,67
2025-02-16,71
2025-02-17,75
2025-02-18,83
2025-02-19,75
2025-02-20,75
2025-02-21,80
2025-02-22,68
2025-02-23,70
2025-02-24,69
2025-02-25,74
2025-02-26,75
2025-02-27,71
2025-02-28,84
2025-03-01,74
2025-03-02,77
2025-03-03,73
2025-03-04,77
2025-03-05,74
2025-03-06,69
2025-03-07,74
2025-03-08,69
2025-03-09,63
2025-03-10,76
2025-03-11,83
2025-03-12,75
2025-03-13,74
2025-03-14,75
2025-03-15,69
2025-03-16,66
2025-03-17,75
2025-03-18,74
2025-03-19,71
2025-03-20,73
2025-03-21,68
2025-03-22,63
2025-03-23,62
2025-03-24,68
2025-03-25,75
2025-03-26,69
2025-03-27,71
2025-03-28,69
2025-03-29,65
2025-03-30,64
2025-03-31,73
2025-04-01,74
2025-04-02,73
2025-04-03,75
2025-04-04,71
2025-04-05,64
2025-04-06,65
2025-04-07,74
2025-04-08,81
2025-04-09,72
2025-04-10,70
2025-04-11,74
2025-04-12,65
2025-04-13,63
2025-04-14,73
2025-04-15,74
2025-04-16,69
2025-04-17,70
2025-04-18,70
2025-04-19,57
2025-04-20,55
2025-04-21,73
2025-04-22,72
2025-04-23,70
2025-04-24,66
2025-04-25,64
2025-04-26,57
2025-04-27,60
2025-04-28,70
2025-04-29,70
2025-04-30,69
2025-05-01,77
2025-05-02,75
2025-05-03,61
2025-05-04,63
2025-05-05,80
2025-05-06,78
2025-05-07,71
2025-05-08,68
2025-05-09,71
2025-05-10,62
2025-05-11,56
2025-05-12,76
2025-05-13,73
2025-05-14,71
