Time,pedro pascal
2022-01-01,31
2022-01-02,28
2022-01-03,29
2022-01-04,30
2022-01-05,30
2022-01-06,27
2022-01-07,35
2022-01-08,40
2022-01-09,39
2022-01-10,25
2022-01-11,23
2022-01-12,22
2022-01-13,31
2022-01-14,18
2022-01-15,32
2022-01-16,59
2022-01-17,30
2022-01-18,28
2022-01-19,24
2022-01-20,30
2022-01-21,26
2022-01-22,35
2022-01-23,27
2022-01-24,23
2022-01-25,21
2022-01-26,29
2022-01-27,58
2022-01-28,50
2022-01-29,59
2022-01-30,59
2022-01-31,34
2022-02-01,32
2022-02-02,40
2022-02-03,54
2022-02-04,47
2022-02-05,62
2022-02-06,52
2022-02-07,46
2022-02-08,38
2022-02-09,52
2022-02-10,55
2022-02-11,69
2022-02-12,68
2022-02-13,54
2022-02-14,40
2022-02-15,39
2022-02-16,39
2022-02-17,38
2022-02-18,35
2022-02-19,46
2022-02-20,53
2022-02-21,39
2022-02-22,36
2022-02-23,36
2022-02-24,34
2022-02-25,26
2022-02-26,36
2022-02-27,30
2022-02-28,29
2022-03-01,27
2022-03-02,26
2022-03-03,35
2022-03-04,27
2022-03-05,38
2022-03-06,41
2022-03-07,26
2022-03-08,28
2022-03-09,26
2022-03-10,41
2022-03-11,29
2022-03-12,40
2022-03-13,44
2022-03-14,41
2022-03-15,36
2022-03-16,31
2022-03-17,27
2022-03-18,27
2022-03-19,35
2022-03-20,29
2022-03-21,27
2022-03-22,28
2022-03-23,28
2022-03-24,30
2022-03-25,29
2022-03-26,34
2022-03-27,37
2022-03-28,31
2022-03-29,32
2022-03-30,32
2022-03-31,31
2022-04-01,45
2022-04-02,100
2022-04-03,99
2022-04-04,57
2022-04-05,40
2022-04-06,43
2022-04-07,44
2022-04-08,61
2022-04-09,68
2022-04-10,64
2022-04-11,55
2022-04-12,52
2022-04-13,44
2022-04-14,50
2022-04-15,57
2022-04-16,55
2022-04-17,72
2022-04-18,47
2022-04-19,66
2022-04-20,66
2022-04-21,70
2022-04-22,85
2022-04-23,90
2022-04-24,88
2022-04-25,70
2022-04-26,66
2022-04-27,73
2022-04-28,63
2022-04-29,63
2022-04-30,79
2022-05-01,68
2022-05-02,67
2022-05-03,47
2022-05-04,64
2022-05-05,63
2022-05-06,50
2022-05-07,55
2022-05-08,60
2022-05-09,43
2022-05-10,46
2022-05-11,35
2022-05-12,34
2022-05-13,35
2022-05-14,47
2022-05-15,50
2022-05-16,38
2022-05-17,47
2022-05-18,43
2022-05-19,47
2022-05-20,44
2022-05-21,53
2022-05-22,44
2022-05-23,37
2022-05-24,37
2022-05-25,36
2022-05-26,34
2022-05-27,34
2022-05-28,39
2022-05-29,67
2022-05-30,50
2022-05-31,45
2022-06-01,33
2022-06-02,35
2022-06-03,39
2022-06-04,31
2022-06-05,41
2022-06-06,33
2022-06-07,36
2022-06-08,38
2022-06-09,57
2022-06-10,43
2022-06-11,43
2022-06-12,47
2022-06-13,35
2022-06-14,32
2022-06-15,36
2022-06-16,33
2022-06-17,30
2022-06-18,40
2022-06-19,41
2022-06-20,34
2022-06-21,29
2022-06-22,33
2022-06-23,29
2022-06-24,26
2022-06-25,32
2022-06-26,48
2022-06-27,32
2022-06-28,36
2022-06-29,44
2022-06-30,31
2022-07-01,34
2022-07-02,35
2022-07-03,35
2022-07-04,39
2022-07-05,26
2022-07-06,28
2022-07-07,28
2022-07-08,29
2022-07-09,33
2022-07-10,38
2022-07-11,37
2022-07-12,26
2022-07-13,30
2022-07-14,28
2022-07-15,29
2022-07-16,35
2022-07-17,37
2022-07-18,33
2022-07-19,31
2022-07-20,29
2022-07-21,30
2022-07-22,28
2022-07-23,34
2022-07-24,32
2022-07-25,32
2022-07-26,32
2022-07-27,30
2022-07-28,40
2022-07-29,28
2022-07-30,36
2022-07-31,30
2022-08-01,32
2022-08-02,22
2022-08-03,27
2022-08-04,24
2022-08-05,25
2022-08-06,27
2022-08-07,35
2022-08-08,34
2022-08-09,28
2022-08-10,26
2022-08-11,26
2022-08-12,27
2022-08-13,28
2022-08-14,37
2022-08-15,33
2022-08-16,27
2022-08-17,24
2022-08-18,25
2022-08-19,22
2022-08-20,31
2022-08-21,32
2022-08-22,64
2022-08-23,41
2022-08-24,28
2022-08-25,27
2022-08-26,27
2022-08-27,26
2022-08-28,32
2022-08-29,24
2022-08-30,22
2022-08-31,27
2022-09-01,29
2022-09-02,20
2022-09-03,27
2022-09-04,35
2022-09-05,34
2022-09-06,30
2022-09-07,27
2022-09-08,23
2022-09-09,23
2022-09-10,28
2022-09-11,38
2022-09-12,28
2022-09-13,27
2022-09-14,29
2022-09-15,25
2022-09-16,27
2022-09-17,22
2022-09-18,28
2022-09-19,22
2022-09-20,26
2022-09-21,24
2022-09-22,30
2022-09-23,21
2022-09-24,25
2022-09-25,36
2022-09-26,55
2022-09-27,49
