Time,linkedin
2023-12-22,45
2023-12-23,22
2023-12-24,24
2023-12-25,21
2023-12-26,37
2023-12-27,46
2023-12-28,47
2023-12-29,42
2023-12-30,23
2023-12-31,24
2024-01-01,24
2024-01-02,65
2024-01-03,73
2024-01-04,76
2024-01-05,73
2024-01-06,33
2024-01-07,30
2024-01-08,69
2024-01-09,80
2024-01-10,80
2024-01-11,74
2024-01-12,65
2024-01-13,32
2024-01-14,30
2024-01-15,49
2024-01-16,70
2024-01-17,78
2024-01-18,72
2024-01-19,68
2024-01-20,35
2024-01-21,33
2024-01-22,72
2024-01-23,77
2024-01-24,81
2024-01-25,84
2024-01-26,70
2024-01-27,38
2024-01-28,33
2024-01-29,73
2024-01-30,83
2024-01-31,82
2024-02-01,80
2024-02-02,70
2024-02-03,38
2024-02-04,33
2024-02-05,68
2024-02-06,80
2024-02-07,80
2024-02-08,77
2024-02-09,71
2024-02-10,35
2024-02-11,31
2024-02-12,63
2024-02-13,78
2024-02-14,76
2024-02-15,77
2024-02-16,74
2024-02-17,36
2024-02-18,34
2024-02-19,60
2024-02-20,76
2024-02-21,79
2024-02-22,78
2024-02-23,67
2024-02-24,37
2024-02-25,36
2024-02-26,71
2024-02-27,75
2024-02-28,72
2024-02-29,76
2024-03-01,67
2024-03-02,37
2024-03-03,31
2024-03-04,70
2024-03-05,75
2024-03-06,100
2024-03-07,77
2024-03-08,69
2024-03-09,34
2024-03-10,30
2024-03-11,67
2024-03-12,81
2024-03-13,78
2024-03-14,73
2024-03-15,65
2024-03-16,33
2024-03-17,29
2024-03-18,71
2024-03-19,74
2024-03-20,77
2024-03-21,73
2024-03-22,62
2024-03-23,32
2024-03-24,32
2024-03-25,68
2024-03-26,74
2024-03-27,74
2024-03-28,74
2024-03-29,59
2024-03-30,30
2024-03-31,27
2024-04-01,68
2024-04-02,76
2024-04-03,74
2024-04-04,73
2024-04-05,64
2024-04-06,29
2024-04-07,29
2024-04-08,61
2024-04-09,73
2024-04-10,78
2024-04-11,72
2024-04-12,65
2024-04-13,29
2024-04-14,29
2024-04-15,67
2024-04-16,73
2024-04-17,74
2024-04-18,71
2024-04-19,62
2024-04-20,30
2024-04-21,30
2024-04-22,72
2024-04-23,71
2024-04-24,72
2024-04-25,72
2024-04-26,60
2024-04-27,32
2024-04-28,28
2024-04-29,67
2024-04-30,75
2024-05-01,70
2024-05-02,69
2024-05-03,67
2024-05-04,31
2024-05-05,29
2024-05-06,66
2024-05-07,70
2024-05-08,68
2024-05-09,67
2024-05-10,65
2024-05-11,31
2024-05-12,27
2024-05-13,65
2024-05-14,69
2024-05-15,71
2024-05-16,70
2024-05-17,63
2024-05-18,32
2024-05-19,28
2024-05-20,69
2024-05-21,71
2024-05-22,75
2024-05-23,72
2024-05-24,57
2024-05-25,28
2024-05-26,25
2024-05-27,35
2024-05-28,71
2024-05-29,69
2024-05-30,77
2024-05-31,63
2024-06-01,30
2024-06-02,28
2024-06-03,70
2024-06-04,74
2024-06-05,72
2024-06-06,72
2024-06-07,69
2024-06-08,30
2024-06-09,28
2024-06-10,72
2024-06-11,75
2024-06-12,67
2024-06-13,72
2024-06-14,61
2024-06-15,30
2024-06-16,31
2024-06-17,66
2024-06-18,73
2024-06-19,60
2024-06-20,66
2024-06-21,62
2024-06-22,29
2024-06-23,27
2024-06-24,67
2024-06-25,74
2024-06-26,67
2024-06-27,67
2024-06-28,60
2024-06-29,29
2024-06-30,28
2024-07-01,67
2024-07-02,70
2024-07-03,60
2024-07-04,33
2024-07-05,43
2024-07-06,28
2024-07-07,30
2024-07-08,66
2024-07-09,69
2024-07-10,78
2024-07-11,72
2024-07-12,65
2024-07-13,33
2024-07-14,30
2024-07-15,64
2024-07-16,70
2024-07-17,71
2024-07-18,69
2024-07-19,58
2024-07-20,32
2024-07-21,28
2024-07-22,66
2024-07-23,73
2024-07-24,71
2024-07-25,69
2024-07-26,58
2024-07-27,26
2024-07-28,25
2024-07-29,62
2024-07-30,68
2024-07-31,66
2024-08-01,64
2024-08-02,58
2024-08-03,28
2024-08-04,28
2024-08-05,66
2024-08-06,66
2024-08-07,68
2024-08-08,72
2024-08-09,64
2024-08-10,28
2024-08-11,28
2024-08-12,67
2024-08-13,71
2024-08-14,73
2024-08-15,69
2024-08-16,65
2024-08-17,30
2024-08-18,29
2024-08-19,69
2024-08-20,74
2024-08-21,74
2024-08-22,74
2024-08-23,62
2024-08-24,32
2024-08-25,30
2024-08-26,70
2024-08-27,72
2024-08-28,73
2024-08-29,71
2024-08-30,61
2024-08-31,26
2024-09-01,28
2024-09-02,34
2024-09-03,71
2024-09-04,77
2024-09-05,72
2024-09-06,62
2024-09-07,30
2024-09-08,32
2024-09-09,71
2024-09-10,78
2024-09-11,72
2024-09-12,74
2024-09-13,64
2024-09-14,32
2024-09-15,29
2024-09-16,69
