Time,linkedin
2023-04-26,85
2023-04-27,81
2023-04-28,70
2023-04-29,36
2023-04-30,34
2023-05-01,82
2023-05-02,84
2023-05-03,82
2023-05-04,86
2023-05-05,72
2023-05-06,36
2023-05-07,32
2023-05-08,82
2023-05-09,82
2023-05-10,83
2023-05-11,79
2023-05-12,70
2023-05-13,36
2023-05-14,30
2023-05-15,78
2023-05-16,85
2023-05-17,83
2023-05-18,78
2023-05-19,74
2023-05-20,37
2023-05-21,32
2023-05-22,74
2023-05-23,80
2023-05-24,82
2023-05-25,80
2023-05-26,64
2023-05-27,35
2023-05-28,33
2023-05-29,37
2023-05-30,77
2023-05-31,83
2023-06-01,82
2023-06-02,74
2023-06-03,37
2023-06-04,35
2023-06-05,81
2023-06-06,84
2023-06-07,91
2023-06-08,83
2023-06-09,70
2023-06-10,35
2023-06-11,33
2023-06-12,80
2023-06-13,83
2023-06-14,84
2023-06-15,85
2023-06-16,70
2023-06-17,36
2023-06-18,30
2023-06-19,63
2023-06-20,82
2023-06-21,84
2023-06-22,76
2023-06-23,73
2023-06-24,35
2023-06-25,35
2023-06-26,79
2023-06-27,87
2023-06-28,80
2023-06-29,80
2023-06-30,66
2023-07-01,35
2023-07-02,30
2023-07-03,52
2023-07-04,37
2023-07-05,71
2023-07-06,82
2023-07-07,72
2023-07-08,36
2023-07-09,34
2023-07-10,86
2023-07-11,89
2023-07-12,87
2023-07-13,83
2023-07-14,76
2023-07-15,36
2023-07-16,34
2023-07-17,82
2023-07-18,87
2023-07-19,87
2023-07-20,81
2023-07-21,71
2023-07-22,33
2023-07-23,30
2023-07-24,79
2023-07-25,82
2023-07-26,84
2023-07-27,77
2023-07-28,72
2023-07-29,32
2023-07-30,31
2023-07-31,76
2023-08-01,100
2023-08-02,85
2023-08-03,82
2023-08-04,76
2023-08-05,35
2023-08-06,33
2023-08-07,81
2023-08-08,86
2023-08-09,84
2023-08-10,90
2023-08-11,72
2023-08-12,34
2023-08-13,33
2023-08-14,79
2023-08-15,82
2023-08-16,84
2023-08-17,87
2023-08-18,72
2023-08-19,35
2023-08-20,32
2023-08-21,75
2023-08-22,84
2023-08-23,87
2023-08-24,85
2023-08-25,72
2023-08-26,33
2023-08-27,33
2023-08-28,77
2023-08-29,90
2023-08-30,81
2023-08-31,80
2023-09-01,83
2023-09-02,29
2023-09-03,30
2023-09-04,39
2023-09-05,85
2023-09-06,93
2023-09-07,82
2023-09-08,71
2023-09-09,39
2023-09-10,33
2023-09-11,76
2023-09-12,83
2023-09-13,82
2023-09-14,84
2023-09-15,70
2023-09-16,36
2023-09-17,33
2023-09-18,75
2023-09-19,86
2023-09-20,83
2023-09-21,84
2023-09-22,71
2023-09-23,35
2023-09-24,34
2023-09-25,75
2023-09-26,79
2023-09-27,83
2023-09-28,80
2023-09-29,70
2023-09-30,35
2023-10-01,31
2023-10-02,73
2023-10-03,82
2023-10-04,83
2023-10-05,79
2023-10-06,70
2023-10-07,35
2023-10-08,30
2023-10-09,72
2023-10-10,79
2023-10-11,80
2023-10-12,80
2023-10-13,68
2023-10-14,33
2023-10-15,32
2023-10-16,75
2023-10-17,83
2023-10-18,82
2023-10-19,81
2023-10-20,70
2023-10-21,34
2023-10-22,33
2023-10-23,75
2023-10-24,80
2023-10-25,85
2023-10-26,79
2023-10-27,68
2023-10-28,29
2023-10-29,29
2023-10-30,74
2023-10-31,87
2023-11-01,78
2023-11-02,79
2023-11-03,70
2023-11-04,32
2023-11-05,33
2023-11-06,74
2023-11-07,81
2023-11-08,81
2023-11-09,78
2023-11-10,65
2023-11-11,33
2023-11-12,30
2023-11-13,75
2023-11-14,78
2023-11-15,77
2023-11-16,79
2023-11-17,66
2023-11-18,34
2023-11-19,30
2023-11-20,64
2023-11-21,67
2023-11-22,56
2023-11-23,28
2023-11-24,28
2023-11-25,24
2023-11-26,28
2023-11-27,66
2023-11-28,74
2023-11-29,77
2023-11-30,75
2023-12-01,64
2023-12-02,36
2023-12-03,32
2023-12-04,72
2023-12-05,78
2023-12-06,76
2023-12-07,72
2023-12-08,70
2023-12-09,36
2023-12-10,32
2023-12-11,66
2023-12-12,74
2023-12-13,70
2023-12-14,74
2023-12-15,63
2023-12-16,32
2023-12-17,29
2023-12-18,64
2023-12-19,67
2023-12-20,69
2023-12-21,67
2023-12-22,50
2023-12-23,25
2023-12-24,27
2023-12-25,24
2023-12-26,41
2023-12-27,51
2023-12-28,52
2023-12-29,47
2023-12-30,26
2023-12-31,26
2024-01-01,26
2024-01-02,72
2024-01-03,81
2024-01-04,85
2024-01-05,81
2024-01-06,37
2024-01-07,34
2024-01-08,77
2024-01-09,89
2024-01-10,89
2024-01-11,82
2024-01-12,72
2024-01-13,36
2024-01-14,33
2024-01-15,54
2024-01-16,78
2024-01-17,86
2024-01-18,81
2024-01-19,76
2024-01-20,39
