Time,types of flooring
2025-12-11,57
2025-12-12,32
2025-12-13,0
2025-12-14,0
2025-12-15,40
2025-12-16,0
2025-12-17,0
2025-12-18,0
2025-12-19,36
2025-12-20,44
2025-12-21,0
2025-12-22,0
2025-12-23,0
2025-12-24,0
2025-12-25,0
2025-12-26,42
2025-12-27,37
2025-12-28,54
2025-12-29,60
2025-12-30,39
2025-12-31,0
2026-01-01,0
2026-01-02,60
2026-01-03,49
2026-01-04,62
2026-01-05,0
2026-01-06,0
2026-01-07,37
2026-01-08,0
2026-01-09,51
2026-01-10,68
2026-01-11,57
2026-01-12,44
2026-01-13,69
2026-01-14,0
2026-01-15,0
2026-01-16,0
2026-01-17,44
2026-01-18,46
2026-01-19,58
2026-01-20,42
2026-01-21,49
2026-01-22,0
2026-01-23,37
2026-01-24,60
2026-01-25,43
2026-01-26,42
2026-01-27,39
2026-01-28,43
2026-01-29,0
2026-01-30,35
2026-01-31,0
2026-02-01,81
2026-02-02,57
2026-02-03,29
2026-02-04,39
2026-02-05,38
2026-02-06,42
2026-02-07,33
2026-02-08,0
2026-02-09,35
2026-02-10,35
2026-02-11,53
2026-02-12,0
2026-02-13,36
2026-02-14,0
2026-02-15,46
2026-02-16,63
2026-02-17,50
2026-02-18,36
2026-02-19,54
2026-02-20,0
2026-02-21,44
2026-02-22,59
2026-02-23,48
2026-02-24,76
2026-02-25,42
2026-02-26,48
2026-02-27,44
2026-02-28,41
2026-03-01,0
2026-03-02,68
2026-03-03,72
2026-03-04,62
2026-03-05,53
2026-03-06,62
2026-03-07,75
2026-03-08,37
2026-03-09,36
2026-03-10,50
2026-03-11,41
2026-03-12,42
2026-03-13,40
2026-03-14,69
2026-03-15,65
2026-03-16,49
2026-03-17,0
2026-03-18,41
2026-03-19,39
2026-03-20,0
2026-03-21,45
2026-03-22,0
2026-03-23,53
2026-03-24,0
2026-03-25,72
2026-03-26,34
2026-03-27,0
2026-03-28,42
2026-03-29,67
2026-03-30,75
2026-03-31,41
2026-04-01,58
2026-04-02,0
2026-04-03,41
2026-04-04,0
2026-04-05,0
2026-04-06,0
2026-04-07,54
2026-04-08,35
2026-04-09,0
2026-04-10,51
2026-04-11,0
2026-04-12,70
2026-04-13,0
2026-04-14,58
2026-04-15,0
2026-04-16,41
2026-04-17,54
2026-04-18,43
2026-04-19,0
2026-04-20,0
2026-04-21,59
2026-04-22,43
2026-04-23,37
2026-04-24,44
2026-04-25,62
2026-04-26,67
2026-04-27,48
2026-04-28,56
2026-04-29,70
2026-04-30,51
2026-05-01,38
2026-05-02,64
2026-05-03,42
2026-05-04,63
2026-05-05,30
2026-05-06,31
2026-05-07,35
2026-05-08,72
2026-05-09,47
2026-05-10,55
2026-05-11,54
2026-05-12,37
2026-05-13,52
2026-05-14,0
2026-05-15,37
2026-05-16,0
2026-05-17,51
2026-05-18,0
2026-05-19,59
2026-05-20,39
2026-05-21,0
2026-05-22,38
2026-05-23,40
2026-05-24,0
2026-05-25,36
2026-05-26,31
2026-05-27,57
2026-05-28,51
2026-05-29,39
2026-05-30,70
2026-05-31,100
