Time,types of flooring
2025-04-15,39
2025-04-16,30
2025-04-17,31
2025-04-18,0
2025-04-19,0
2025-04-20,0
2025-04-21,34
2025-04-22,27
2025-04-23,49
2025-04-24,35
2025-04-25,42
2025-04-26,0
2025-04-27,0
2025-04-28,34
2025-04-29,40
2025-04-30,0
2025-05-01,0
2025-05-02,34
2025-05-03,38
2025-05-04,46
2025-05-05,33
2025-05-06,28
2025-05-07,36
2025-05-08,29
2025-05-09,28
2025-05-10,41
2025-05-11,0
2025-05-12,0
2025-05-13,0
2025-05-14,30
2025-05-15,39
2025-05-16,29
2025-05-17,0
2025-05-18,35
2025-05-19,0
2025-05-20,37
2025-05-21,44
2025-05-22,33
2025-05-23,45
2025-05-24,0
2025-05-25,0
2025-05-26,0
2025-05-27,41
2025-05-28,0
2025-05-29,0
2025-05-30,37
2025-05-31,0
2025-06-01,39
2025-06-02,36
2025-06-03,35
2025-06-04,41
2025-06-05,30
2025-06-06,36
2025-06-07,44
2025-06-08,49
2025-06-09,34
2025-06-10,0
2025-06-11,32
2025-06-12,30
2025-06-13,37
2025-06-14,50
2025-06-15,0
2025-06-16,38
2025-06-17,30
2025-06-18,33
2025-06-19,0
2025-06-20,49
2025-06-21,40
2025-06-22,36
2025-06-23,42
2025-06-24,0
2025-06-25,30
2025-06-26,28
2025-06-27,0
2025-06-28,0
2025-06-29,34
2025-06-30,48
2025-07-01,29
2025-07-02,41
2025-07-03,0
2025-07-04,0
2025-07-05,36
2025-07-06,59
2025-07-07,0
2025-07-08,0
2025-07-09,0
2025-07-10,0
2025-07-11,36
2025-07-12,48
2025-07-13,38
2025-07-14,30
2025-07-15,0
2025-07-16,37
2025-07-17,0
2025-07-18,0
2025-07-19,37
2025-07-20,38
2025-07-21,42
2025-07-22,39
2025-07-23,69
2025-07-24,0
2025-07-25,31
2025-07-26,40
2025-07-27,0
2025-07-28,0
2025-07-29,32
2025-07-30,32
2025-07-31,34
2025-08-01,38
2025-08-02,39
2025-08-03,58
2025-08-04,32
2025-08-05,51
2025-08-06,0
2025-08-07,32
2025-08-08,43
2025-08-09,44
2025-08-10,43
2025-08-11,38
2025-08-12,39
2025-08-13,53
2025-08-14,39
2025-08-15,0
2025-08-16,100
2025-08-17,0
2025-08-18,42
2025-08-19,0
2025-08-20,0
2025-08-21,0
2025-08-22,0
2025-08-23,0
2025-08-24,38
2025-08-25,39
2025-08-26,28
2025-08-27,30
2025-08-28,36
2025-08-29,30
2025-08-30,37
2025-08-31,0
2025-09-01,0
2025-09-02,0
2025-09-03,35
2025-09-04,0
2025-09-05,44
2025-09-06,0
2025-09-07,31
2025-09-08,28
2025-09-09,0
2025-09-10,0
2025-09-11,0
2025-09-12,0
2025-09-13,36
2025-09-14,0
2025-09-15,62
2025-09-16,43
2025-09-17,38
2025-09-18,39
2025-09-19,0
2025-09-20,0
2025-09-21,47
2025-09-22,0
2025-09-23,34
2025-09-24,37
2025-09-25,0
2025-09-26,29
2025-09-27,0
2025-09-28,44
2025-09-29,0
2025-09-30,33
2025-10-01,35
2025-10-02,31
2025-10-03,38
2025-10-04,0
2025-10-05,53
2025-10-06,0
2025-10-07,0
2025-10-08,31
2025-10-09,47
2025-10-10,39
2025-10-11,34
2025-10-12,0
2025-10-13,33
2025-10-14,32
2025-10-15,43
2025-10-16,0
2025-10-17,0
2025-10-18,0
2025-10-19,0
2025-10-20,40
2025-10-21,30
2025-10-22,0
2025-10-23,33
2025-10-24,31
2025-10-25,0
2025-10-26,0
2025-10-27,38
2025-10-28,0
2025-10-29,35
2025-10-30,34
2025-10-31,0
2025-11-01,42
2025-11-02,50
2025-11-03,37
2025-11-04,0
2025-11-05,33
2025-11-06,0
2025-11-07,29
2025-11-08,51
2025-11-09,36
2025-11-10,0
2025-11-11,28
2025-11-12,0
2025-11-13,44
2025-11-14,37
2025-11-15,0
2025-11-16,0
2025-11-17,0
2025-11-18,36
2025-11-19,37
2025-11-20,0
2025-11-21,0
2025-11-22,56
2025-11-23,35
2025-11-24,41
2025-11-25,0
2025-11-26,35
2025-11-27,0
2025-11-28,54
2025-11-29,0
2025-11-30,0
2025-12-01,52
2025-12-02,53
2025-12-03,31
2025-12-04,40
2025-12-05,0
2025-12-06,32
2025-12-07,0
2025-12-08,0
2025-12-09,34
2025-12-10,30
2025-12-11,50
2025-12-12,28
2025-12-13,0
2025-12-14,0
2025-12-15,35
2025-12-16,0
2025-12-17,0
2025-12-18,0
2025-12-19,32
2025-12-20,39
2025-12-21,0
2025-12-22,0
2025-12-23,0
2025-12-24,0
2025-12-25,0
2025-12-26,37
2025-12-27,33
2025-12-28,47
2025-12-29,52
2025-12-30,35
2025-12-31,0
2026-01-01,0
2026-01-02,52
2026-01-03,43
2026-01-04,54
2026-01-05,0
2026-01-06,0
2026-01-07,32
2026-01-08,0
2026-01-09,45
