Time,prime video
2025-12-11,45
2025-12-12,53
2025-12-13,46
2025-12-14,50
2025-12-15,40
2025-12-16,41
2025-12-17,56
2025-12-18,52
2025-12-19,77
2025-12-20,48
2025-12-21,45
2025-12-22,41
2025-12-23,44
2025-12-24,47
2025-12-25,54
2025-12-26,62
2025-12-27,52
2025-12-28,50
2025-12-29,45
2025-12-30,44
2025-12-31,45
2026-01-01,48
2026-01-02,47
2026-01-03,47
2026-01-04,45
2026-01-05,40
2026-01-06,38
2026-01-07,38
2026-01-08,41
2026-01-09,42
2026-01-10,51
2026-01-11,100
2026-01-12,40
2026-01-13,34
2026-01-14,38
2026-01-15,42
2026-01-16,42
2026-01-17,47
2026-01-18,49
2026-01-19,43
2026-01-20,36
2026-01-21,38
2026-01-22,41
2026-01-23,44
2026-01-24,53
2026-01-25,64
2026-01-26,44
2026-01-27,42
2026-01-28,42
2026-01-29,39
2026-01-30,42
2026-01-31,45
2026-02-01,54
2026-02-02,42
2026-02-03,38
2026-02-04,40
2026-02-05,39
2026-02-06,41
2026-02-07,47
2026-02-08,49
2026-02-09,35
2026-02-10,34
2026-02-11,37
2026-02-12,35
2026-02-13,37
2026-02-14,45
2026-02-15,48
2026-02-16,41
2026-02-17,36
2026-02-18,37
2026-02-19,34
2026-02-20,44
2026-02-21,46
2026-02-22,43
2026-02-23,39
2026-02-24,37
2026-02-25,36
2026-02-26,35
2026-02-27,39
2026-02-28,41
2026-03-01,44
2026-03-02,40
2026-03-03,39
2026-03-04,35
2026-03-05,36
2026-03-06,38
2026-03-07,43
2026-03-08,47
2026-03-09,37
2026-03-10,36
2026-03-11,37
2026-03-12,36
2026-03-13,40
2026-03-14,54
2026-03-15,49
2026-03-16,40
2026-03-17,38
2026-03-18,55
2026-03-19,50
2026-03-20,44
2026-03-21,48
2026-03-22,53
2026-03-23,45
2026-03-24,39
2026-03-25,45
2026-03-26,45
2026-03-27,40
2026-03-28,46
2026-03-29,45
2026-03-30,37
2026-03-31,39
2026-04-01,46
2026-04-02,44
2026-04-03,45
2026-04-04,47
2026-04-05,46
2026-04-06,43
2026-04-07,40
2026-04-08,49
2026-04-09,54
2026-04-10,53
2026-04-11,51
2026-04-12,49
2026-04-13,43
2026-04-14,38
2026-04-15,63
2026-04-16,58
2026-04-17,51
2026-04-18,74
2026-04-19,50
2026-04-20,43
2026-04-21,39
2026-04-22,53
2026-04-23,48
2026-04-24,58
2026-04-25,61
2026-04-26,51
2026-04-27,42
2026-04-28,42
2026-04-29,46
2026-04-30,45
2026-05-01,43
2026-05-02,56
2026-05-03,47
2026-05-04,41
2026-05-05,39
2026-05-06,43
2026-05-07,45
2026-05-08,56
2026-05-09,52
2026-05-10,48
2026-05-11,37
2026-05-12,49
2026-05-13,53
2026-05-14,57
2026-05-15,59
2026-05-16,66
2026-05-17,60
2026-05-18,64
2026-05-19,51
2026-05-20,64
2026-05-21,55
2026-05-22,53
2026-05-23,62
2026-05-24,72
2026-05-25,74
2026-05-26,59
2026-05-27,53
2026-05-28,54
2026-05-29,53
2026-05-30,55
2026-05-31,63
