Time,bts
2022-08-29,44
2022-08-30,30
2022-08-31,31
2022-09-01,31
2022-09-02,31
2022-09-03,34
2022-09-04,34
2022-09-05,33
2022-09-06,27
2022-09-07,29
2022-09-08,30
2022-09-09,34
2022-09-10,35
2022-09-11,35
2022-09-12,29
2022-09-13,28
2022-09-14,29
2022-09-15,28
2022-09-16,29
2022-09-17,32
2022-09-18,32
2022-09-19,28
2022-09-20,28
2022-09-21,30
2022-09-22,27
2022-09-23,29
2022-09-24,33
2022-09-25,32
2022-09-26,28
2022-09-27,28
2022-09-28,29
2022-09-29,30
2022-09-30,29
2022-10-01,29
2022-10-02,28
2022-10-03,28
2022-10-04,27
2022-10-05,28
2022-10-06,29
2022-10-07,31
2022-10-08,33
2022-10-09,33
2022-10-10,30
2022-10-11,30
2022-10-12,31
2022-10-13,39
2022-10-14,36
2022-10-15,67
2022-10-16,43
2022-10-17,100
2022-10-18,84
2022-10-19,60
2022-10-20,48
2022-10-21,45
2022-10-22,44
2022-10-23,47
2022-10-24,39
2022-10-25,33
2022-10-26,35
2022-10-27,32
2022-10-28,33
2022-10-29,35
2022-10-30,38
2022-10-31,37
2022-11-01,35
2022-11-02,33
2022-11-03,30
2022-11-04,31
2022-11-05,33
2022-11-06,33
2022-11-07,31
2022-11-08,29
2022-11-09,27
2022-11-10,28
2022-11-11,30
2022-11-12,32
2022-11-13,33
2022-11-14,31
2022-11-15,34
2022-11-16,33
2022-11-17,31
2022-11-18,31
2022-11-19,33
2022-11-20,43
2022-11-21,37
2022-11-22,31
2022-11-23,33
2022-11-24,36
2022-11-25,33
2022-11-26,33
2022-11-27,34
2022-11-28,29
2022-11-29,30
2022-11-30,30
2022-12-01,34
2022-12-02,35
2022-12-03,36
2022-12-04,36
2022-12-05,32
2022-12-06,31
2022-12-07,30
2022-12-08,29
2022-12-09,29
2022-12-10,30
2022-12-11,36
2022-12-12,33
2022-12-13,41
2022-12-14,36
2022-12-15,40
2022-12-16,31
2022-12-17,32
2022-12-18,30
2022-12-19,29
2022-12-20,33
2022-12-21,31
2022-12-22,30
2022-12-23,30
2022-12-24,30
2022-12-25,35
2022-12-26,32
2022-12-27,30
2022-12-28,31
2022-12-29,34
2022-12-30,34
2022-12-31,33
2023-01-01,64
2023-01-02,31
2023-01-03,27
2023-01-04,28
2023-01-05,31
2023-01-06,30
2023-01-07,32
2023-01-08,31
2023-01-09,30
2023-01-10,32
2023-01-11,34
2023-01-12,31
2023-01-13,30
2023-01-14,30
2023-01-15,30
2023-01-16,30
2023-01-17,28
2023-01-18,28
2023-01-19,27
2023-01-20,27
2023-01-21,29
2023-01-22,29
2023-01-23,26
2023-01-24,25
2023-01-25,25
2023-01-26,24
2023-01-27,25
2023-01-28,28
2023-01-29,28
2023-01-30,27
2023-01-31,26
2023-02-01,30
2023-02-02,33
2023-02-03,33
2023-02-04,40
2023-02-05,46
2023-02-06,49
2023-02-07,28
2023-02-08,27
2023-02-09,27
2023-02-10,28
2023-02-11,29
2023-02-12,27
2023-02-13,28
2023-02-14,31
2023-02-15,27
2023-02-16,36
2023-02-17,32
2023-02-18,29
2023-02-19,28
2023-02-20,26
2023-02-21,26
2023-02-22,24
2023-02-23,28
2023-02-24,27
2023-02-25,26
2023-02-26,33
2023-02-27,29
2023-02-28,26
2023-03-01,41
2023-03-02,30
2023-03-03,27
2023-03-04,28
2023-03-05,29
2023-03-06,35
2023-03-07,29
2023-03-08,26
2023-03-09,24
2023-03-10,25
2023-03-11,25
2023-03-12,26
2023-03-13,24
2023-03-14,23
2023-03-15,22
2023-03-16,24
2023-03-17,26
2023-03-18,29
2023-03-19,26
2023-03-20,24
2023-03-21,24
2023-03-22,23
2023-03-23,24
2023-03-24,35
2023-03-25,29
2023-03-26,40
2023-03-27,31
2023-03-28,26
2023-03-29,23
2023-03-30,22
2023-03-31,24
2023-04-01,33
2023-04-02,40
2023-04-03,33
2023-04-04,28
2023-04-05,24
2023-04-06,25
2023-04-07,24
2023-04-08,24
2023-04-09,35
2023-04-10,27
2023-04-11,25
2023-04-12,24
2023-04-13,23
2023-04-14,23
2023-04-15,24
2023-04-16,26
2023-04-17,24
2023-04-18,25
2023-04-19,28
2023-04-20,28
2023-04-21,27
2023-04-22,28
2023-04-23,27
2023-04-24,25
2023-04-25,27
2023-04-26,24
2023-04-27,25
2023-04-28,24
2023-04-29,26
2023-04-30,27
2023-05-01,24
2023-05-02,25
2023-05-03,24
2023-05-04,23
2023-05-05,25
2023-05-06,27
2023-05-07,26
2023-05-08,23
2023-05-09,24
2023-05-10,26
2023-05-11,25
2023-05-12,30
2023-05-13,29
2023-05-14,28
2023-05-15,26
2023-05-16,26
2023-05-17,25
2023-05-18,30
2023-05-19,27
2023-05-20,27
2023-05-21,28
2023-05-22,24
2023-05-23,23
2023-05-24,23
2023-05-25,23
