Time,bts
2023-04-26,64
2023-04-27,67
2023-04-28,65
2023-04-29,69
2023-04-30,72
2023-05-01,64
2023-05-02,67
2023-05-03,64
2023-05-04,62
2023-05-05,66
2023-05-06,72
2023-05-07,71
2023-05-08,61
2023-05-09,64
2023-05-10,69
2023-05-11,67
2023-05-12,79
2023-05-13,78
2023-05-14,76
2023-05-15,70
2023-05-16,70
2023-05-17,68
2023-05-18,80
2023-05-19,72
2023-05-20,73
2023-05-21,75
2023-05-22,65
2023-05-23,61
2023-05-24,63
2023-05-25,63
2023-05-26,61
2023-05-27,65
2023-05-28,65
2023-05-29,65
2023-05-30,66
2023-05-31,67
2023-06-01,69
2023-06-02,74
2023-06-03,95
2023-06-04,83
2023-06-05,64
2023-06-06,62
2023-06-07,62
2023-06-08,62
2023-06-09,87
2023-06-10,79
2023-06-11,71
2023-06-12,78
2023-06-13,83
2023-06-14,70
2023-06-15,69
2023-06-16,64
2023-06-17,72
2023-06-18,69
2023-06-19,61
2023-06-20,59
2023-06-21,63
2023-06-22,60
2023-06-23,57
2023-06-24,66
2023-06-25,60
2023-06-26,59
2023-06-27,57
2023-06-28,58
2023-06-29,63
2023-06-30,63
2023-07-01,67
2023-07-02,64
2023-07-03,59
2023-07-04,58
2023-07-05,57
2023-07-06,60
2023-07-07,58
2023-07-08,70
2023-07-09,87
2023-07-10,72
2023-07-11,61
2023-07-12,61
2023-07-13,61
2023-07-14,79
2023-07-15,69
2023-07-16,64
2023-07-17,58
2023-07-18,57
2023-07-19,57
2023-07-20,55
2023-07-21,56
2023-07-22,61
2023-07-23,62
2023-07-24,53
2023-07-25,56
2023-07-26,56
2023-07-27,53
2023-07-28,54
2023-07-29,59
2023-07-30,59
2023-07-31,50
2023-08-01,52
2023-08-02,45
2023-08-03,54
2023-08-04,53
2023-08-05,58
2023-08-06,63
2023-08-07,61
2023-08-08,64
2023-08-09,60
2023-08-10,59
2023-08-11,60
2023-08-12,70
2023-08-13,61
2023-08-14,50
2023-08-15,49
2023-08-16,51
2023-08-17,53
2023-08-18,52
2023-08-19,55
2023-08-20,55
2023-08-21,52
2023-08-22,49
2023-08-23,50
2023-08-24,49
2023-08-25,52
2023-08-26,53
2023-08-27,57
2023-08-28,48
2023-08-29,49
2023-08-30,46
2023-08-31,51
2023-09-01,51
2023-09-02,52
2023-09-03,50
2023-09-04,52
2023-09-05,50
2023-09-06,47
2023-09-07,48
2023-09-08,47
2023-09-09,52
2023-09-10,56
2023-09-11,52
2023-09-12,52
2023-09-13,61
2023-09-14,49
2023-09-15,48
2023-09-16,51
2023-09-17,56
2023-09-18,47
2023-09-19,45
2023-09-20,49
2023-09-21,49
2023-09-22,53
2023-09-23,50
2023-09-24,55
2023-09-25,48
2023-09-26,51
2023-09-27,51
2023-09-28,43
2023-09-29,49
2023-09-30,52
2023-10-01,47
2023-10-02,44
2023-10-03,44
2023-10-04,45
2023-10-05,45
2023-10-06,49
2023-10-07,46
2023-10-08,49
2023-10-09,45
2023-10-10,46
2023-10-11,44
2023-10-12,47
2023-10-13,49
2023-10-14,48
2023-10-15,49
2023-10-16,48
2023-10-17,46
2023-10-18,42
2023-10-19,45
2023-10-20,47
2023-10-21,43
2023-10-22,46
2023-10-23,44
2023-10-24,42
2023-10-25,47
2023-10-26,43
2023-10-27,42
2023-10-28,42
2023-10-29,45
2023-10-30,38
2023-10-31,39
2023-11-01,42
2023-11-02,42
2023-11-03,45
2023-11-04,52
2023-11-05,47
2023-11-06,49
2023-11-07,52
2023-11-08,54
2023-11-09,53
2023-11-10,58
2023-11-11,57
2023-11-12,61
2023-11-13,54
2023-11-14,49
2023-11-15,48
2023-11-16,51
2023-11-17,48
2023-11-18,51
2023-11-19,49
2023-11-20,50
2023-11-21,48
2023-11-22,81
2023-11-23,100
2023-11-24,62
2023-11-25,57
2023-11-26,59
2023-11-27,55
2023-11-28,52
2023-11-29,54
2023-11-30,67
2023-12-01,55
2023-12-02,54
2023-12-03,58
2023-12-04,57
2023-12-05,56
2023-12-06,61
2023-12-07,53
2023-12-08,54
2023-12-09,56
2023-12-10,59
2023-12-11,68
2023-12-12,71
2023-12-13,66
2023-12-14,59
2023-12-15,59
2023-12-16,60
2023-12-17,57
2023-12-18,52
2023-12-19,55
2023-12-20,60
2023-12-21,60
2023-12-22,59
2023-12-23,56
2023-12-24,56
2023-12-25,65
2023-12-26,54
2023-12-27,51
2023-12-28,57
2023-12-29,59
2023-12-30,63
2023-12-31,60
2024-01-01,60
2024-01-02,51
2024-01-03,52
2024-01-04,55
2024-01-05,53
2024-01-06,53
2024-01-07,57
2024-01-08,49
2024-01-09,46
2024-01-10,52
2024-01-11,49
2024-01-12,49
2024-01-13,47
2024-01-14,50
2024-01-15,46
2024-01-16,47
2024-01-17,50
2024-01-18,45
2024-01-19,49
2024-01-20,50
