Time,you tube
2022-01-01,87
2022-01-02,85
2022-01-03,78
2022-01-04,86
2022-01-05,92
2022-01-06,76
2022-01-07,91
2022-01-08,88
2022-01-09,84
2022-01-10,84
2022-01-11,92
2022-01-12,86
2022-01-13,100
2022-01-14,72
2022-01-15,84
2022-01-16,77
2022-01-17,79
2022-01-18,80
2022-01-19,83
2022-01-20,86
2022-01-21,89
2022-01-22,90
2022-01-23,83
2022-01-24,96
2022-01-25,78
2022-01-26,78
2022-01-27,93
2022-01-28,93
2022-01-29,92
2022-01-30,90
2022-01-31,85
2022-02-01,90
2022-02-02,88
2022-02-03,89
2022-02-04,89
2022-02-05,88
2022-02-06,90
2022-02-07,86
2022-02-08,87
2022-02-09,87
2022-02-10,80
2022-02-11,93
2022-02-12,88
2022-02-13,81
2022-02-14,84
2022-02-15,85
2022-02-16,83
2022-02-17,82
2022-02-18,84
2022-02-19,82
2022-02-20,83
2022-02-21,82
2022-02-22,82
2022-02-23,82
2022-02-24,80
2022-02-25,82
2022-02-26,76
2022-02-27,73
2022-02-28,73
2022-03-01,72
2022-03-02,73
2022-03-03,73
2022-03-04,72
2022-03-05,69
2022-03-06,70
2022-03-07,73
2022-03-08,74
2022-03-09,72
2022-03-10,74
2022-03-11,71
2022-03-12,68
2022-03-13,67
2022-03-14,69
2022-03-15,70
2022-03-16,67
2022-03-17,68
2022-03-18,66
2022-03-19,68
2022-03-20,69
2022-03-21,69
2022-03-22,71
2022-03-23,71
2022-03-24,73
2022-03-25,71
2022-03-26,67
2022-03-27,65
2022-03-28,80
2022-03-29,74
2022-03-30,70
2022-03-31,70
2022-04-01,73
2022-04-02,63
2022-04-03,68
2022-04-04,68
2022-04-05,71
2022-04-06,75
2022-04-07,76
2022-04-08,72
2022-04-09,65
2022-04-10,68
2022-04-11,69
2022-04-12,74
2022-04-13,69
2022-04-14,75
2022-04-15,69
2022-04-16,65
2022-04-17,69
2022-04-18,70
2022-04-19,70
2022-04-20,68
2022-04-21,69
2022-04-22,71
2022-04-23,66
2022-04-24,66
2022-04-25,69
2022-04-26,74
2022-04-27,74
2022-04-28,72
2022-04-29,70
2022-04-30,64
2022-05-01,67
2022-05-02,72
2022-05-03,70
2022-05-04,68
2022-05-05,72
2022-05-06,74
2022-05-07,64
2022-05-08,63
2022-05-09,68
2022-05-10,71
2022-05-11,72
2022-05-12,71
2022-05-13,67
2022-05-14,60
2022-05-15,61
2022-05-16,71
2022-05-17,73
2022-05-18,73
2022-05-19,72
2022-05-20,72
2022-05-21,64
2022-05-22,59
2022-05-23,73
2022-05-24,77
2022-05-25,70
2022-05-26,70
2022-05-27,71
2022-05-28,62
2022-05-29,58
2022-05-30,57
2022-05-31,61
2022-06-01,66
2022-06-02,64
2022-06-03,61
2022-06-04,59
2022-06-05,64
2022-06-06,62
2022-06-07,64
2022-06-08,68
2022-06-09,65
2022-06-10,65
2022-06-11,55
2022-06-12,57
2022-06-13,63
2022-06-14,64
2022-06-15,68
2022-06-16,61
2022-06-17,58
2022-06-18,55
2022-06-19,56
2022-06-20,56
2022-06-21,60
2022-06-22,59
2022-06-23,62
2022-06-24,61
2022-06-25,56
2022-06-26,58
2022-06-27,63
2022-06-28,59
2022-06-29,59
2022-06-30,61
2022-07-01,62
2022-07-02,56
2022-07-03,55
2022-07-04,57
2022-07-05,56
2022-07-06,58
2022-07-07,60
2022-07-08,56
2022-07-09,52
2022-07-10,58
2022-07-11,62
2022-07-12,63
2022-07-13,63
2022-07-14,65
2022-07-15,59
2022-07-16,55
2022-07-17,57
2022-07-18,58
2022-07-19,62
2022-07-20,60
2022-07-21,64
2022-07-22,62
2022-07-23,57
2022-07-24,56
2022-07-25,62
2022-07-26,59
2022-07-27,58
2022-07-28,61
2022-07-29,59
2022-07-30,51
2022-07-31,61
2022-08-01,58
2022-08-02,59
2022-08-03,61
2022-08-04,59
2022-08-05,58
2022-08-06,53
2022-08-07,56
2022-08-08,58
2022-08-09,64
2022-08-10,63
2022-08-11,61
2022-08-12,61
2022-08-13,53
2022-08-14,52
2022-08-15,60
2022-08-16,64
2022-08-17,62
2022-08-18,63
2022-08-19,65
2022-08-20,56
2022-08-21,55
2022-08-22,58
2022-08-23,67
2022-08-24,64
2022-08-25,68
2022-08-26,64
2022-08-27,59
2022-08-28,57
2022-08-29,66
2022-08-30,62
2022-08-31,67
2022-09-01,64
2022-09-02,64
2022-09-03,55
2022-09-04,57
2022-09-05,57
2022-09-06,65
2022-09-07,60
2022-09-08,64
2022-09-09,64
2022-09-10,54
2022-09-11,55
2022-09-12,66
2022-09-13,65
2022-09-14,63
2022-09-15,64
2022-09-16,63
2022-09-17,55
2022-09-18,55
2022-09-19,63
2022-09-20,69
2022-09-21,65
2022-09-22,64
2022-09-23,67
2022-09-24,57
2022-09-25,55
2022-09-26,60
2022-09-27,65
