Time,miami_heat
2022-01-01,9.0
2022-01-02,7.0
2022-01-03,7.0
2022-01-04,10.0
2022-01-05,5.0
2022-01-06,8.0
2022-01-07,4.0
2022-01-08,6.0
2022-01-09,11.0
2022-01-10,4.0
2022-01-11,4.0
2022-01-12,6.0
2022-01-13,10.0
2022-01-14,5.0
2022-01-15,12.0
2022-01-16,8.0
2022-01-17,5.0
2022-01-18,9.0
2022-01-19,6.0
2022-01-20,10.0
2022-01-21,6.0
2022-01-22,10.0
2022-01-23,7.0
2022-01-24,12.0
2022-01-25,5.0
2022-01-26,7.0
2022-01-27,11.0
2022-01-28,7.0
2022-01-29,14.0
2022-01-30,14.0
2022-01-31,6.0
2022-02-01,9.0
2022-02-02,8.0
2022-02-03,5.0
2022-02-04,8.0
2022-02-05,6.0
2022-02-06,11.0
2022-02-07,7.0
2022-02-08,10.0
2022-02-09,7.0
2022-02-10,9.0
2022-02-11,10.0
2022-02-12,7.0
2022-02-13,10.0
2022-02-14,5.0
2022-02-15,7.0
2022-02-16,9.0
2022-02-17,6.0
2022-02-18,12.0
2022-02-19,4.0
2022-02-20,4.0
2022-02-21,4.0
2022-02-22,4.0
2022-02-23,4.0
2022-02-24,3.0
2022-02-25,5.0
2022-02-26,12.0
2022-02-27,12.0
2022-02-28,6.0
2022-03-01,11.0
2022-03-02,6.0
2022-03-03,11.0
2022-03-04,11.0
2022-03-05,8.0
2022-03-06,13.0
2022-03-07,7.0
2022-03-08,11.0
2022-03-09,7.0
2022-03-10,11.0
2022-03-11,6.0
2022-03-12,12.0
2022-03-13,10.0
2022-03-14,5.0
2022-03-15,7.0
2022-03-16,9.0
2022-03-17,5.0
2022-03-18,5.0
2022-03-19,8.0
2022-03-20,5.0
2022-03-21,6.0
2022-03-22,8.0
2022-03-23,6.0
2022-03-24,16.0
2022-03-25,7.0
2022-03-26,12.0
2022-03-27,11.0
2022-03-28,5.0
2022-03-29,7.0
2022-03-30,6.0
2022-03-31,12.0
2022-04-01,5.0
2022-04-02,7.0
2022-04-03,12.0
2022-04-04,9.0
2022-04-05,6.0
2022-04-06,12.0
2022-04-07,7.0
2022-04-08,8.0
2022-04-09,10.0
2022-04-10,7.0
2022-04-11,10.0
2022-04-12,5.0
2022-04-13,5.0
2022-04-14,5.0
2022-04-15,5.0
2022-04-16,9.0
2022-04-17,25.0
2022-04-18,9.0
2022-04-19,11.0
2022-04-20,18.0
2022-04-21,7.0
2022-04-22,11.0
2022-04-23,24.0
2022-04-24,14.0
2022-04-25,17.0
2022-04-26,13.0
2022-04-27,22.0
2022-04-28,7.0
2022-04-29,9.0
2022-04-30,7.0
2022-05-01,8.0
2022-05-02,10.0
2022-05-03,22.0
2022-05-04,11.0
2022-05-05,21.0
2022-05-06,12.0
2022-05-07,22.0
2022-05-08,14.0
2022-05-09,21.0
2022-05-10,12.0
2022-05-11,24.0
2022-05-12,14.0
2022-05-13,29.0
2022-05-14,10.0
2022-05-15,14.0
2022-05-16,16.0
2022-05-17,15.0
2022-05-18,48.0
2022-05-19,16.0
2022-05-20,39.0
2022-05-21,18.0
2022-05-22,54.0
2022-05-23,21.0
