Time,ap classroom
2022-01-01,1
2022-01-02,2
2022-01-03,6
2022-01-04,11
2022-01-05,13
2022-01-06,11
2022-01-07,12
2022-01-08,2
2022-01-09,5
2022-01-10,14
2022-01-11,15
2022-01-12,14
2022-01-13,14
2022-01-14,11
2022-01-15,3
2022-01-16,2
2022-01-17,5
2022-01-18,13
2022-01-19,14
2022-01-20,15
2022-01-21,14
2022-01-22,5
2022-01-23,6
2022-01-24,19
2022-01-25,14
2022-01-26,13
2022-01-27,15
2022-01-28,17
2022-01-29,4
2022-01-30,5
2022-01-31,17
2022-02-01,15
2022-02-02,15
2022-02-03,14
2022-02-04,12
2022-02-05,3
2022-02-06,5
2022-02-07,16
2022-02-08,16
2022-02-09,13
2022-02-10,12
2022-02-11,14
2022-02-12,4
2022-02-13,5
2022-02-14,13
2022-02-15,14
2022-02-16,14
2022-02-17,14
2022-02-18,10
2022-02-19,3
2022-02-20,2
2022-02-21,6
2022-02-22,12
2022-02-23,12
2022-02-24,15
2022-02-25,13
2022-02-26,6
2022-02-27,6
2022-02-28,18
2022-03-01,16
2022-03-02,14
2022-03-03,15
2022-03-04,15
2022-03-05,3
2022-03-06,5
2022-03-07,17
2022-03-08,15
2022-03-09,17
2022-03-10,15
2022-03-11,13
2022-03-12,4
2022-03-13,5
2022-03-14,12
2022-03-15,12
2022-03-16,11
2022-03-17,11
2022-03-18,10
2022-03-19,3
2022-03-20,4
2022-03-21,13
2022-03-22,13
2022-03-23,13
2022-03-24,14
2022-03-25,29
2022-03-26,6
2022-03-27,10
2022-03-28,34
2022-03-29,32
2022-03-30,15
2022-03-31,32
2022-04-01,29
2022-04-02,6
2022-04-03,11
2022-04-04,37
2022-04-05,34
2022-04-06,34
2022-04-07,34
2022-04-08,31
2022-04-09,8
2022-04-10,11
2022-04-11,43
2022-04-12,40
2022-04-13,35
2022-04-14,32
2022-04-15,18
2022-04-16,8
2022-04-17,10
2022-04-18,38
2022-04-19,43
2022-04-20,42
2022-04-21,43
2022-04-22,40
2022-04-23,13
2022-04-24,18
2022-04-25,71
2022-04-26,59
2022-04-27,54
2022-04-28,57
2022-04-29,51
2022-04-30,18
2022-05-01,31
2022-05-02,74
2022-05-03,54
2022-05-04,49
2022-05-05,45
2022-05-06,36
2022-05-07,12
2022-05-08,17
2022-05-09,38
2022-05-10,27
2022-05-11,22
2022-05-12,16
2022-05-13,9
2022-05-14,3
2022-05-15,4
2022-05-16,10
2022-05-17,9
2022-05-18,8
2022-05-19,8
2022-05-20,6
2022-05-21,2
2022-05-22,2
2022-05-23,6
2022-05-24,5
2022-05-25,5
2022-05-26,4
2022-05-27,2
2022-05-28,1
2022-05-29,1
2022-05-30,1
2022-05-31,3
2022-06-01,4
2022-06-02,3
2022-06-03,3
2022-06-04,2
2022-06-05,1
2022-06-06,2
2022-06-07,3
2022-06-08,3
2022-06-09,2
2022-06-10,2
2022-06-11,1
2022-06-12,1
2022-06-13,2
2022-06-14,2
2022-06-15,2
2022-06-16,2
2022-06-17,1
2022-06-18,1
2022-06-19,1
2022-06-20,2
2022-06-21,2
2022-06-22,2
2022-06-23,2
2022-06-24,2
2022-06-25,1
2022-06-26,1
2022-06-27,2
2022-06-28,2
2022-06-29,2
2022-06-30,2
2022-07-01,4
2022-07-02,3
2022-07-03,3
2022-07-04,7
2022-07-05,100
2022-07-06,15
2022-07-07,6
2022-07-08,4
2022-07-09,3
2022-07-10,2
2022-07-11,3
2022-07-12,3
2022-07-13,3
2022-07-14,2
2022-07-15,4
2022-07-16,2
2022-07-17,1
2022-07-18,2
2022-07-19,2
2022-07-20,2
2022-07-21,1
2022-07-22,2
2022-07-23,1
2022-07-24,1
2022-07-25,2
2022-07-26,1
2022-07-27,2
2022-07-28,2
2022-07-29,2
2022-07-30,1
2022-07-31,1
2022-08-01,3
2022-08-02,3
2022-08-03,5
2022-08-04,5
2022-08-05,5
2022-08-06,1
2022-08-07,2
2022-08-08,8
2022-08-09,10
2022-08-10,13
2022-08-11,15
2022-08-12,17
2022-08-13,3
2022-08-14,4
2022-08-15,19
2022-08-16,24
2022-08-17,27
2022-08-18,31
2022-08-19,28
2022-08-20,5
2022-08-21,7
2022-08-22,35
2022-08-23,35
2022-08-24,36
2022-08-25,37
2022-08-26,34
2022-08-27,6
2022-08-28,10
2022-08-29,43
2022-08-30,48
2022-08-31,46
2022-09-01,46
2022-09-02,39
2022-09-03,5
2022-09-04,6
2022-09-05,11
2022-09-06,53
2022-09-07,55
2022-09-08,55
2022-09-09,49
2022-09-10,8
2022-09-11,13
2022-09-12,55
2022-09-13,55
2022-09-14,56
2022-09-15,52
2022-09-16,48
2022-09-17,8
2022-09-18,13
2022-09-19,51
2022-09-20,49
2022-09-21,47
2022-09-22,51
2022-09-23,43
2022-09-24,7
2022-09-25,11
2022-09-26,41
2022-09-27,45
