Time,ap classroom
2023-12-22,4
2023-12-23,1
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,1
2023-12-28,1
2023-12-29,1
2023-12-30,1
2023-12-31,1
2024-01-01,1
2024-01-02,6
2024-01-03,8
2024-01-04,10
2024-01-05,10
2024-01-06,2
2024-01-07,4
2024-01-08,16
2024-01-09,16
2024-01-10,17
2024-01-11,19
2024-01-12,17
2024-01-13,2
2024-01-14,3
2024-01-15,5
2024-01-16,15
2024-01-17,19
2024-01-18,19
2024-01-19,16
2024-01-20,3
2024-01-21,5
2024-01-22,20
2024-01-23,20
2024-01-24,19
2024-01-25,19
2024-01-26,18
2024-01-27,4
2024-01-28,4
2024-01-29,21
2024-01-30,23
2024-01-31,22
2024-02-01,20
2024-02-02,19
2024-02-03,3
2024-02-04,5
2024-02-05,22
2024-02-06,20
2024-02-07,21
2024-02-08,20
2024-02-09,19
2024-02-10,3
2024-02-11,5
2024-02-12,18
2024-02-13,20
2024-02-14,18
2024-02-15,20
2024-02-16,15
2024-02-17,3
2024-02-18,2
2024-02-19,7
2024-02-20,17
2024-02-21,18
2024-02-22,17
2024-02-23,15
2024-02-24,3
2024-02-25,5
2024-02-26,22
2024-02-27,20
2024-02-28,21
2024-02-29,19
2024-03-01,19
2024-03-02,3
2024-03-03,5
2024-03-04,22
2024-03-05,20
2024-03-06,21
2024-03-07,20
2024-03-08,17
2024-03-09,4
2024-03-10,5
2024-03-11,16
2024-03-12,16
2024-03-13,16
2024-03-14,17
2024-03-15,14
2024-03-16,3
2024-03-17,5
2024-03-18,19
2024-03-19,19
2024-03-20,18
2024-03-21,18
2024-03-22,17
2024-03-23,3
2024-03-24,4
2024-03-25,17
2024-03-26,16
2024-03-27,17
2024-03-28,15
2024-03-29,7
2024-03-30,3
2024-03-31,3
2024-04-01,12
2024-04-02,17
2024-04-03,17
2024-04-04,19
2024-04-05,18
2024-04-06,4
2024-04-07,6
2024-04-08,22
2024-04-09,23
2024-04-10,23
2024-04-11,24
2024-04-12,23
2024-04-13,4
2024-04-14,7
2024-04-15,29
2024-04-16,28
2024-04-17,27
2024-04-18,30
2024-04-19,26
2024-04-20,6
2024-04-21,8
2024-04-22,35
2024-04-23,34
2024-04-24,33
2024-04-25,32
2024-04-26,30
2024-04-27,8
2024-04-28,11
2024-04-29,44
2024-04-30,46
2024-05-01,43
2024-05-02,42
2024-05-03,35
2024-05-04,11
2024-05-05,16
2024-05-06,47
2024-05-07,39
2024-05-08,35
2024-05-09,32
2024-05-10,26
2024-05-11,8
2024-05-12,10
2024-05-13,24
2024-05-14,19
2024-05-15,16
2024-05-16,11
2024-05-17,6
2024-05-18,1
2024-05-19,1
2024-05-20,5
2024-05-21,5
2024-05-22,4
2024-05-23,3
2024-05-24,2
2024-05-25,1
2024-05-26,1
2024-05-27,1
2024-05-28,2
2024-05-29,2
2024-05-30,2
2024-05-31,2
2024-06-01,1
2024-06-02,1
2024-06-03,2
2024-06-04,2
2024-06-05,2
2024-06-06,2
2024-06-07,1
2024-06-08,1
2024-06-09,1
2024-06-10,2
2024-06-11,1
2024-06-12,1
2024-06-13,1
2024-06-14,1
2024-06-15,1
2024-06-16,1
2024-06-17,1
2024-06-18,2
2024-06-19,1
2024-06-20,2
2024-06-21,2
2024-06-22,1
2024-06-23,1
2024-06-24,2
2024-06-25,2
2024-06-26,1
2024-06-27,2
2024-06-28,2
2024-06-29,1
2024-06-30,1
2024-07-01,2
2024-07-02,3
2024-07-03,5
2024-07-04,3
2024-07-05,4
2024-07-06,3
2024-07-07,6
2024-07-08,100
2024-07-09,11
2024-07-10,3
2024-07-11,3
2024-07-12,2
2024-07-13,2
2024-07-14,2
2024-07-15,3
2024-07-16,2
2024-07-17,2
2024-07-18,1
2024-07-19,1
2024-07-20,1
2024-07-21,1
2024-07-22,1
2024-07-23,1
2024-07-24,1
2024-07-25,1
2024-07-26,1
2024-07-27,1
2024-07-28,1
2024-07-29,1
2024-07-30,1
2024-07-31,1
2024-08-01,3
2024-08-02,3
2024-08-03,1
2024-08-04,1
2024-08-05,5
2024-08-06,5
2024-08-07,6
2024-08-08,7
2024-08-09,7
2024-08-10,1
2024-08-11,2
2024-08-12,12
2024-08-13,16
2024-08-14,19
2024-08-15,22
2024-08-16,22
2024-08-17,3
2024-08-18,4
2024-08-19,24
2024-08-20,25
2024-08-21,26
2024-08-22,30
2024-08-23,30
2024-08-24,4
2024-08-25,6
2024-08-26,33
2024-08-27,35
2024-08-28,36
2024-08-29,35
2024-08-30,30
2024-08-31,4
2024-09-01,5
2024-09-02,7
2024-09-03,36
2024-09-04,40
2024-09-05,40
2024-09-06,38
2024-09-07,6
2024-09-08,8
2024-09-09,40
2024-09-10,37
2024-09-11,37
2024-09-12,38
2024-09-13,38
2024-09-14,5
2024-09-15,8
2024-09-16,38
