Time,the whale
2023-12-22,33
2023-12-23,37
2023-12-24,35
2023-12-25,33
2023-12-26,37
2023-12-27,38
2023-12-28,31
2023-12-29,34
2023-12-30,42
2023-12-31,42
2024-01-01,49
2024-01-02,42
2024-01-03,38
2024-01-04,35
2024-01-05,33
2024-01-06,41
2024-01-07,38
2024-01-08,39
2024-01-09,34
2024-01-10,42
2024-01-11,41
2024-01-12,37
2024-01-13,36
2024-01-14,42
2024-01-15,41
2024-01-16,35
2024-01-17,35
2024-01-18,38
2024-01-19,35
2024-01-20,43
2024-01-21,43
2024-01-22,40
2024-01-23,39
2024-01-24,38
2024-01-25,36
2024-01-26,37
2024-01-27,38
2024-01-28,40
2024-01-29,38
2024-01-30,41
2024-01-31,38
2024-02-01,41
2024-02-02,38
2024-02-03,37
2024-02-04,40
2024-02-05,38
2024-02-06,40
2024-02-07,38
2024-02-08,42
2024-02-09,37
2024-02-10,39
2024-02-11,40
2024-02-12,34
2024-02-13,38
2024-02-14,39
2024-02-15,41
2024-02-16,100
2024-02-17,46
2024-02-18,48
2024-02-19,44
2024-02-20,40
2024-02-21,40
2024-02-22,50
2024-02-23,42
2024-02-24,41
2024-02-25,49
2024-02-26,46
2024-02-27,42
2024-02-28,41
2024-02-29,45
2024-03-01,48
2024-03-02,42
2024-03-03,49
2024-03-04,48
2024-03-05,47
2024-03-06,54
2024-03-07,54
2024-03-08,48
2024-03-09,40
2024-03-10,46
2024-03-11,56
2024-03-12,46
2024-03-13,42
2024-03-14,40
2024-03-15,42
2024-03-16,41
2024-03-17,43
2024-03-18,42
2024-03-19,43
2024-03-20,46
2024-03-21,40
2024-03-22,39
2024-03-23,40
2024-03-24,41
2024-03-25,40
2024-03-26,39
2024-03-27,38
2024-03-28,52
2024-03-29,40
2024-03-30,32
2024-03-31,38
2024-04-01,32
2024-04-02,38
2024-04-03,39
2024-04-04,38
2024-04-05,39
2024-04-06,34
2024-04-07,42
2024-04-08,41
2024-04-09,40
2024-04-10,40
2024-04-11,38
2024-04-12,39
2024-04-13,34
2024-04-14,35
2024-04-15,43
2024-04-16,37
2024-04-17,38
2024-04-18,44
2024-04-19,38
2024-04-20,34
2024-04-21,38
2024-04-22,45
2024-04-23,40
2024-04-24,46
2024-04-25,42
2024-04-26,41
2024-04-27,39
2024-04-28,40
2024-04-29,45
2024-04-30,44
2024-05-01,40
2024-05-02,42
2024-05-03,42
2024-05-04,36
2024-05-05,39
2024-05-06,47
2024-05-07,40
2024-05-08,43
2024-05-09,43
2024-05-10,44
2024-05-11,35
2024-05-12,39
2024-05-13,42
2024-05-14,39
2024-05-15,43
2024-05-16,43
2024-05-17,42
2024-05-18,36
2024-05-19,39
2024-05-20,42
2024-05-21,40
2024-05-22,43
2024-05-23,40
2024-05-24,38
2024-05-25,38
2024-05-26,44
2024-05-27,45
2024-05-28,37
2024-05-29,38
2024-05-30,37
2024-05-31,36
2024-06-01,37
2024-06-02,36
2024-06-03,35
2024-06-04,36
2024-06-05,38
2024-06-06,38
2024-06-07,42
2024-06-08,43
2024-06-09,43
2024-06-10,38
2024-06-11,36
2024-06-12,31
2024-06-13,35
2024-06-14,34
2024-06-15,39
2024-06-16,41
2024-06-17,46
2024-06-18,43
2024-06-19,36
2024-06-20,38
2024-06-21,40
2024-06-22,46
2024-06-23,42
2024-06-24,36
2024-06-25,31
2024-06-26,33
2024-06-27,33
2024-06-28,33
2024-06-29,38
2024-06-30,40
2024-07-01,32
2024-07-02,31
2024-07-03,33
2024-07-04,34
2024-07-05,35
2024-07-06,40
2024-07-07,43
2024-07-08,34
2024-07-09,34
2024-07-10,36
2024-07-11,35
2024-07-12,35
2024-07-13,38
2024-07-14,38
2024-07-15,32
2024-07-16,33
2024-07-17,37
2024-07-18,33
2024-07-19,32
2024-07-20,37
2024-07-21,38
2024-07-22,31
2024-07-23,35
2024-07-24,55
2024-07-25,39
2024-07-26,32
2024-07-27,37
2024-07-28,39
2024-07-29,34
2024-07-30,30
2024-07-31,29
2024-08-01,31
2024-08-02,32
2024-08-03,37
2024-08-04,39
2024-08-05,29
2024-08-06,33
2024-08-07,33
2024-08-08,34
2024-08-09,31
2024-08-10,35
2024-08-11,47
2024-08-12,34
2024-08-13,31
2024-08-14,34
2024-08-15,39
2024-08-16,34
2024-08-17,45
2024-08-18,47
2024-08-19,37
2024-08-20,36
2024-08-21,34
2024-08-22,32
2024-08-23,35
2024-08-24,41
2024-08-25,50
2024-08-26,40
2024-08-27,40
2024-08-28,40
2024-08-29,42
2024-08-30,50
2024-08-31,56
2024-09-01,55
2024-09-02,58
2024-09-03,39
2024-09-04,38
2024-09-05,38
2024-09-06,36
2024-09-07,41
2024-09-08,47
2024-09-09,38
2024-09-10,34
2024-09-11,35
2024-09-12,37
2024-09-13,40
2024-09-14,39
2024-09-15,42
2024-09-16,38
