Time,atoll
2023-12-22,28
2023-12-23,24
2023-12-24,22
2023-12-25,21
2023-12-26,24
2023-12-27,27
2023-12-28,19
2023-12-29,34
2023-12-30,23
2023-12-31,25
2024-01-01,25
2024-01-02,27
2024-01-03,23
2024-01-04,31
2024-01-05,29
2024-01-06,26
2024-01-07,31
2024-01-08,35
2024-01-09,24
2024-01-10,24
2024-01-11,27
2024-01-12,21
2024-01-13,81
2024-01-14,39
2024-01-15,23
2024-01-16,25
2024-01-17,28
2024-01-18,29
2024-01-19,33
2024-01-20,24
2024-01-21,18
2024-01-22,33
2024-01-23,50
2024-01-24,76
2024-01-25,45
2024-01-26,34
2024-01-27,25
2024-01-28,26
2024-01-29,27
2024-01-30,33
2024-01-31,29
2024-02-01,31
2024-02-02,33
2024-02-03,28
2024-02-04,22
2024-02-05,27
2024-02-06,31
2024-02-07,35
2024-02-08,23
2024-02-09,22
2024-02-10,32
2024-02-11,27
2024-02-12,27
2024-02-13,31
2024-02-14,30
2024-02-15,29
2024-02-16,26
2024-02-17,22
2024-02-18,30
2024-02-19,29
2024-02-20,31
2024-02-21,24
2024-02-22,21
2024-02-23,26
2024-02-24,24
2024-02-25,30
2024-02-26,32
2024-02-27,35
2024-02-28,32
2024-02-29,30
2024-03-01,29
2024-03-02,25
2024-03-03,29
2024-03-04,27
2024-03-05,31
2024-03-06,35
2024-03-07,31
2024-03-08,24
2024-03-09,23
2024-03-10,27
2024-03-11,35
2024-03-12,29
2024-03-13,33
2024-03-14,31
2024-03-15,27
2024-03-16,27
2024-03-17,25
2024-03-18,38
2024-03-19,38
2024-03-20,34
2024-03-21,29
2024-03-22,27
2024-03-23,21
2024-03-24,28
2024-03-25,30
2024-03-26,27
2024-03-27,30
2024-03-28,28
2024-03-29,18
2024-03-30,22
2024-03-31,20
2024-04-01,25
2024-04-02,42
2024-04-03,30
2024-04-04,29
2024-04-05,35
2024-04-06,27
2024-04-07,26
2024-04-08,31
2024-04-09,30
2024-04-10,32
2024-04-11,100
2024-04-12,83
2024-04-13,32
2024-04-14,30
2024-04-15,34
2024-04-16,31
2024-04-17,38
2024-04-18,34
2024-04-19,29
2024-04-20,23
2024-04-21,24
2024-04-22,35
2024-04-23,28
2024-04-24,32
2024-04-25,30
2024-04-26,40
2024-04-27,24
2024-04-28,24
2024-04-29,39
2024-04-30,31
2024-05-01,35
2024-05-02,32
2024-05-03,36
2024-05-04,25
2024-05-05,18
2024-05-06,34
2024-05-07,33
2024-05-08,39
2024-05-09,40
2024-05-10,30
2024-05-11,23
2024-05-12,26
2024-05-13,40
2024-05-14,33
2024-05-15,37
2024-05-16,36
2024-05-17,30
2024-05-18,26
2024-05-19,29
2024-05-20,30
2024-05-21,26
2024-05-22,31
2024-05-23,28
2024-05-24,31
2024-05-25,26
2024-05-26,27
2024-05-27,21
2024-05-28,34
2024-05-29,24
2024-05-30,29
2024-05-31,29
2024-06-01,30
2024-06-02,36
2024-06-03,35
2024-06-04,33
2024-06-05,31
2024-06-06,25
2024-06-07,26
2024-06-08,28
2024-06-09,31
2024-06-10,34
2024-06-11,22
2024-06-12,26
2024-06-13,28
2024-06-14,23
2024-06-15,26
2024-06-16,20
2024-06-17,22
2024-06-18,27
2024-06-19,35
2024-06-20,17
2024-06-21,33
2024-06-22,27
2024-06-23,23
2024-06-24,24
2024-06-25,21
2024-06-26,22
2024-06-27,39
2024-06-28,25
2024-06-29,27
2024-06-30,30
2024-07-01,20
2024-07-02,24
2024-07-03,27
2024-07-04,23
2024-07-05,22
2024-07-06,22
2024-07-07,20
2024-07-08,31
2024-07-09,28
2024-07-10,20
2024-07-11,22
2024-07-12,21
2024-07-13,23
2024-07-14,25
2024-07-15,25
2024-07-16,23
2024-07-17,22
2024-07-18,24
2024-07-19,18
2024-07-20,22
2024-07-21,35
2024-07-22,49
2024-07-23,61
2024-07-24,58
2024-07-25,43
2024-07-26,35
2024-07-27,29
2024-07-28,29
2024-07-29,23
2024-07-30,34
2024-07-31,29
2024-08-01,28
2024-08-02,31
2024-08-03,27
2024-08-04,23
2024-08-05,27
2024-08-06,30
2024-08-07,35
2024-08-08,24
2024-08-09,20
2024-08-10,21
2024-08-11,31
2024-08-12,31
2024-08-13,25
2024-08-14,25
2024-08-15,24
2024-08-16,29
2024-08-17,29
2024-08-18,28
2024-08-19,27
2024-08-20,26
2024-08-21,25
2024-08-22,29
2024-08-23,26
2024-08-24,25
2024-08-25,27
2024-08-26,33
2024-08-27,29
2024-08-28,25
2024-08-29,25
2024-08-30,29
2024-08-31,28
2024-09-01,27
2024-09-02,28
2024-09-03,40
2024-09-04,36
2024-09-05,27
2024-09-06,21
2024-09-07,24
2024-09-08,24
2024-09-09,26
2024-09-10,24
2024-09-11,28
2024-09-12,22
2024-09-13,23
2024-09-14,23
2024-09-15,23
2024-09-16,28
