Time,weather_tomorrow
2022-01-01,68.0
2022-01-02,79.0
2022-01-03,84.0
2022-01-04,72.0
2022-01-05,79.0
2022-01-06,74.0
2022-01-07,88.0
2022-01-08,63.0
2022-01-09,74.0
2022-01-10,57.0
2022-01-11,53.0
2022-01-12,54.0
2022-01-13,57.0
2022-01-14,52.0
2022-01-15,76.0
2022-01-16,83.0
2022-01-17,66.0
2022-01-18,52.0
2022-01-19,66.0
2022-01-20,85.0
2022-01-21,72.0
2022-01-22,64.0
2022-01-23,55.0
2022-01-24,68.0
2022-01-25,49.0
2022-01-26,54.0
2022-01-27,57.0
2022-01-28,85.0
2022-01-29,78.0
2022-01-30,60.0
2022-01-31,64.0
2022-02-01,69.0
2022-02-02,86.0
2022-02-03,100.0
2022-02-04,88.0
2022-02-05,64.0
2022-02-06,59.0
2022-02-07,63.0
2022-02-08,45.0
2022-02-09,46.0
2022-02-10,44.0
2022-02-11,59.0
2022-02-12,67.0
2022-02-13,63.0
2022-02-14,50.0
2022-02-15,61.0
2022-02-16,71.0
2022-02-17,76.0
2022-02-18,70.0
2022-02-19,60.0
2022-02-20,58.0
2022-02-21,74.0
2022-02-22,89.0
2022-02-23,85.0
2022-02-24,80.0
2022-02-25,70.0
2022-02-26,54.0
2022-02-27,58.0
2022-02-28,57.0
2022-03-01,50.0
2022-03-02,49.0
2022-03-03,51.0
2022-03-04,48.0
2022-03-05,66.0
2022-03-06,76.0
2022-03-07,72.0
2022-03-08,70.0
2022-03-09,77.0
2022-03-10,66.0
2022-03-11,84.0
2022-03-12,87.0
2022-03-13,67.0
2022-03-14,64.0
2022-03-15,61.0
2022-03-16,67.0
2022-03-17,71.0
2022-03-18,77.0
2022-03-19,77.0
2022-03-20,69.0
2022-03-21,76.0
2022-03-22,69.0
2022-03-23,70.0
2022-03-24,67.0
2022-03-25,53.0
2022-03-26,58.0
2022-03-27,57.0
2022-03-28,62.0
2022-03-29,57.0
2022-03-30,74.0
2022-03-31,66.0
2022-04-01,57.0
2022-04-02,62.0
2022-04-03,61.0
2022-04-04,60.0
2022-04-05,69.0
2022-04-06,66.0
2022-04-07,64.0
2022-04-08,62.0
2022-04-09,67.0
2022-04-10,60.0
2022-04-11,79.0
2022-04-12,79.0
2022-04-13,78.0
2022-04-14,71.0
2022-04-15,64.0
2022-04-16,77.0
2022-04-17,73.0
2022-04-18,70.0
2022-04-19,59.0
2022-04-20,55.0
2022-04-21,58.0
2022-04-22,61.0
2022-04-23,60.0
2022-04-24,63.0
2022-04-25,71.0
2022-04-26,64.0
2022-04-27,48.0
2022-04-28,52.0
2022-04-29,57.0
2022-04-30,66.0
2022-05-01,72.0
2022-05-02,63.0
2022-05-03,56.0
2022-05-04,62.0
2022-05-05,60.0
2022-05-06,79.0
2022-05-07,67.0
2022-05-08,65.0
2022-05-09,56.0
2022-05-10,48.0
2022-05-11,40.0
2022-05-12,54.0
2022-05-13,66.0
2022-05-14,87.0
2022-05-15,85.0
2022-05-16,71.0
2022-05-17,55.0
2022-05-18,64.0
2022-05-19,67.0
2022-05-20,78.0
2022-05-21,94.0
2022-05-22,93.0
2022-05-23,71.0
2022-05-24,77.0
2022-05-25,72.0
2022-05-26,70.0
2022-05-27,83.0
2022-05-28,79.0
2022-05-29,70.0
2022-05-30,66.0
2022-05-31,68.0
2022-06-01,72.0
2022-06-02,72.0
2022-06-03,71.0
2022-06-04,68.0
2022-06-05,66.0
2022-06-06,64.0
