Time,yellowstone_national_park
2023-06-02,5.162423178226514
2023-06-03,5.678665496049166
2023-06-04,6.625109745390693
2023-06-05,6.453028972783143
2023-06-06,5.5926251097453905
2023-06-07,6.1088674275680415
2023-06-08,5.5926251097453905
2023-06-09,5.334503950834065
2023-06-10,6.1088674275680415
2023-06-11,6.539069359086918
2023-06-12,6.711150131694469
2023-06-13,5.936786654960492
2023-06-14,5.936786654960492
2023-06-15,5.678665496049166
2023-06-16,5.5926251097453905
2023-06-17,5.678665496049166
2023-06-18,6.625109745390693
2023-06-19,6.1088674275680415
2023-06-20,5.764705882352941
2023-06-21,5.248463564530289
2023-06-22,5.162423178226514
2023-06-23,5.678665496049166
2023-06-24,6.539069359086918
2023-06-25,7.657594381035996
2023-06-26,6.194907813871817
2023-06-27,5.678665496049166
2023-06-28,5.5926251097453905
2023-06-29,5.162423178226514
2023-06-30,5.678665496049166
2023-07-01,6.366988586479367
2023-07-02,7.141352063213345
2023-07-03,6.711150131694469
2023-07-04,8.604038630377524
2023-07-05,6.1088674275680415
2023-07-06,6.194907813871817
2023-07-07,5.678665496049166
2023-07-08,5.850746268656716
2023-07-09,6.625109745390693
2023-07-10,5.506584723441615
2023-07-11,5.162423178226514
2023-07-12,5.162423178226514
2023-07-13,4.990342405618963
2023-07-14,4.732221246707638
2023-07-15,5.42054433713784
2023-07-16,6.797190517998244
2023-07-17,5.678665496049166
2023-07-18,5.850746268656716
2023-07-19,4.474100087796312
2023-07-20,4.818261633011414
2023-07-21,4.560140474100088
2023-07-22,4.990342405618963
2023-07-23,6.280948200175592
2023-07-24,6.625109745390693
2023-07-25,5.334503950834065
2023-07-26,4.990342405618963
2023-07-27,4.818261633011414
2023-07-28,4.043898156277436
2023-07-29,5.334503950834065
2023-07-30,5.506584723441615
2023-07-31,5.162423178226514
2023-08-01,4.388059701492537
2023-08-02,4.560140474100088
2023-08-03,4.646180860403863
2023-08-04,4.560140474100088
2023-08-05,5.936786654960492
2023-08-06,6.1088674275680415
2023-08-07,5.42054433713784
2023-08-08,4.646180860403863
2023-08-09,4.302019315188762
2023-08-10,4.2159789288849865
2023-08-11,4.2159789288849865
2023-08-12,4.732221246707638
2023-08-13,5.764705882352941
2023-08-14,4.904302019315189
2023-08-15,4.129938542581211
2023-08-16,4.388059701492537
2023-08-17,4.2159789288849865
2023-08-18,4.302019315188762
2023-08-19,4.2159789288849865
2023-08-20,4.990342405618963
2023-08-21,4.732221246707638
2023-08-22,4.2159789288849865
2023-08-23,4.2159789288849865
2023-08-24,3.8718173836698857
2023-08-25,4.043898156277436
2023-08-26,4.646180860403863
2023-08-27,5.162423178226514
2023-08-28,4.904302019315189
2023-08-29,4.043898156277436
2023-08-30,4.388059701492537
2023-08-31,4.129938542581211
2023-09-01,3.7857769973661104
2023-09-02,4.388059701492537
2023-09-03,4.990342405618963
2023-09-04,5.162423178226514
2023-09-05,4.560140474100088
2023-09-06,3.7857769973661104
2023-09-07,4.2159789288849865
2023-09-08,3.61369622475856
2023-09-09,3.699736611062335
2023-09-10,4.2159789288849865
2023-09-11,4.2159789288849865
2023-09-12,3.957857769973661
2023-09-13,3.7857769973661104
2023-09-14,4.043898156277436
2023-09-15,3.7857769973661104
2023-09-16,3.3555750658472343
2023-09-17,4.129938542581211
2023-09-18,3.699736611062335
2023-09-19,3.7857769973661104
2023-09-20,3.957857769973661
2023-09-21,3.8718173836698857
2023-09-22,3.7857769973661104
2023-09-23,3.61369622475856
2023-09-24,3.957857769973661
2023-09-25,3.8718173836698857
2023-09-26,3.61369622475856
2023-09-27,3.61369622475856
2023-09-28,3.61369622475856
2023-09-29,3.957857769973661
2023-09-30,3.269534679543459
2023-10-01,3.8718173836698857
2023-10-02,3.4416154521510096
2023-10-03,3.527655838454785
2023-10-04,3.3555750658472343
2023-10-05,3.0114135206321335
2023-10-06,3.1834942932396837
2023-10-07,2.7532923617208076
2023-10-08,3.0974539069359084
2023-10-09,3.0114135206321335
2023-10-10,3.0114135206321335
2023-10-11,2.925373134328358
2023-10-12,3.269534679543459
2023-10-13,2.581211589113257
2023-10-14,2.409130816505707
2023-10-15,2.925373134328358
2023-10-16,2.925373134328358
2023-10-17,2.6672519754170323
2023-10-18,3.0114135206321335
2023-10-19,2.7532923617208076
2023-10-20,2.581211589113257
2023-10-21,2.581211589113257
2023-10-22,2.6672519754170323
2023-10-23,2.925373134328358
2023-10-24,2.6672519754170323
2023-10-25,3.0114135206321335
2023-10-26,2.925373134328358
2023-10-27,2.3230904302019315
2023-10-28,2.151009657594381
2023-10-29,2.839332748024583
2023-10-30,3.0974539069359084
2023-10-31,2.3230904302019315
2023-11-01,2.4951712028094817
2023-11-02,2.3230904302019315
2023-11-03,2.3230904302019315
2023-11-04,2.151009657594381
2023-11-05,2.4951712028094817
2023-11-06,2.925373134328358
2023-11-07,2.6672519754170323
2023-11-08,2.925373134328358
2023-11-09,2.581211589113257
2023-11-10,2.581211589113257
2023-11-11,2.3230904302019315
2023-11-12,2.237050043898156
2023-11-13,2.6672519754170323
2023-11-14,2.6672519754170323
2023-11-15,2.581211589113257
2023-11-16,2.6672519754170323
2023-11-17,2.237050043898156
2023-11-18,1.8928884986830552
2023-11-19,1.8928884986830552
2023-11-20,2.4951712028094817
2023-11-21,1.9789288849868305
2023-11-22,1.6347673397717295
2023-11-23,2.0649692712906056
2023-11-24,2.0649692712906056
2023-11-25,1.9789288849868305
2023-11-26,2.409130816505707
2023-11-27,2.409130816505707
2023-11-28,2.6672519754170323
2023-11-29,2.7532923617208076
2023-11-30,2.581211589113257
2023-12-01,2.409130816505707
2023-12-02,1.9789288849868305
2023-12-03,1.8928884986830552
2023-12-04,2.409130816505707
2023-12-05,2.581211589113257
2023-12-06,2.6672519754170323
2023-12-07,2.4951712028094817
2023-12-08,2.6672519754170323
2023-12-09,1.9789288849868305
2023-12-10,2.581211589113257
2023-12-11,2.581211589113257
2023-12-12,2.409130816505707
2023-12-13,2.237050043898156
2023-12-14,2.4951712028094817
2023-12-15,2.151009657594381
2023-12-16,2.151009657594381
2023-12-17,2.151009657594381
2023-12-18,2.6672519754170323
2023-12-19,2.3230904302019315
2023-12-20,2.581211589113257
2023-12-21,2.409130816505707
2023-12-22,1.9574187884108867
2023-12-23,2.387620719929763
2023-12-24,2.3446005267778753
2023-12-25,2.5812115891132574
2023-12-26,2.817822651448639
2023-12-27,3.2050043898156275
2023-12-28,3.398595258999122
2023-12-29,3.398595258999122
2023-12-30,3.6782265144863917
2023-12-31,3.5921861281826164
2024-01-01,4.06540825285338
2024-01-02,3.8718173836698857
2024-01-03,3.0544337137840207
2024-01-04,3.248024582967515
2024-01-05,3.248024582967515
2024-01-06,3.398595258999122
2024-01-07,4.108428446005267
2024-01-08,3.248024582967515
2024-01-09,3.0114135206321335
2024-01-10,3.2050043898156275
2024-01-11,3.2050043898156275
2024-01-12,4.108428446005267
2024-01-13,3.0114135206321335
2024-01-14,3.6782265144863917
2024-01-15,3.4416154521510096
2024-01-16,2.7748024582967514
2024-01-17,3.248024582967515
2024-01-18,3.398595258999122
2024-01-19,2.7748024582967514
2024-01-20,3.398595258999122
2024-01-21,3.656716417910448
2024-01-22,3.2265144863915713
2024-01-23,3.0114135206321335
2024-01-24,3.2265144863915713
2024-01-25,3.0114135206321335
2024-01-26,3.2265144863915713
2024-01-27,3.0114135206321335
2024-01-28,3.656716417910448
2024-01-29,3.4416154521510096
2024-01-30,3.656716417910448
2024-01-31,3.4416154521510096
2024-02-01,3.0114135206321335
2024-02-02,3.0114135206321335
2024-02-03,3.2265144863915713
2024-02-04,3.656716417910448
2024-02-05,3.2265144863915713
2024-02-06,3.0114135206321335
2024-02-07,3.0114135206321335
2024-02-08,3.0114135206321335
2024-02-09,2.7963125548726953
2024-02-10,3.4416154521510096
2024-02-11,3.2265144863915713
2024-02-12,2.7963125548726953
2024-02-13,3.4416154521510096
2024-02-14,3.0114135206321335
2024-02-15,3.0114135206321335
2024-02-16,3.4416154521510096
2024-02-17,3.4416154521510096
2024-02-18,4.0869183494293235
2024-02-19,3.656716417910448
2024-02-20,3.2265144863915713
2024-02-21,3.4416154521510096
2024-02-22,3.2265144863915713
2024-02-23,3.2265144863915713
2024-02-24,3.0114135206321335
2024-02-25,3.8718173836698857
2024-02-26,3.656716417910448
2024-02-27,3.656716417910448
2024-02-28,3.0114135206321335
2024-02-29,3.2265144863915713
2024-03-01,3.2265144863915713
2024-03-02,3.4416154521510096
2024-03-03,3.8718173836698857
2024-03-04,3.8718173836698857
2024-03-05,3.2265144863915713
2024-03-06,3.2265144863915713
2024-03-07,3.2265144863915713
2024-03-08,2.7963125548726953
2024-03-09,3.0114135206321335
2024-03-10,3.656716417910448
2024-03-11,3.656716417910448
2024-03-12,3.0114135206321335
2024-03-13,3.656716417910448
2024-03-14,3.2265144863915713
2024-03-15,2.7963125548726953
2024-03-16,3.8718173836698857
2024-03-17,4.947322212467077
2024-03-18,3.656716417910448
2024-03-19,3.4416154521510096
2024-03-20,3.2265144863915713
2024-03-21,3.2265144863915713
2024-03-22,3.0114135206321335
2024-03-23,3.0114135206321335
2024-03-24,3.8718173836698857
2024-03-25,3.4416154521510096
2024-03-26,2.7963125548726953
2024-03-27,3.2265144863915713
2024-03-28,3.0114135206321335
2024-03-29,2.7963125548726953
2024-03-30,3.0114135206321335
2024-03-31,3.8718173836698857
2024-04-01,3.4416154521510096
2024-04-02,3.4416154521510096
2024-04-03,3.656716417910448
2024-04-04,3.4416154521510096
2024-04-05,3.4416154521510096
2024-04-06,3.2265144863915713
2024-04-07,4.302019315188762
2024-04-08,3.0114135206321335
2024-04-09,3.2265144863915713
2024-04-10,3.4416154521510096
2024-04-11,3.8718173836698857
2024-04-12,3.4416154521510096
2024-04-13,3.4416154521510096
2024-04-14,4.0869183494293235
2024-04-15,3.656716417910448
2024-04-16,4.302019315188762
2024-04-17,4.0869183494293235
2024-04-18,3.8718173836698857
2024-04-19,3.8718173836698857
2024-04-20,3.656716417910448
2024-04-21,4.302019315188762
2024-04-22,4.732221246707638
2024-04-23,4.5171202809482
2024-04-24,3.656716417910448
2024-04-25,4.0869183494293235
2024-04-26,3.656716417910448
2024-04-27,3.4416154521510096
2024-04-28,4.302019315188762
2024-04-29,4.732221246707638
2024-04-30,4.5171202809482
2024-05-01,4.5171202809482
2024-05-02,4.5171202809482
2024-05-03,4.0869183494293235
2024-05-04,3.656716417910448
2024-05-05,4.947322212467077
2024-05-06,5.162423178226515
2024-05-07,4.732221246707638
2024-05-08,4.5171202809482
2024-05-09,4.0869183494293235
2024-05-10,4.0869183494293235
2024-05-11,3.8718173836698857
2024-05-12,4.947322212467077
2024-05-13,5.162423178226515
2024-05-14,5.377524143985952
2024-05-15,5.377524143985952
2024-05-16,5.377524143985952
2024-05-17,4.732221246707638
2024-05-18,4.302019315188762
2024-05-19,4.947322212467077
2024-05-20,5.5926251097453905
2024-05-21,5.377524143985952
2024-05-22,4.947322212467077
2024-05-23,5.5926251097453905
2024-05-24,6.022827041264267
2024-05-25,5.807726075504829
2024-05-26,5.5926251097453905
2024-05-27,6.668129938542581
2024-05-28,5.5926251097453905
2024-05-29,5.377524143985952
2024-05-30,5.162423178226515
2024-05-31,4.947322212467077
2024-06-01,4.732221246707638
2024-06-02,6.237928007023705
2024-06-03,5.5926251097453905
2024-06-04,5.5926251097453905
2024-06-05,5.807726075504829
2024-06-06,5.377524143985952
2024-06-07,4.5171202809482
2024-06-08,5.5926251097453905
2024-06-09,6.453028972783143
2024-06-10,6.237928007023705
2024-06-11,5.5926251097453905
2024-06-12,5.162423178226515
2024-06-13,5.162423178226515
2024-06-14,4.732221246707638
2024-06-15,5.377524143985952
2024-06-16,6.453028972783143
2024-06-17,5.807726075504829
2024-06-18,5.807726075504829
2024-06-19,5.377524143985952
2024-06-20,4.732221246707638
2024-06-21,4.947322212467077
2024-06-22,5.377524143985952
2024-06-23,6.668129938542581
2024-06-24,6.022827041264267
2024-06-25,5.162423178226515
2024-06-26,4.5171202809482
2024-06-27,5.5926251097453905
2024-06-28,4.5171202809482
2024-06-29,4.947322212467077
2024-06-30,5.807726075504829
2024-07-01,5.377524143985952
2024-07-02,5.162423178226515
2024-07-03,4.947322212467077
2024-07-04,7.528533801580333
2024-07-05,10.539947322212466
2024-07-06,6.883230904302019
2024-07-07,7.743634767339771
2024-07-08,6.022827041264267
2024-07-09,5.377524143985952
2024-07-10,5.162423178226515
2024-07-11,5.162423178226515
2024-07-12,4.5171202809482
2024-07-13,5.807726075504829
2024-07-14,4.947322212467077
2024-07-15,4.732221246707638
2024-07-16,4.5171202809482
2024-07-17,4.302019315188762
2024-07-18,4.732221246707638
2024-07-19,4.5171202809482
2024-07-20,4.947322212467077
2024-07-21,5.5926251097453905
2024-07-22,4.5171202809482
2024-07-23,16.347673397717294
2024-07-24,21.51009657594381
2024-07-25,7.743634767339771
2024-07-26,5.807726075504829
2024-07-27,5.5926251097453905
2024-07-28,6.453028972783143
2024-07-29,4.5171202809482
2024-07-30,4.5171202809482
2024-07-31,4.302019315188762
2024-08-01,4.302019315188762
2024-08-02,3.656716417910448
2024-08-03,4.5171202809482
2024-08-04,4.732221246707638
2024-08-05,4.0869183494293235
2024-08-06,3.8718173836698857
2024-08-07,3.656716417910448
2024-08-08,3.2265144863915713
2024-08-09,3.2265144863915713
2024-08-10,4.0869183494293235
2024-08-11,4.5171202809482
2024-08-12,4.0869183494293235
2024-08-13,4.5171202809482
2024-08-14,4.0869183494293235
2024-08-15,4.0869183494293235
2024-08-16,3.4416154521510096
2024-08-17,4.5171202809482
2024-08-18,4.688613078250713
2024-08-19,4.101372742344822
2024-08-20,4.071973977092961
2024-08-21,3.905625963709524
2024-08-22,3.8762271984576646
2024-08-23,3.905625963709524
2024-08-24,4.267720755728259
2024-08-25,5.1683029312768864
2024-08-26,4.718011843502573
2024-08-27,4.326518286231978
2024-08-28,4.101372742344822
2024-08-29,4.071973977092961
2024-08-30,3.905625963709524
2024-08-31,4.492866299615416
2024-09-01,4.522265064867275
2024-09-02,4.267720755728259
2024-09-03,4.101372742344822
