Time,sixers
2022-01-01,11.0
2022-01-02,10.0
2022-01-03,11.0
2022-01-04,23.0
2022-01-05,11.0
2022-01-06,16.0
2022-01-07,12.0
2022-01-08,24.0
2022-01-09,10.0
2022-01-10,9.0
2022-01-11,19.0
2022-01-12,16.0
2022-01-13,19.0
2022-01-14,10.0
2022-01-15,24.0
2022-01-16,19.0
2022-01-17,16.0
2022-01-18,9.0
2022-01-19,11.0
2022-01-20,23.0
2022-01-21,14.0
2022-01-22,23.0
2022-01-23,10.0
2022-01-24,19.0
2022-01-25,11.0
2022-01-26,20.0
2022-01-27,17.0
2022-01-28,35.0
2022-01-29,18.0
2022-01-30,27.0
2022-01-31,15.0
2022-02-01,32.0
2022-02-02,17.0
2022-02-03,24.0
2022-02-04,17.0
2022-02-05,36.0
2022-02-06,29.0
2022-02-07,19.0
2022-02-08,26.0
2022-02-09,42.0
2022-02-10,70.0
2022-02-11,49.0
2022-02-12,47.0
2022-02-13,37.0
2022-02-14,20.0
2022-02-15,28.0
2022-02-16,41.0
2022-02-17,18.0
2022-02-18,37.0
2022-02-19,14.0
2022-02-20,12.0
2022-02-21,13.0
2022-02-22,14.0
2022-02-23,13.0
2022-02-24,13.0
2022-02-25,26.0
2022-02-26,87.0
2022-02-27,62.0
2022-02-28,31.0
2022-03-01,23.0
2022-03-02,29.0
2022-03-03,61.0
2022-03-04,30.0
2022-03-05,63.0
2022-03-06,56.0
2022-03-07,23.0
2022-03-08,45.0
2022-03-09,20.0
2022-03-10,38.0
2022-03-11,87.0
2022-03-12,17.0
2022-03-13,30.0
2022-03-14,37.0
2022-03-15,35.0
2022-03-16,18.0
2022-03-17,28.0
2022-03-18,18.0
2022-03-19,30.0
2022-03-20,20.0
2022-03-21,33.0
2022-03-22,35.0
2022-03-23,16.0
2022-03-24,32.0
2022-03-25,14.0
2022-03-26,35.0
2022-03-27,28.0
2022-03-28,20.0
2022-03-29,19.0
2022-03-30,31.0
2022-03-31,17.0
2022-04-01,24.0
2022-04-02,28.0
2022-04-03,25.0
2022-04-04,20.0
2022-04-05,15.0
2022-04-06,27.0
2022-04-07,16.0
2022-04-08,27.0
2022-04-09,31.0
2022-04-10,30.0
2022-04-11,30.0
2022-04-12,12.0
2022-04-13,12.0
2022-04-14,10.0
2022-04-15,11.0
2022-04-16,41.0
2022-04-17,59.0
2022-04-18,36.0
2022-04-19,62.0
2022-04-20,28.0
2022-04-21,90.0
2022-04-22,21.0
2022-04-23,83.0
2022-04-24,31.0
2022-04-25,31.0
2022-04-26,82.0
2022-04-27,24.0
2022-04-28,43.0
2022-04-29,86.0
2022-04-30,27.0
2022-05-01,18.0
2022-05-02,32.0
2022-05-03,52.0
2022-05-04,29.0
2022-05-05,54.0
2022-05-06,40.0
2022-05-07,99.0
2022-05-08,45.0
2022-05-09,100.0
2022-05-10,41.0
2022-05-11,69.0
2022-05-12,44.0
2022-05-13,94.0
2022-05-14,13.0
2022-05-15,8.0
2022-05-16,7.0
2022-05-17,6.0
2022-05-18,6.0
2022-05-19,5.0
2022-05-20,5.0
2022-05-21,5.0
2022-05-22,4.0
2022-05-23,5.0
2022-05-24,4.0
2022-05-25,4.0
2022-05-26,4.0
2022-05-27,5.0
2022-05-28,4.0
2022-05-29,3.0
2022-05-30,5.0
2022-05-31,4.0
2022-06-01,4.0
2022-06-02,4.0
2022-06-03,5.0
2022-06-04,4.0
2022-06-05,4.0
2022-06-06,4.0
2022-06-07,4.0
2022-06-08,4.0
2022-06-09,5.0
2022-06-10,4.0
2022-06-11,5.0
2022-06-12,5.0
2022-06-13,4.0
2022-06-14,5.0
2022-06-15,4.0
2022-06-16,4.0
2022-06-17,5.0
2022-06-18,4.0
2022-06-19,5.0
2022-06-20,5.0
2022-06-21,6.0
2022-06-22,8.0
2022-06-23,14.0
2022-06-24,33.0
2022-06-25,10.0
2022-06-26,8.0
2022-06-27,7.0
2022-06-28,9.0
2022-06-29,13.0
2022-06-30,21.0
2022-07-01,23.0
2022-07-02,13.0
2022-07-03,13.0
2022-07-04,12.0
2022-07-05,13.0
2022-07-06,12.0
2022-07-07,11.0
2022-07-08,10.0
2022-07-09,9.0
2022-07-10,8.0
2022-07-11,8.0
2022-07-12,6.0
2022-07-13,7.0
2022-07-14,7.0
2022-07-15,6.0
2022-07-16,6.0
2022-07-17,5.0
2022-07-18,6.0
2022-07-19,5.0
2022-07-20,6.0
2022-07-21,11.0
2022-07-22,7.0
2022-07-23,5.0
2022-07-24,5.0
2022-07-25,5.0
2022-07-26,5.0
2022-07-27,4.0
2022-07-28,4.0
2022-07-29,4.0
2022-07-30,4.0
2022-07-31,4.0
2022-08-01,3.0
2022-08-02,4.0
2022-08-03,3.0
2022-08-04,3.0
2022-08-05,4.0
2022-08-06,3.0
2022-08-07,4.0
2022-08-08,4.0
2022-08-09,4.0
2022-08-10,5.0
2022-08-11,6.0
2022-08-12,5.0
2022-08-13,4.0
2022-08-14,4.0
2022-08-15,5.0
2022-08-16,4.0
2022-08-17,6.0
2022-08-18,5.0
2022-08-19,4.0
2022-08-20,3.0
2022-08-21,8.0
2022-08-22,5.0
2022-08-23,4.0
2022-08-24,4.0
2022-08-25,4.0
2022-08-26,3.0
2022-08-27,3.0
2022-08-28,3.0
2022-08-29,2.5
2022-08-30,3.5
2022-08-31,2.5
2022-09-01,3.5
2022-09-02,4.0
2022-09-03,3.5
2022-09-04,3.5
2022-09-05,3.5
2022-09-06,4.5
2022-09-07,6.0
2022-09-08,4.0
2022-09-09,3.5
2022-09-10,3.5
2022-09-11,2.5
2022-09-12,3.5
2022-09-13,3.5
2022-09-14,3.5
2022-09-15,4.0
2022-09-16,4.0
2022-09-17,3.5
2022-09-18,2.0
2022-09-19,2.5
2022-09-20,3.5
2022-09-21,2.5
2022-09-22,4.0
2022-09-23,4.0
2022-09-24,3.5
2022-09-25,3.5
2022-09-26,4.5
2022-09-27,4.5
2022-09-28,4.0
2022-09-29,4.0
2022-09-30,4.0
2022-10-01,4.0
2022-10-02,4.0
2022-10-03,10.0
2022-10-04,16.0
2022-10-05,10.0
2022-10-06,12.0
2022-10-07,6.0
2022-10-08,6.0
2022-10-09,6.0
2022-10-10,8.0
2022-10-11,8.0
2022-10-12,8.0
2022-10-13,10.0
2022-10-14,6.0
2022-10-15,6.0
2022-10-16,6.0
2022-10-17,10.0
2022-10-18,26.0
2022-10-19,52.0
2022-10-20,20.0
2022-10-21,34.0
2022-10-22,22.0
2022-10-23,28.0
2022-10-24,16.0
2022-10-25,24.0
2022-10-26,14.0
2022-10-27,20.0
2022-10-28,10.0
2022-10-29,24.0
2022-10-30,22.0
2022-10-31,12.0
2022-11-01,18.0
2022-11-02,16.0
2022-11-03,16.0
2022-11-04,14.0
2022-11-05,18.0
2022-11-06,8.0
2022-11-07,8.0
2022-11-08,16.0
2022-11-09,8.0
2022-11-10,12.0
2022-11-11,18.0
2022-11-12,10.0
2022-11-13,20.0
2022-11-14,22.0
2022-11-15,10.0
2022-11-16,8.0
2022-11-17,8.0
2022-11-18,10.0
2022-11-19,36.0
2022-11-20,22.0
2022-11-21,8.0
2022-11-22,14.0
2022-11-23,42.0
2022-11-24,14.0
2022-11-25,10.0
2022-11-26,16.0
2022-11-27,10.0
2022-11-28,14.0
2022-11-29,16.0
2022-11-30,8.0
2022-12-01,14.0
2022-12-02,8.0
2022-12-03,14.0
2022-12-04,8.0
2022-12-05,8.0
2022-12-06,16.0
2022-12-07,8.0
2022-12-08,8.0
2022-12-09,10.0
2022-12-10,28.0
2022-12-11,12.0
2022-12-12,14.0
2022-12-13,10.0
2022-12-14,18.0
2022-12-15,8.0
2022-12-16,10.0
2022-12-17,22.0
2022-12-18,8.0
2022-12-19,10.0
2022-12-20,18.0
2022-12-21,10.0
2022-12-22,16.0
2022-12-23,10.0
2022-12-24,28.0
2022-12-25,34.0
2022-12-26,14.0
2022-12-27,12.0
2022-12-28,20.0
2022-12-29,8.0
2022-12-30,10.0
2022-12-31,22.0
2023-01-01,14.0
2023-01-02,10.0
2023-01-03,14.0
2023-01-04,12.0
2023-01-05,20.0
2023-01-06,12.0
2023-01-07,18.0
2023-01-08,14.0
2023-01-09,10.0
2023-01-10,10.0
2023-01-11,16.0
2023-01-12,10.0
2023-01-13,16.0
2023-01-14,8.0
2023-01-15,18.0
2023-01-16,18.0
2023-01-17,10.0
2023-01-18,20.0
2023-01-19,10.0
2023-01-20,18.0
2023-01-21,10.0
2023-01-22,20.0
2023-01-23,8.0
