Time,outlook
2022-08-29,91
2022-08-30,91
2022-08-31,88
2022-09-01,87
2022-09-02,74
2022-09-03,32
2022-09-04,32
2022-09-05,41
2022-09-06,87
2022-09-07,89
2022-09-08,86
2022-09-09,79
2022-09-10,34
2022-09-11,31
2022-09-12,85
2022-09-13,84
2022-09-14,83
2022-09-15,86
2022-09-16,74
2022-09-17,32
2022-09-18,29
2022-09-19,81
2022-09-20,83
2022-09-21,81
2022-09-22,81
2022-09-23,73
2022-09-24,30
2022-09-25,29
2022-09-26,76
2022-09-27,79
2022-09-28,79
2022-09-29,77
2022-09-30,69
2022-10-01,31
2022-10-02,29
2022-10-03,79
2022-10-04,83
2022-10-05,75
2022-10-06,82
2022-10-07,75
2022-10-08,31
2022-10-09,27
2022-10-10,72
2022-10-11,81
2022-10-12,85
2022-10-13,78
2022-10-14,73
2022-10-15,31
2022-10-16,29
2022-10-17,80
2022-10-18,83
2022-10-19,81
2022-10-20,79
2022-10-21,73
2022-10-22,31
2022-10-23,27
2022-10-24,76
2022-10-25,82
2022-10-26,86
2022-10-27,77
2022-10-28,69
2022-10-29,29
2022-10-30,28
2022-10-31,81
2022-11-01,77
2022-11-02,83
2022-11-03,79
2022-11-04,72
2022-11-05,33
2022-11-06,30
2022-11-07,76
2022-11-08,76
2022-11-09,74
2022-11-10,76
2022-11-11,60
2022-11-12,29
2022-11-13,28
2022-11-14,78
2022-11-15,81
2022-11-16,80
2022-11-17,78
2022-11-18,70
2022-11-19,32
2022-11-20,26
2022-11-21,71
2022-11-22,70
2022-11-23,59
2022-11-24,23
2022-11-25,32
2022-11-26,22
2022-11-27,27
2022-11-28,73
2022-11-29,74
2022-11-30,76
2022-12-01,77
2022-12-02,68
2022-12-03,33
2022-12-04,29
2022-12-05,76
2022-12-06,76
2022-12-07,78
2022-12-08,80
2022-12-09,70
2022-12-10,34
2022-12-11,29
2022-12-12,81
2022-12-13,76
2022-12-14,76
2022-12-15,75
2022-12-16,70
2022-12-17,30
2022-12-18,24
2022-12-19,68
2022-12-20,72
2022-12-21,69
2022-12-22,67
2022-12-23,48
2022-12-24,24
2022-12-25,23
2022-12-26,34
2022-12-27,53
2022-12-28,55
2022-12-29,54
2022-12-30,48
2022-12-31,26
2023-01-01,22
2023-01-02,41
2023-01-03,73
2023-01-04,79
2023-01-05,75
2023-01-06,72
2023-01-07,35
2023-01-08,29
2023-01-09,79
2023-01-10,83
2023-01-11,79
2023-01-12,81
2023-01-13,79
2023-01-14,35
2023-01-15,26
2023-01-16,55
2023-01-17,89
2023-01-18,83
2023-01-19,84
2023-01-20,79
2023-01-21,34
2023-01-22,30
2023-01-23,81
2023-01-24,86
2023-01-25,85
2023-01-26,80
2023-01-27,78
2023-01-28,35
2023-01-29,28
2023-01-30,79
2023-01-31,90
2023-02-01,83
2023-02-02,79
2023-02-03,75
2023-02-04,34
2023-02-05,30
2023-02-06,79
2023-02-07,89
2023-02-08,79
2023-02-09,80
2023-02-10,77
2023-02-11,34
2023-02-12,31
2023-02-13,70
2023-02-14,80
2023-02-15,83
2023-02-16,81
2023-02-17,77
2023-02-18,34
2023-02-19,28
2023-02-20,71
2023-02-21,80
2023-02-22,83
2023-02-23,77
2023-02-24,73
2023-02-25,36
2023-02-26,32
2023-02-27,79
2023-02-28,79
2023-03-01,77
2023-03-02,82
2023-03-03,78
2023-03-04,34
2023-03-05,30
2023-03-06,83
2023-03-07,83
2023-03-08,81
2023-03-09,80
2023-03-10,72
2023-03-11,33
2023-03-12,29
2023-03-13,74
2023-03-14,76
2023-03-15,75
2023-03-16,79
2023-03-17,69
2023-03-18,30
2023-03-19,29
2023-03-20,79
2023-03-21,83
2023-03-22,81
2023-03-23,85
2023-03-24,72
2023-03-25,32
2023-03-26,30
2023-03-27,78
2023-03-28,78
2023-03-29,81
2023-03-30,78
2023-03-31,73
2023-04-01,33
2023-04-02,32
2023-04-03,84
2023-04-04,79
2023-04-05,77
2023-04-06,81
2023-04-07,68
2023-04-08,32
2023-04-09,26
2023-04-10,77
2023-04-11,83
2023-04-12,79
2023-04-13,77
2023-04-14,70
2023-04-15,33
2023-04-16,29
2023-04-17,74
2023-04-18,80
2023-04-19,81
2023-04-20,100
2023-04-21,70
2023-04-22,31
2023-04-23,29
2023-04-24,76
2023-04-25,79
2023-04-26,77
2023-04-27,73
2023-04-28,69
2023-04-29,31
2023-04-30,30
2023-05-01,77
2023-05-02,76
2023-05-03,74
2023-05-04,78
2023-05-05,68
2023-05-06,30
2023-05-07,28
2023-05-08,76
2023-05-09,78
2023-05-10,77
2023-05-11,75
2023-05-12,67
2023-05-13,29
2023-05-14,24
2023-05-15,75
2023-05-16,79
2023-05-17,79
2023-05-18,75
2023-05-19,68
2023-05-20,30
2023-05-21,27
2023-05-22,75
2023-05-23,74
2023-05-24,78
2023-05-25,76
