Time,outlook
2025-04-15,69
2025-04-16,69
2025-04-17,67
2025-04-18,52
2025-04-19,23
2025-04-20,20
2025-04-21,66
2025-04-22,70
2025-04-23,67
2025-04-24,65
2025-04-25,59
2025-04-26,25
2025-04-27,26
2025-04-28,70
2025-04-29,71
2025-04-30,65
2025-05-01,67
2025-05-02,62
2025-05-03,23
2025-05-04,24
2025-05-05,66
2025-05-06,64
2025-05-07,70
2025-05-08,64
2025-05-09,57
2025-05-10,24
2025-05-11,22
2025-05-12,67
2025-05-13,68
2025-05-14,70
2025-05-15,68
2025-05-16,60
2025-05-17,24
2025-05-18,25
2025-05-19,69
2025-05-20,72
2025-05-21,71
2025-05-22,68
2025-05-23,58
2025-05-24,24
2025-05-25,22
2025-05-26,26
2025-05-27,72
2025-05-28,69
2025-05-29,71
2025-05-30,63
2025-05-31,25
2025-06-01,24
2025-06-02,66
2025-06-03,75
2025-06-04,70
2025-06-05,66
2025-06-06,62
2025-06-07,26
2025-06-08,25
2025-06-09,69
2025-06-10,73
2025-06-11,68
2025-06-12,65
2025-06-13,59
2025-06-14,27
2025-06-15,22
2025-06-16,70
2025-06-17,71
2025-06-18,65
2025-06-19,51
2025-06-20,56
2025-06-21,24
2025-06-22,23
2025-06-23,64
2025-06-24,67
2025-06-25,64
2025-06-26,63
2025-06-27,59
2025-06-28,25
2025-06-29,23
2025-06-30,66
2025-07-01,67
2025-07-02,65
2025-07-03,56
2025-07-04,23
2025-07-05,21
2025-07-06,21
2025-07-07,67
2025-07-08,69
2025-07-09,72
2025-07-10,88
2025-07-11,64
2025-07-12,25
2025-07-13,24
2025-07-14,71
2025-07-15,70
2025-07-16,71
2025-07-17,84
2025-07-18,60
2025-07-19,42
2025-07-20,42
2025-07-21,87
2025-07-22,78
2025-07-23,77
2025-07-24,72
2025-07-25,65
2025-07-26,33
2025-07-27,32
2025-07-28,78
2025-07-29,89
2025-07-30,100
2025-07-31,96
2025-08-01,75
2025-08-02,25
2025-08-03,25
2025-08-04,72
2025-08-05,76
2025-08-06,80
2025-08-07,76
2025-08-08,71
2025-08-09,35
2025-08-10,33
2025-08-11,80
2025-08-12,80
2025-08-13,79
2025-08-14,78
2025-08-15,72
2025-08-16,31
2025-08-17,28
2025-08-18,82
2025-08-19,81
2025-08-20,82
2025-08-21,81
2025-08-22,68
2025-08-23,31
2025-08-24,33
2025-08-25,87
2025-08-26,80
2025-08-27,82
2025-08-28,82
2025-08-29,66
2025-08-30,28
2025-08-31,25
2025-09-01,37
2025-09-02,82
2025-09-03,86
2025-09-04,88
2025-09-05,68
2025-09-06,26
2025-09-07,25
2025-09-08,78
2025-09-09,72
2025-09-10,72
2025-09-11,70
2025-09-12,61
2025-09-13,23
2025-09-14,22
2025-09-15,71
2025-09-16,76
2025-09-17,74
2025-09-18,72
2025-09-19,67
2025-09-20,25
2025-09-21,25
2025-09-22,74
2025-09-23,74
2025-09-24,75
2025-09-25,74
2025-09-26,65
2025-09-27,25
2025-09-28,25
2025-09-29,72
2025-09-30,73
2025-10-01,75
2025-10-02,69
2025-10-03,63
2025-10-04,23
2025-10-05,22
2025-10-06,68
2025-10-07,74
2025-10-08,75
2025-10-09,73
2025-10-10,62
2025-10-11,23
2025-10-12,22
2025-10-13,59
2025-10-14,71
2025-10-15,75
2025-10-16,70
2025-10-17,64
2025-10-18,27
2025-10-19,23
2025-10-20,71
2025-10-21,71
2025-10-22,73
2025-10-23,69
2025-10-24,61
2025-10-25,23
2025-10-26,22
2025-10-27,69
2025-10-28,69
2025-10-29,85
2025-10-30,74
2025-10-31,64
2025-11-01,27
2025-11-02,29
2025-11-03,78
2025-11-04,77
2025-11-05,75
2025-11-06,75
2025-11-07,67
2025-11-08,30
2025-11-09,27
2025-11-10,69
2025-11-11,68
2025-11-12,75
2025-11-13,78
2025-11-14,68
2025-11-15,29
2025-11-16,28
2025-11-17,76
2025-11-18,78
2025-11-19,80
2025-11-20,74
2025-11-21,67
2025-11-22,28
2025-11-23,26
2025-11-24,66
2025-11-25,68
2025-11-26,57
2025-11-27,24
2025-11-28,30
2025-11-29,25
2025-11-30,28
2025-12-01,72
2025-12-02,79
2025-12-03,75
2025-12-04,73
2025-12-05,66
2025-12-06,34
2025-12-07,26
2025-12-08,73
2025-12-09,77
2025-12-10,74
2025-12-11,72
2025-12-12,67
2025-12-13,33
2025-12-14,29
2025-12-15,68
2025-12-16,67
2025-12-17,74
2025-12-18,76
2025-12-19,65
2025-12-20,30
2025-12-21,25
2025-12-22,57
2025-12-23,59
2025-12-24,38
2025-12-25,22
2025-12-26,38
2025-12-27,27
2025-12-28,27
2025-12-29,59
2025-12-30,55
2025-12-31,46
2026-01-01,26
2026-01-02,51
2026-01-03,31
2026-01-04,30
2026-01-05,76
2026-01-06,77
2026-01-07,79
2026-01-08,74
2026-01-09,73
