Time,slope
2022-01-01,9.0
2022-01-02,9.0
2022-01-03,17.0
2022-01-04,27.0
2022-01-05,29.0
2022-01-06,26.0
2022-01-07,27.0
2022-01-08,14.0
2022-01-09,13.0
2022-01-10,28.0
2022-01-11,33.0
2022-01-12,33.0
2022-01-13,29.0
2022-01-14,35.0
2022-01-15,15.0
2022-01-16,12.0
2022-01-17,14.0
2022-01-18,27.0
2022-01-19,31.0
2022-01-20,33.0
2022-01-21,33.0
2022-01-22,17.0
2022-01-23,17.0
2022-01-24,39.0
2022-01-25,30.0
2022-01-26,33.0
2022-01-27,33.0
2022-01-28,37.0
2022-01-29,16.0
2022-01-30,17.0
2022-01-31,32.0
2022-02-01,34.0
2022-02-02,34.0
2022-02-03,34.0
2022-02-04,32.0
2022-02-05,17.0
2022-02-06,20.0
2022-02-07,35.0
2022-02-08,36.0
2022-02-09,37.0
2022-02-10,31.0
2022-02-11,35.0
2022-02-12,18.0
2022-02-13,17.0
2022-02-14,31.0
2022-02-15,33.0
2022-02-16,34.0
2022-02-17,33.0
2022-02-18,32.0
2022-02-19,17.0
2022-02-20,17.0
2022-02-21,22.0
2022-02-22,27.0
2022-02-23,28.0
2022-02-24,28.0
2022-02-25,32.0
2022-02-26,19.0
2022-02-27,16.0
2022-02-28,29.0
2022-03-01,29.0
2022-03-02,30.0
2022-03-03,32.0
2022-03-04,30.0
2022-03-05,17.0
2022-03-06,16.0
2022-03-07,29.0
2022-03-08,29.0
2022-03-09,27.0
2022-03-10,30.0
2022-03-11,29.0
2022-03-12,16.0
2022-03-13,14.0
2022-03-14,23.0
2022-03-15,25.0
2022-03-16,25.0
2022-03-17,25.0
2022-03-18,22.0
2022-03-19,14.0
2022-03-20,14.0
2022-03-21,26.0
2022-03-22,26.0
2022-03-23,28.0
2022-03-24,29.0
2022-03-25,73.0
2022-03-26,18.0
2022-03-27,18.0
2022-03-28,59.0
2022-03-29,64.0
2022-03-30,26.0
2022-03-31,71.0
2022-04-01,73.0
2022-04-02,18.0
2022-04-03,18.0
2022-04-04,61.0
2022-04-05,60.0
2022-04-06,64.0
2022-04-07,66.0
2022-04-08,72.0
2022-04-09,18.0
2022-04-10,18.0
2022-04-11,52.0
2022-04-12,59.0
2022-04-13,57.0
2022-04-14,59.0
2022-04-15,31.0
2022-04-16,16.0
2022-04-17,14.0
2022-04-18,44.0
2022-04-19,55.0
2022-04-20,56.0
2022-04-21,62.0
2022-04-22,64.0
2022-04-23,18.0
2022-04-24,18.0
2022-04-25,60.0
2022-04-26,64.0
2022-04-27,63.0
2022-04-28,69.0
2022-04-29,73.0
2022-04-30,19.0
2022-05-01,18.0
2022-05-02,62.0
2022-05-03,65.0
2022-05-04,68.0
