Time,olive garden
2023-12-22,45
2023-12-23,55
2023-12-24,59
2023-12-25,33
2023-12-26,36
2023-12-27,40
2023-12-28,42
2023-12-29,45
2023-12-30,52
2023-12-31,55
2024-01-01,53
2024-01-02,32
2024-01-03,33
2024-01-04,30
2024-01-05,37
2024-01-06,48
2024-01-07,43
2024-01-08,28
2024-01-09,25
2024-01-10,27
2024-01-11,30
2024-01-12,32
2024-01-13,44
2024-01-14,42
2024-01-15,31
2024-01-16,26
2024-01-17,27
2024-01-18,28
2024-01-19,32
2024-01-20,46
2024-01-21,43
2024-01-22,27
2024-01-23,26
2024-01-24,27
2024-01-25,27
2024-01-26,31
2024-01-27,48
2024-01-28,41
2024-01-29,25
2024-01-30,25
2024-01-31,26
2024-02-01,28
2024-02-02,31
2024-02-03,48
2024-02-04,47
2024-02-05,29
2024-02-06,25
2024-02-07,25
2024-02-08,27
2024-02-09,31
2024-02-10,46
2024-02-11,37
2024-02-12,24
2024-02-13,32
2024-02-14,68
2024-02-15,50
2024-02-16,37
2024-02-17,50
2024-02-18,52
2024-02-19,34
2024-02-20,29
2024-02-21,27
2024-02-22,27
2024-02-23,36
2024-02-24,48
2024-02-25,47
2024-02-26,27
2024-02-27,25
2024-02-28,25
2024-02-29,26
2024-03-01,34
2024-03-02,47
2024-03-03,44
2024-03-04,28
2024-03-05,25
2024-03-06,26
2024-03-07,26
2024-03-08,32
2024-03-09,45
2024-03-10,43
2024-03-11,25
2024-03-12,25
2024-03-13,27
2024-03-14,26
2024-03-15,30
2024-03-16,42
2024-03-17,44
2024-03-18,26
2024-03-19,24
2024-03-20,25
2024-03-21,25
2024-03-22,32
2024-03-23,43
2024-03-24,43
2024-03-25,28
2024-03-26,26
2024-03-27,30
2024-03-28,32
2024-03-29,35
2024-03-30,40
2024-03-31,46
2024-04-01,27
2024-04-02,24
2024-04-03,24
2024-04-04,26
2024-04-05,32
2024-04-06,38
2024-04-07,39
2024-04-08,23
2024-04-09,24
2024-04-10,24
2024-04-11,26
2024-04-12,30
2024-04-13,41
2024-04-14,40
2024-04-15,24
2024-04-16,22
2024-04-17,24
2024-04-18,25
2024-04-19,30
2024-04-20,41
2024-04-21,38
2024-04-22,26
2024-04-23,24
2024-04-24,26
2024-04-25,26
2024-04-26,31
2024-04-27,40
2024-04-28,37
2024-04-29,26
2024-04-30,25
2024-05-01,23
2024-05-02,24
2024-05-03,32
2024-05-04,38
2024-05-05,39
2024-05-06,24
2024-05-07,25
2024-05-08,25
2024-05-09,29
2024-05-10,36
2024-05-11,58
2024-05-12,100
2024-05-13,31
2024-05-14,27
2024-05-15,25
2024-05-16,26
2024-05-17,32
2024-05-18,41
2024-05-19,41
2024-05-20,26
2024-05-21,26
2024-05-22,26
2024-05-23,26
2024-05-24,31
2024-05-25,36
2024-05-26,36
2024-05-27,35
2024-05-28,23
2024-05-29,26
2024-05-30,27
2024-05-31,31
2024-06-01,38
2024-06-02,37
2024-06-03,27
2024-06-04,26
2024-06-05,28
2024-06-06,29
2024-06-07,31
2024-06-08,41
2024-06-09,43
2024-06-10,27
2024-06-11,26
2024-06-12,27
2024-06-13,27
2024-06-14,32
2024-06-15,35
2024-06-16,50
2024-06-17,29
2024-06-18,26
2024-06-19,28
2024-06-20,27
2024-06-21,32
2024-06-22,35
2024-06-23,36
2024-06-24,28
2024-06-25,27
2024-06-26,27
2024-06-27,27
2024-06-28,30
2024-06-29,35
2024-06-30,35
2024-07-01,27
2024-07-02,26
2024-07-03,28
2024-07-04,34
2024-07-05,29
2024-07-06,34
2024-07-07,39
2024-07-08,26
2024-07-09,27
2024-07-10,27
2024-07-11,27
2024-07-12,31
2024-07-13,35
2024-07-14,36
2024-07-15,27
2024-07-16,25
2024-07-17,27
2024-07-18,27
2024-07-19,30
2024-07-20,39
2024-07-21,38
2024-07-22,27
2024-07-23,26
2024-07-24,26
2024-07-25,27
2024-07-26,29
2024-07-27,35
2024-07-28,37
2024-07-29,28
2024-07-30,27
2024-07-31,27
2024-08-01,28
2024-08-02,31
2024-08-03,38
2024-08-04,40
2024-08-05,26
2024-08-06,25
2024-08-07,26
2024-08-08,27
2024-08-09,30
2024-08-10,37
2024-08-11,39
2024-08-12,28
2024-08-13,26
2024-08-14,27
2024-08-15,29
2024-08-16,32
2024-08-17,37
2024-08-18,40
2024-08-19,26
2024-08-20,27
2024-08-21,30
2024-08-22,31
2024-08-23,33
2024-08-24,39
2024-08-25,44
2024-08-26,33
2024-08-27,30
2024-08-28,29
2024-08-29,28
2024-08-30,33
2024-08-31,39
2024-09-01,49
2024-09-02,43
2024-09-03,27
2024-09-04,27
2024-09-05,25
2024-09-06,30
2024-09-07,46
2024-09-08,42
2024-09-09,28
2024-09-10,28
2024-09-11,27
2024-09-12,28
2024-09-13,34
2024-09-14,43
2024-09-15,40
2024-09-16,26
