Time,it ends with us
2023-04-26,22
2023-04-27,21
2023-04-28,20
2023-04-29,16
2023-04-30,21
2023-05-01,29
2023-05-02,32
2023-05-03,31
2023-05-04,27
2023-05-05,22
2023-05-06,22
2023-05-07,21
2023-05-08,19
2023-05-09,20
2023-05-10,21
2023-05-11,20
2023-05-12,19
2023-05-13,16
2023-05-14,20
2023-05-15,22
2023-05-16,100
2023-05-17,98
2023-05-18,71
2023-05-19,65
2023-05-20,51
2023-05-21,44
2023-05-22,41
2023-05-23,33
2023-05-24,31
2023-05-25,36
2023-05-26,37
2023-05-27,39
2023-05-28,37
2023-05-29,40
2023-05-30,37
2023-05-31,33
2023-06-01,31
2023-06-02,29
2023-06-03,28
2023-06-04,32
2023-06-05,27
2023-06-06,25
2023-06-07,26
2023-06-08,25
2023-06-09,24
2023-06-10,29
2023-06-11,26
2023-06-12,24
2023-06-13,26
2023-06-14,22
2023-06-15,24
2023-06-16,22
2023-06-17,28
2023-06-18,51
2023-06-19,54
2023-06-20,63
2023-06-21,44
2023-06-22,32
2023-06-23,30
2023-06-24,31
2023-06-25,33
2023-06-26,33
2023-06-27,35
2023-06-28,24
2023-06-29,32
2023-06-30,27
2023-07-01,26
2023-07-02,26
2023-07-03,24
2023-07-04,21
2023-07-05,21
2023-07-06,24
2023-07-07,29
2023-07-08,35
2023-07-09,33
2023-07-10,26
2023-07-11,23
2023-07-12,23
2023-07-13,24
2023-07-14,20
2023-07-15,21
2023-07-16,21
2023-07-17,18
2023-07-18,21
2023-07-19,20
2023-07-20,18
2023-07-21,16
2023-07-22,16
2023-07-23,17
2023-07-24,17
2023-07-25,19
2023-07-26,18
2023-07-27,17
2023-07-28,15
2023-07-29,17
2023-07-30,16
2023-07-31,17
2023-08-01,16
2023-08-02,17
2023-08-03,16
2023-08-04,13
2023-08-05,15
2023-08-06,15
2023-08-07,16
2023-08-08,14
2023-08-09,14
2023-08-10,14
2023-08-11,15
2023-08-12,15
2023-08-13,15
2023-08-14,14
2023-08-15,15
2023-08-16,18
2023-08-17,12
2023-08-18,15
2023-08-19,13
2023-08-20,14
2023-08-21,17
2023-08-22,15
2023-08-23,18
2023-08-24,17
2023-08-25,15
2023-08-26,13
2023-08-27,17
2023-08-28,16
2023-08-29,14
2023-08-30,14
2023-08-31,14
2023-09-01,13
2023-09-02,12
2023-09-03,14
2023-09-04,14
2023-09-05,15
2023-09-06,13
2023-09-07,13
2023-09-08,13
2023-09-09,11
2023-09-10,14
2023-09-11,13
2023-09-12,11
2023-09-13,11
2023-09-14,11
2023-09-15,12
2023-09-16,9
2023-09-17,13
2023-09-18,11
2023-09-19,12
2023-09-20,10
2023-09-21,12
2023-09-22,11
2023-09-23,10
2023-09-24,11
2023-09-25,11
2023-09-26,11
2023-09-27,11
2023-09-28,12
2023-09-29,9
2023-09-30,8
2023-10-01,8
2023-10-02,11
2023-10-03,17
2023-10-04,11
2023-10-05,10
2023-10-06,10
2023-10-07,7
2023-10-08,10
2023-10-09,10
2023-10-10,14
2023-10-11,11
2023-10-12,11
2023-10-13,11
2023-10-14,9
2023-10-15,11
2023-10-16,10
2023-10-17,10
2023-10-18,11
2023-10-19,10
2023-10-20,9
2023-10-21,8
2023-10-22,9
2023-10-23,11
2023-10-24,10
2023-10-25,11
2023-10-26,9
2023-10-27,10
2023-10-28,7
2023-10-29,9
2023-10-30,9
2023-10-31,9
2023-11-01,9
2023-11-02,10
2023-11-03,11
2023-11-04,10
2023-11-05,7
2023-11-06,11
2023-11-07,10
2023-11-08,22
2023-11-09,25
2023-11-10,14
2023-11-11,14
2023-11-12,15
2023-11-13,14
2023-11-14,12
2023-11-15,13
2023-11-16,12
2023-11-17,13
2023-11-18,10
2023-11-19,11
2023-11-20,11
2023-11-21,10
2023-11-22,11
2023-11-23,9
2023-11-24,11
2023-11-25,12
2023-11-26,16
2023-11-27,13
2023-11-28,12
2023-11-29,13
2023-11-30,11
2023-12-01,12
2023-12-02,12
2023-12-03,17
2023-12-04,27
2023-12-05,20
2023-12-06,19
2023-12-07,15
2023-12-08,15
2023-12-09,12
2023-12-10,15
2023-12-11,15
2023-12-12,12
2023-12-13,13
2023-12-14,13
2023-12-15,13
2023-12-16,12
2023-12-17,12
2023-12-18,12
2023-12-19,14
2023-12-20,15
2023-12-21,11
2023-12-22,13
2023-12-23,16
2023-12-24,16
2023-12-25,12
2023-12-26,16
2023-12-27,20
2023-12-28,19
2023-12-29,18
2023-12-30,20
2023-12-31,22
2024-01-01,17
2024-01-02,24
2024-01-03,26
2024-01-04,25
2024-01-05,30
2024-01-06,30
2024-01-07,29
2024-01-08,29
2024-01-09,25
2024-01-10,32
2024-01-11,34
2024-01-12,41
2024-01-13,65
2024-01-14,62
2024-01-15,54
2024-01-16,36
2024-01-17,39
2024-01-18,38
2024-01-19,27
2024-01-20,29
