Time,it ends with us
2022-08-29,6
2022-08-30,6
2022-08-31,5
2022-09-01,5
2022-09-02,5
2022-09-03,6
2022-09-04,6
2022-09-05,6
2022-09-06,5
2022-09-07,5
2022-09-08,5
2022-09-09,5
2022-09-10,4
2022-09-11,5
2022-09-12,5
2022-09-13,4
2022-09-14,5
2022-09-15,4
2022-09-16,4
2022-09-17,4
2022-09-18,4
2022-09-19,4
2022-09-20,4
2022-09-21,4
2022-09-22,4
2022-09-23,4
2022-09-24,3
2022-09-25,4
2022-09-26,4
2022-09-27,4
2022-09-28,4
2022-09-29,4
2022-09-30,4
2022-10-01,3
2022-10-02,3
2022-10-03,4
2022-10-04,3
2022-10-05,4
2022-10-06,4
2022-10-07,3
2022-10-08,3
2022-10-09,4
2022-10-10,5
2022-10-11,4
2022-10-12,4
2022-10-13,5
2022-10-14,4
2022-10-15,4
2022-10-16,4
2022-10-17,5
2022-10-18,9
2022-10-19,12
2022-10-20,9
2022-10-21,7
2022-10-22,7
2022-10-23,7
2022-10-24,7
2022-10-25,6
2022-10-26,6
2022-10-27,5
2022-10-28,5
2022-10-29,4
2022-10-30,5
2022-10-31,4
2022-11-01,5
2022-11-02,4
2022-11-03,5
2022-11-04,5
2022-11-05,5
2022-11-06,4
2022-11-07,4
2022-11-08,5
2022-11-09,8
2022-11-10,6
2022-11-11,5
2022-11-12,5
2022-11-13,5
2022-11-14,5
2022-11-15,4
2022-11-16,4
2022-11-17,5
2022-11-18,4
2022-11-19,4
2022-11-20,4
2022-11-21,4
2022-11-22,4
2022-11-23,4
2022-11-24,4
2022-11-25,3
2022-11-26,4
2022-11-27,4
2022-11-28,4
2022-11-29,4
2022-11-30,4
2022-12-01,4
2022-12-02,4
2022-12-03,4
2022-12-04,3
2022-12-05,3
2022-12-06,4
2022-12-07,3
2022-12-08,4
2022-12-09,4
2022-12-10,3
2022-12-11,3
2022-12-12,4
2022-12-13,3
2022-12-14,3
2022-12-15,3
2022-12-16,3
2022-12-17,4
2022-12-18,4
2022-12-19,4
2022-12-20,4
2022-12-21,4
2022-12-22,4
2022-12-23,4
2022-12-24,4
2022-12-25,3
2022-12-26,5
2022-12-27,5
2022-12-28,5
2022-12-29,6
2022-12-30,6
2022-12-31,5
2023-01-01,4
2023-01-02,6
2023-01-03,5
2023-01-04,5
2023-01-05,5
2023-01-06,5
2023-01-07,4
2023-01-08,5
2023-01-09,5
2023-01-10,5
2023-01-11,7
2023-01-12,6
2023-01-13,5
2023-01-14,4
2023-01-15,4
2023-01-16,4
2023-01-17,5
2023-01-18,4
2023-01-19,5
2023-01-20,4
2023-01-21,4
2023-01-22,4
2023-01-23,4
2023-01-24,4
2023-01-25,4
2023-01-26,6
2023-01-27,100
2023-01-28,44
2023-01-29,24
2023-01-30,19
2023-01-31,16
2023-02-01,11
2023-02-02,10
2023-02-03,9
2023-02-04,9
2023-02-05,9
2023-02-06,8
2023-02-07,7
2023-02-08,6
2023-02-09,6
2023-02-10,5
2023-02-11,6
2023-02-12,5
2023-02-13,5
2023-02-14,4
2023-02-15,5
2023-02-16,5
2023-02-17,5
2023-02-18,5
2023-02-19,5
2023-02-20,5
2023-02-21,5
2023-02-22,5
2023-02-23,4
2023-02-24,4
2023-02-25,4
2023-02-26,4
2023-02-27,5
2023-02-28,4
2023-03-01,4
2023-03-02,4
2023-03-03,4
2023-03-04,4
2023-03-05,4
2023-03-06,4
2023-03-07,4
2023-03-08,4
2023-03-09,4
2023-03-10,4
2023-03-11,4
2023-03-12,4
2023-03-13,4
2023-03-14,4
2023-03-15,4
2023-03-16,3
2023-03-17,3
2023-03-18,4
2023-03-19,4
2023-03-20,4
2023-03-21,5
2023-03-22,5
2023-03-23,4
2023-03-24,4
2023-03-25,3
2023-03-26,3
2023-03-27,4
2023-03-28,4
2023-03-29,4
2023-03-30,4
2023-03-31,3
2023-04-01,4
2023-04-02,4
2023-04-03,4
2023-04-04,4
2023-04-05,4
2023-04-06,3
2023-04-07,3
2023-04-08,3
2023-04-09,4
2023-04-10,4
2023-04-11,4
2023-04-12,3
2023-04-13,3
2023-04-14,3
2023-04-15,4
2023-04-16,4
2023-04-17,3
2023-04-18,4
2023-04-19,4
2023-04-20,7
2023-04-21,8
2023-04-22,6
2023-04-23,5
2023-04-24,4
2023-04-25,4
2023-04-26,4
2023-04-27,4
2023-04-28,4
2023-04-29,3
2023-04-30,4
2023-05-01,5
2023-05-02,6
2023-05-03,6
2023-05-04,5
2023-05-05,4
2023-05-06,4
2023-05-07,4
2023-05-08,4
2023-05-09,4
2023-05-10,4
2023-05-11,4
2023-05-12,4
2023-05-13,3
2023-05-14,4
2023-05-15,4
2023-05-16,19
2023-05-17,19
2023-05-18,13
2023-05-19,12
2023-05-20,10
2023-05-21,8
2023-05-22,8
2023-05-23,6
2023-05-24,6
2023-05-25,7
