Time,kahoot join
2022-01-01,3
2022-01-02,2
2022-01-03,12
2022-01-04,24
2022-01-05,30
2022-01-06,22
2022-01-07,29
2022-01-08,4
2022-01-09,4
2022-01-10,25
2022-01-11,28
2022-01-12,27
2022-01-13,31
2022-01-14,32
2022-01-15,5
2022-01-16,2
2022-01-17,4
2022-01-18,25
2022-01-19,28
2022-01-20,28
2022-01-21,34
2022-01-22,7
2022-01-23,5
2022-01-24,35
2022-01-25,27
2022-01-26,25
2022-01-27,35
2022-01-28,37
2022-01-29,8
2022-01-30,7
2022-01-31,31
2022-02-01,28
2022-02-02,29
2022-02-03,33
2022-02-04,28
2022-02-05,7
2022-02-06,6
2022-02-07,31
2022-02-08,32
2022-02-09,38
2022-02-10,32
2022-02-11,37
2022-02-12,7
2022-02-13,5
2022-02-14,26
2022-02-15,29
2022-02-16,33
2022-02-17,35
2022-02-18,30
2022-02-19,6
2022-02-20,6
2022-02-21,14
2022-02-22,32
2022-02-23,28
2022-02-24,39
2022-02-25,29
2022-02-26,6
2022-02-27,5
2022-02-28,28
2022-03-01,29
2022-03-02,28
2022-03-03,32
2022-03-04,35
2022-03-05,6
2022-03-06,5
2022-03-07,27
2022-03-08,28
2022-03-09,29
2022-03-10,33
2022-03-11,29
2022-03-12,8
2022-03-13,5
2022-03-14,21
2022-03-15,22
2022-03-16,23
2022-03-17,24
2022-03-18,21
2022-03-19,4
2022-03-20,5
2022-03-21,27
2022-03-22,29
2022-03-23,30
2022-03-24,33
2022-03-25,98
2022-03-26,7
2022-03-27,7
2022-03-28,70
2022-03-29,76
2022-03-30,35
2022-03-31,92
2022-04-01,100
2022-04-02,8
2022-04-03,6
2022-04-04,75
2022-04-05,68
2022-04-06,78
2022-04-07,80
2022-04-08,100
2022-04-09,9
2022-04-10,10
2022-04-11,47
2022-04-12,49
2022-04-13,57
2022-04-14,59
2022-04-15,26
2022-04-16,7
2022-04-17,9
2022-04-18,55
2022-04-19,44
2022-04-20,51
2022-04-21,53
2022-04-22,57
2022-04-23,11
2022-04-24,6
2022-04-25,61
2022-04-26,60
2022-04-27,63
2022-04-28,70
2022-04-29,74
2022-04-30,10
2022-05-01,7
2022-05-02,60
2022-05-03,59
2022-05-04,65
2022-05-05,64
2022-05-06,73
2022-05-07,9
2022-05-08,8
2022-05-09,70
2022-05-10,57
2022-05-11,54
2022-05-12,63
2022-05-13,73
2022-05-14,10
2022-05-15,6
2022-05-16,55
2022-05-17,55
2022-05-18,71
2022-05-19,58
2022-05-20,61
2022-05-21,8
2022-05-22,6
2022-05-23,51
2022-05-24,43
2022-05-25,47
2022-05-26,36
2022-05-27,36
2022-05-28,6
2022-05-29,6
2022-05-30,6
2022-05-31,29
2022-06-01,30
2022-06-02,29
2022-06-03,30
2022-06-04,6
2022-06-05,5
2022-06-06,25
2022-06-07,24
2022-06-08,30
2022-06-09,27
2022-06-10,25
2022-06-11,5
2022-06-12,3
2022-06-13,27
2022-06-14,23
2022-06-15,18
2022-06-16,18
2022-06-17,16
2022-06-18,2
2022-06-19,3
2022-06-20,10
2022-06-21,13
2022-06-22,12
2022-06-23,9
2022-06-24,6
2022-06-25,2
2022-06-26,2
2022-06-27,6
2022-06-28,10
2022-06-29,12
2022-06-30,11
2022-07-01,5
2022-07-02,2
2022-07-03,3
2022-07-04,2
2022-07-05,5
2022-07-06,8
2022-07-07,7
2022-07-08,6
2022-07-09,3
2022-07-10,3
2022-07-11,9
2022-07-12,8
2022-07-13,8
2022-07-14,8
2022-07-15,5
2022-07-16,2
2022-07-17,2
2022-07-18,6
2022-07-19,7
2022-07-20,9
2022-07-21,9
2022-07-22,5
2022-07-23,3
2022-07-24,2
2022-07-25,7
2022-07-26,6
2022-07-27,8
2022-07-28,9
2022-07-29,7
2022-07-30,3
2022-07-31,2
2022-08-01,8
2022-08-02,10
2022-08-03,13
2022-08-04,10
2022-08-05,14
2022-08-06,3
2022-08-07,5
2022-08-08,13
2022-08-09,21
2022-08-10,24
2022-08-11,31
2022-08-12,41
2022-08-13,3
2022-08-14,4
2022-08-15,24
2022-08-16,27
2022-08-17,34
2022-08-18,49
2022-08-19,69
2022-08-20,4
2022-08-21,4
2022-08-22,43
2022-08-23,45
2022-08-24,52
2022-08-25,54
2022-08-26,69
2022-08-27,5
2022-08-28,4
2022-08-29,50
2022-08-30,49
2022-08-31,64
2022-09-01,75
2022-09-02,65
2022-09-03,6
2022-09-04,3
2022-09-05,5
2022-09-06,54
2022-09-07,53
2022-09-08,71
2022-09-09,83
2022-09-10,5
2022-09-11,7
2022-09-12,55
2022-09-13,67
2022-09-14,67
2022-09-15,80
2022-09-16,81
2022-09-17,6
2022-09-18,9
2022-09-19,59
2022-09-20,59
2022-09-21,83
2022-09-22,75
2022-09-23,85
2022-09-24,7
2022-09-25,6
2022-09-26,45
2022-09-27,53
