Time,frontier airlines
2024-08-18,58
2024-08-19,58
2024-08-20,63
2024-08-21,54
2024-08-22,61
2024-08-23,59
2024-08-24,55
2024-08-25,60
2024-08-26,56
2024-08-27,56
2024-08-28,55
2024-08-29,57
2024-08-30,58
2024-08-31,55
2024-09-01,52
2024-09-02,55
2024-09-03,54
2024-09-04,55
2024-09-05,54
2024-09-06,51
2024-09-07,48
2024-09-08,56
2024-09-09,54
2024-09-10,51
2024-09-11,51
2024-09-12,64
2024-09-13,63
2024-09-14,60
2024-09-15,63
2024-09-16,65
2024-09-17,65
2024-09-18,65
2024-09-19,64
2024-09-20,55
2024-09-21,51
2024-09-22,54
2024-09-23,57
2024-09-24,66
2024-09-25,66
2024-09-26,60
2024-09-27,55
2024-09-28,43
2024-09-29,51
2024-09-30,49
2024-10-01,48
2024-10-02,54
2024-10-03,58
2024-10-04,55
2024-10-05,54
2024-10-06,69
2024-10-07,72
2024-10-08,53
2024-10-09,46
2024-10-10,50
2024-10-11,54
2024-10-12,48
2024-10-13,51
2024-10-14,62
2024-10-15,60
2024-10-16,61
2024-10-17,56
2024-10-18,58
2024-10-19,53
2024-10-20,59
2024-10-21,55
2024-10-22,56
2024-10-23,58
2024-10-24,59
2024-10-25,53
2024-10-26,43
2024-10-27,48
2024-10-28,47
2024-10-29,46
2024-10-30,45
2024-10-31,46
2024-11-01,54
2024-11-02,51
2024-11-03,54
2024-11-04,55
2024-11-05,45
2024-11-06,34
2024-11-07,49
2024-11-08,58
2024-11-09,52
2024-11-10,48
2024-11-11,50
2024-11-12,48
2024-11-13,52
2024-11-14,50
2024-11-15,52
2024-11-16,40
2024-11-17,50
2024-11-18,52
2024-11-19,53
2024-11-20,53
2024-11-21,48
2024-11-22,48
2024-11-23,44
2024-11-24,50
2024-11-25,45
2024-11-26,47
2024-11-27,49
2024-11-28,39
2024-11-29,50
2024-11-30,49
2024-12-01,52
2024-12-02,53
2024-12-03,65
2024-12-04,52
2024-12-05,46
2024-12-06,44
2024-12-07,38
2024-12-08,41
2024-12-09,43
2024-12-10,40
2024-12-11,50
2024-12-12,49
2024-12-13,49
2024-12-14,46
2024-12-15,45
2024-12-16,53
2024-12-17,76
2024-12-18,97
2024-12-19,100
2024-12-20,72
2024-12-21,61
2024-12-22,57
2024-12-23,53
2024-12-24,47
2024-12-25,46
2024-12-26,65
2024-12-27,59
2024-12-28,60
2024-12-29,59
2024-12-30,59
2024-12-31,55
2025-01-01,53
2025-01-02,58
2025-01-03,58
2025-01-04,55
2025-01-05,59
2025-01-06,56
2025-01-07,53
2025-01-08,53
2025-01-09,56
2025-01-10,56
2025-01-11,53
2025-01-12,55
2025-01-13,63
2025-01-14,55
2025-01-15,54
2025-01-16,58
2025-01-17,65
2025-01-18,57
2025-01-19,54
2025-01-20,61
2025-01-21,51
2025-01-22,55
2025-01-23,55
2025-01-24,50
2025-01-25,51
2025-01-26,53
2025-01-27,50
2025-01-28,50
2025-01-29,50
2025-01-30,49
2025-01-31,61
2025-02-01,55
2025-02-02,55
2025-02-03,50
2025-02-04,54
2025-02-05,55
2025-02-06,56
2025-02-07,50
2025-02-08,47
2025-02-09,47
2025-02-10,44
2025-02-11,49
2025-02-12,50
2025-02-13,52
2025-02-14,50
2025-02-15,50
2025-02-16,58
2025-02-17,58
2025-02-18,66
2025-02-19,66
2025-02-20,60
2025-02-21,63
2025-02-22,59
2025-02-23,59
2025-02-24,59
2025-02-25,53
2025-02-26,53
2025-02-27,59
2025-02-28,56
2025-03-01,58
2025-03-02,58
2025-03-03,53
2025-03-04,61
2025-03-05,54
2025-03-06,54
2025-03-07,52
2025-03-08,55
2025-03-09,53
2025-03-10,51
2025-03-11,59
2025-03-12,52
2025-03-13,56
2025-03-14,53
2025-03-15,51
2025-03-16,62
2025-03-17,61
2025-03-18,62
2025-03-19,69
2025-03-20,64
2025-03-21,51
2025-03-22,53
2025-03-23,55
2025-03-24,50
2025-03-25,50
2025-03-26,49
2025-03-27,50
2025-03-28,48
2025-03-29,40
2025-03-30,52
2025-03-31,53
2025-04-01,49
2025-04-02,49
2025-04-03,51
2025-04-04,48
2025-04-05,48
2025-04-06,51
2025-04-07,48
2025-04-08,45
2025-04-09,49
2025-04-10,50
2025-04-11,51
2025-04-12,43
2025-04-13,46
2025-04-14,48
2025-04-15,46
2025-04-16,47
2025-04-17,55
2025-04-18,52
2025-04-19,43
2025-04-20,41
2025-04-21,47
2025-04-22,45
2025-04-23,43
2025-04-24,47
2025-04-25,41
2025-04-26,38
2025-04-27,41
2025-04-28,44
2025-04-29,47
2025-04-30,47
2025-05-01,49
2025-05-02,47
2025-05-03,38
2025-05-04,43
2025-05-05,46
2025-05-06,44
2025-05-07,54
2025-05-08,64
2025-05-09,63
2025-05-10,51
2025-05-11,46
2025-05-12,50
2025-05-13,45
2025-05-14,45
