Time,frontier airlines
2023-12-22,38
2023-12-23,35
2023-12-24,32
2023-12-25,30
2023-12-26,45
2023-12-27,46
2023-12-28,43
2023-12-29,41
2023-12-30,37
2023-12-31,56
2024-01-01,67
2024-01-02,48
2024-01-03,47
2024-01-04,43
2024-01-05,41
2024-01-06,45
2024-01-07,44
2024-01-08,46
2024-01-09,45
2024-01-10,44
2024-01-11,40
2024-01-12,42
2024-01-13,38
2024-01-14,43
2024-01-15,43
2024-01-16,40
2024-01-17,44
2024-01-18,41
2024-01-19,37
2024-01-20,36
2024-01-21,36
2024-01-22,37
2024-01-23,43
2024-01-24,46
2024-01-25,48
2024-01-26,49
2024-01-27,46
2024-01-28,51
2024-01-29,44
2024-01-30,47
2024-01-31,47
2024-02-01,46
2024-02-02,44
2024-02-03,40
2024-02-04,52
2024-02-05,41
2024-02-06,44
2024-02-07,47
2024-02-08,50
2024-02-09,44
2024-02-10,46
2024-02-11,44
2024-02-12,39
2024-02-13,45
2024-02-14,43
2024-02-15,50
2024-02-16,48
2024-02-17,51
2024-02-18,55
2024-02-19,54
2024-02-20,52
2024-02-21,53
2024-02-22,54
2024-02-23,50
2024-02-24,50
2024-02-25,54
2024-02-26,49
2024-02-27,55
2024-02-28,53
2024-02-29,58
2024-03-01,63
2024-03-02,54
2024-03-03,55
2024-03-04,54
2024-03-05,52
2024-03-06,54
2024-03-07,55
2024-03-08,52
2024-03-09,58
2024-03-10,62
2024-03-11,52
2024-03-12,49
2024-03-13,50
2024-03-14,48
2024-03-15,44
2024-03-16,45
2024-03-17,47
2024-03-18,46
2024-03-19,55
2024-03-20,53
2024-03-21,47
2024-03-22,52
2024-03-23,51
2024-03-24,54
2024-03-25,51
2024-03-26,49
2024-03-27,52
2024-03-28,52
2024-03-29,59
2024-03-30,80
2024-03-31,55
2024-04-01,55
2024-04-02,56
2024-04-03,56
2024-04-04,54
2024-04-05,48
2024-04-06,47
2024-04-07,49
2024-04-08,41
2024-04-09,44
2024-04-10,46
2024-04-11,48
2024-04-12,48
2024-04-13,37
2024-04-14,46
2024-04-15,43
2024-04-16,46
2024-04-17,43
2024-04-18,43
2024-04-19,38
2024-04-20,38
2024-04-21,41
2024-04-22,44
2024-04-23,43
2024-04-24,44
2024-04-25,41
2024-04-26,36
2024-04-27,38
2024-04-28,41
2024-04-29,40
2024-04-30,42
2024-05-01,41
2024-05-02,43
2024-05-03,44
2024-05-04,38
2024-05-05,41
2024-05-06,44
2024-05-07,41
2024-05-08,41
2024-05-09,45
2024-05-10,39
2024-05-11,38
2024-05-12,39
2024-05-13,46
2024-05-14,46
2024-05-15,46
2024-05-16,54
2024-05-17,52
2024-05-18,41
2024-05-19,48
2024-05-20,45
2024-05-21,48
2024-05-22,47
2024-05-23,43
2024-05-24,43
2024-05-25,40
2024-05-26,36
2024-05-27,41
2024-05-28,44
2024-05-29,46
2024-05-30,45
2024-05-31,47
2024-06-01,42
2024-06-02,47
2024-06-03,43
2024-06-04,43
2024-06-05,48
2024-06-06,50
2024-06-07,45
2024-06-08,42
2024-06-09,43
2024-06-10,47
2024-06-11,50
2024-06-12,51
2024-06-13,51
2024-06-14,46
2024-06-15,40
2024-06-16,42
2024-06-17,48
2024-06-18,49
2024-06-19,47
2024-06-20,49
2024-06-21,43
2024-06-22,40
2024-06-23,43
2024-06-24,48
2024-06-25,48
2024-06-26,50
2024-06-27,55
2024-06-28,50
2024-06-29,43
2024-06-30,49
2024-07-01,47
2024-07-02,47
2024-07-03,46
2024-07-04,41
2024-07-05,42
2024-07-06,39
2024-07-07,49
2024-07-08,56
2024-07-09,57
2024-07-10,57
2024-07-11,53
2024-07-12,45
2024-07-13,39
2024-07-14,39
2024-07-15,46
2024-07-16,50
2024-07-17,47
2024-07-18,56
2024-07-19,100
2024-07-20,56
2024-07-21,54
2024-07-22,50
2024-07-23,54
2024-07-24,52
2024-07-25,50
2024-07-26,41
2024-07-27,34
2024-07-28,38
2024-07-29,40
2024-07-30,41
2024-07-31,45
2024-08-01,43
2024-08-02,41
2024-08-03,44
2024-08-04,51
2024-08-05,47
2024-08-06,44
2024-08-07,44
2024-08-08,43
2024-08-09,42
2024-08-10,37
2024-08-11,40
2024-08-12,38
2024-08-13,40
2024-08-14,41
2024-08-15,41
2024-08-16,36
2024-08-17,32
2024-08-18,37
2024-08-19,37
2024-08-20,40
2024-08-21,34
2024-08-22,39
2024-08-23,37
2024-08-24,35
2024-08-25,38
2024-08-26,35
2024-08-27,35
2024-08-28,35
2024-08-29,36
2024-08-30,37
2024-08-31,35
2024-09-01,33
2024-09-02,35
2024-09-03,34
2024-09-04,35
2024-09-05,34
2024-09-06,32
2024-09-07,30
2024-09-08,35
2024-09-09,34
2024-09-10,32
2024-09-11,32
2024-09-12,41
2024-09-13,40
2024-09-14,38
2024-09-15,40
2024-09-16,41
