Time,dr strange
2025-12-11,74
2025-12-12,77
2025-12-13,62
2025-12-14,63
2025-12-15,61
2025-12-16,60
2025-12-17,59
2025-12-18,53
2025-12-19,57
2025-12-20,91
2025-12-21,86
2025-12-22,57
2025-12-23,52
2025-12-24,56
2025-12-25,70
2025-12-26,71
2025-12-27,96
2025-12-28,79
2025-12-29,63
2025-12-30,100
2025-12-31,67
2026-01-01,77
2026-01-02,76
2026-01-03,58
2026-01-04,90
2026-01-05,61
2026-01-06,73
2026-01-07,71
2026-01-08,63
2026-01-09,62
2026-01-10,74
2026-01-11,75
2026-01-12,70
2026-01-13,77
2026-01-14,65
2026-01-15,77
2026-01-16,68
2026-01-17,78
2026-01-18,91
2026-01-19,84
2026-01-20,77
2026-01-21,76
2026-01-22,79
2026-01-23,78
2026-01-24,95
2026-01-25,95
2026-01-26,80
2026-01-27,71
2026-01-28,65
2026-01-29,68
2026-01-30,69
2026-01-31,79
2026-02-01,81
2026-02-02,68
2026-02-03,58
2026-02-04,68
2026-02-05,65
2026-02-06,60
2026-02-07,67
2026-02-08,84
2026-02-09,49
2026-02-10,54
2026-02-11,64
2026-02-12,51
2026-02-13,51
2026-02-14,59
2026-02-15,79
2026-02-16,62
2026-02-17,58
2026-02-18,63
2026-02-19,70
2026-02-20,67
2026-02-21,77
2026-02-22,98
2026-02-23,63
2026-02-24,66
2026-02-25,53
2026-02-26,61
2026-02-27,61
2026-02-28,64
2026-03-01,60
2026-03-02,65
2026-03-03,57
2026-03-04,60
2026-03-05,51
2026-03-06,70
2026-03-07,66
2026-03-08,68
2026-03-09,59
2026-03-10,52
2026-03-11,56
2026-03-12,47
2026-03-13,49
2026-03-14,53
2026-03-15,69
2026-03-16,58
2026-03-17,51
2026-03-18,76
2026-03-19,74
2026-03-20,71
2026-03-21,87
2026-03-22,100
2026-03-23,67
2026-03-24,82
2026-03-25,72
2026-03-26,61
2026-03-27,64
2026-03-28,66
2026-03-29,78
2026-03-30,68
2026-03-31,62
2026-04-01,62
2026-04-02,61
2026-04-03,72
2026-04-04,77
2026-04-05,66
2026-04-06,73
2026-04-07,53
2026-04-08,58
2026-04-09,69
2026-04-10,58
2026-04-11,66
2026-04-12,61
2026-04-13,58
2026-04-14,59
2026-04-15,61
2026-04-16,62
2026-04-17,66
2026-04-18,93
2026-04-19,87
2026-04-20,59
2026-04-21,70
2026-04-22,62
2026-04-23,69
2026-04-24,62
2026-04-25,78
2026-04-26,75
2026-04-27,69
2026-04-28,57
2026-04-29,56
2026-04-30,58
2026-05-01,58
2026-05-02,56
2026-05-03,74
2026-05-04,65
2026-05-05,54
2026-05-06,54
2026-05-07,54
2026-05-08,55
2026-05-09,53
2026-05-10,66
2026-05-11,55
2026-05-12,65
2026-05-13,46
2026-05-14,54
2026-05-15,54
2026-05-16,78
2026-05-17,58
2026-05-18,56
2026-05-19,65
2026-05-20,53
2026-05-21,52
2026-05-22,56
2026-05-23,62
2026-05-24,68
2026-05-25,70
2026-05-26,53
2026-05-27,40
2026-05-28,51
2026-05-29,58
2026-05-30,63
2026-05-31,81
