Time,dr strange
2022-08-29,64
2022-08-30,61
2022-08-31,59
2022-09-01,55
2022-09-02,57
2022-09-03,73
2022-09-04,100
2022-09-05,85
2022-09-06,57
2022-09-07,48
2022-09-08,53
2022-09-09,53
2022-09-10,70
2022-09-11,71
2022-09-12,53
2022-09-13,51
2022-09-14,50
2022-09-15,51
2022-09-16,46
2022-09-17,57
2022-09-18,64
2022-09-19,47
2022-09-20,41
2022-09-21,49
2022-09-22,43
2022-09-23,42
2022-09-24,52
2022-09-25,79
2022-09-26,49
2022-09-27,37
2022-09-28,41
2022-09-29,37
2022-09-30,45
2022-10-01,50
2022-10-02,47
2022-10-03,44
2022-10-04,42
2022-10-05,41
2022-10-06,40
2022-10-07,40
2022-10-08,50
2022-10-09,53
2022-10-10,39
2022-10-11,43
2022-10-12,50
2022-10-13,49
2022-10-14,44
2022-10-15,57
2022-10-16,50
2022-10-17,42
2022-10-18,36
2022-10-19,37
2022-10-20,43
2022-10-21,46
2022-10-22,55
2022-10-23,62
2022-10-24,50
2022-10-25,46
2022-10-26,49
2022-10-27,46
2022-10-28,50
2022-10-29,55
2022-10-30,67
2022-10-31,61
2022-11-01,38
2022-11-02,30
2022-11-03,32
2022-11-04,34
2022-11-05,44
2022-11-06,49
2022-11-07,40
2022-11-08,34
2022-11-09,34
2022-11-10,37
2022-11-11,51
2022-11-12,51
2022-11-13,53
2022-11-14,34
2022-11-15,39
2022-11-16,36
2022-11-17,39
2022-11-18,36
2022-11-19,45
2022-11-20,46
2022-11-21,35
2022-11-22,36
2022-11-23,40
2022-11-24,44
2022-11-25,44
2022-11-26,54
2022-11-27,53
2022-11-28,38
2022-11-29,31
2022-11-30,31
2022-12-01,30
2022-12-02,28
2022-12-03,42
2022-12-04,38
2022-12-05,34
2022-12-06,27
2022-12-07,36
2022-12-08,30
2022-12-09,35
2022-12-10,42
2022-12-11,45
2022-12-12,39
2022-12-13,40
2022-12-14,35
2022-12-15,35
2022-12-16,36
2022-12-17,56
2022-12-18,64
2022-12-19,47
2022-12-20,40
2022-12-21,38
2022-12-22,42
2022-12-23,50
2022-12-24,42
2022-12-25,51
2022-12-26,45
2022-12-27,47
2022-12-28,45
2022-12-29,39
2022-12-30,37
2022-12-31,53
2023-01-01,59
2023-01-02,59
2023-01-03,42
2023-01-04,46
2023-01-05,39
2023-01-06,41
2023-01-07,70
2023-01-08,49
2023-01-09,38
2023-01-10,37
2023-01-11,38
2023-01-12,40
2023-01-13,34
2023-01-14,40
2023-01-15,38
2023-01-16,39
2023-01-17,32
2023-01-18,30
2023-01-19,38
2023-01-20,33
2023-01-21,41
2023-01-22,35
2023-01-23,32
2023-01-24,30
2023-01-25,32
2023-01-26,31
2023-01-27,34
2023-01-28,32
2023-01-29,45
2023-01-30,31
2023-01-31,33
2023-02-01,30
2023-02-02,33
2023-02-03,31
2023-02-04,38
2023-02-05,46
2023-02-06,41
2023-02-07,31
2023-02-08,30
2023-02-09,27
2023-02-10,34
2023-02-11,35
2023-02-12,47
2023-02-13,24
2023-02-14,30
2023-02-15,28
2023-02-16,35
2023-02-17,40
2023-02-18,53
2023-02-19,57
2023-02-20,44
2023-02-21,36
2023-02-22,35
2023-02-23,33
2023-02-24,32
2023-02-25,43
2023-02-26,46
2023-02-27,38
2023-02-28,29
2023-03-01,30
2023-03-02,33
2023-03-03,39
2023-03-04,42
2023-03-05,39
2023-03-06,31
2023-03-07,26
2023-03-08,26
2023-03-09,24
2023-03-10,34
2023-03-11,32
2023-03-12,43
2023-03-13,31
2023-03-14,27
2023-03-15,26
2023-03-16,28
2023-03-17,29
2023-03-18,34
2023-03-19,37
2023-03-20,25
2023-03-21,23
2023-03-22,25
2023-03-23,35
2023-03-24,29
2023-03-25,37
2023-03-26,30
2023-03-27,28
2023-03-28,29
2023-03-29,28
2023-03-30,27
2023-03-31,29
2023-04-01,44
2023-04-02,32
2023-04-03,30
2023-04-04,25
2023-04-05,25
2023-04-06,24
2023-04-07,34
2023-04-08,30
2023-04-09,28
2023-04-10,26
2023-04-11,23
2023-04-12,24
2023-04-13,27
2023-04-14,24
2023-04-15,27
2023-04-16,26
2023-04-17,23
2023-04-18,22
2023-04-19,21
2023-04-20,24
2023-04-21,24
2023-04-22,31
2023-04-23,34
2023-04-24,26
2023-04-25,24
2023-04-26,22
2023-04-27,26
2023-04-28,24
2023-04-29,51
2023-04-30,40
2023-05-01,29
2023-05-02,25
2023-05-03,26
2023-05-04,24
2023-05-05,31
2023-05-06,33
2023-05-07,34
2023-05-08,33
2023-05-09,27
2023-05-10,27
2023-05-11,28
2023-05-12,24
2023-05-13,28
2023-05-14,34
2023-05-15,28
2023-05-16,31
2023-05-17,26
2023-05-18,30
2023-05-19,26
2023-05-20,41
2023-05-21,45
2023-05-22,36
2023-05-23,24
2023-05-24,30
2023-05-25,29
