Time,dr strange
2024-08-18,74
2024-08-19,58
2024-08-20,53
2024-08-21,50
2024-08-22,53
2024-08-23,44
2024-08-24,64
2024-08-25,76
2024-08-26,72
2024-08-27,47
2024-08-28,49
2024-08-29,43
2024-08-30,53
2024-08-31,74
2024-09-01,50
2024-09-02,81
2024-09-03,62
2024-09-04,41
2024-09-05,44
2024-09-06,36
2024-09-07,52
2024-09-08,51
2024-09-09,50
2024-09-10,52
2024-09-11,38
2024-09-12,33
2024-09-13,38
2024-09-14,59
2024-09-15,61
2024-09-16,43
2024-09-17,43
2024-09-18,40
2024-09-19,53
2024-09-20,46
2024-09-21,62
2024-09-22,65
2024-09-23,58
2024-09-24,52
2024-09-25,73
2024-09-26,47
2024-09-27,43
2024-09-28,53
2024-09-29,55
2024-09-30,45
2024-10-01,51
2024-10-02,49
2024-10-03,66
2024-10-04,50
2024-10-05,55
2024-10-06,66
2024-10-07,46
2024-10-08,44
2024-10-09,37
2024-10-10,39
2024-10-11,52
2024-10-12,66
2024-10-13,61
2024-10-14,56
2024-10-15,57
2024-10-16,48
2024-10-17,55
2024-10-18,50
2024-10-19,59
2024-10-20,58
2024-10-21,63
2024-10-22,57
2024-10-23,42
2024-10-24,50
2024-10-25,56
2024-10-26,63
2024-10-27,63
2024-10-28,63
2024-10-29,45
2024-10-30,56
2024-10-31,57
2024-11-01,51
2024-11-02,66
2024-11-03,45
2024-11-04,52
2024-11-05,40
2024-11-06,25
2024-11-07,43
2024-11-08,42
2024-11-09,60
2024-11-10,64
2024-11-11,44
2024-11-12,40
2024-11-13,61
2024-11-14,52
2024-11-15,44
2024-11-16,54
2024-11-17,51
2024-11-18,49
2024-11-19,48
2024-11-20,47
2024-11-21,35
2024-11-22,39
2024-11-23,54
2024-11-24,57
2024-11-25,44
2024-11-26,35
2024-11-27,52
2024-11-28,40
2024-11-29,40
2024-11-30,46
2024-12-01,42
2024-12-02,40
2024-12-03,41
2024-12-04,30
2024-12-05,34
2024-12-06,56
2024-12-07,61
2024-12-08,65
2024-12-09,55
2024-12-10,69
2024-12-11,63
2024-12-12,58
2024-12-13,81
2024-12-14,67
2024-12-15,82
2024-12-16,66
2024-12-17,59
2024-12-18,57
2024-12-19,76
2024-12-20,74
2024-12-21,69
2024-12-22,83
2024-12-23,63
2024-12-24,83
2024-12-25,82
2024-12-26,72
2024-12-27,83
2024-12-28,73
2024-12-29,99
2024-12-30,94
2024-12-31,79
2025-01-01,79
2025-01-02,92
2025-01-03,86
2025-01-04,83
2025-01-05,85
2025-01-06,80
2025-01-07,88
2025-01-08,82
2025-01-09,59
2025-01-10,79
2025-01-11,89
2025-01-12,100
2025-01-13,70
2025-01-14,77
2025-01-15,73
2025-01-16,60
2025-01-17,76
2025-01-18,86
2025-01-19,82
2025-01-20,68
2025-01-21,79
2025-01-22,69
2025-01-23,61
2025-01-24,62
2025-01-25,82
2025-01-26,94
2025-01-27,72
2025-01-28,55
2025-01-29,60
2025-01-30,74
2025-01-31,61
2025-02-01,76
2025-02-02,91
2025-02-03,67
2025-02-04,67
2025-02-05,66
2025-02-06,63
2025-02-07,51
2025-02-08,69
2025-02-09,55
2025-02-10,49
2025-02-11,45
2025-02-12,53
2025-02-13,58
2025-02-14,55
2025-02-15,85
2025-02-16,100
2025-02-17,65
2025-02-18,62
2025-02-19,69
2025-02-20,60
2025-02-21,64
2025-02-22,69
2025-02-23,68
2025-02-24,60
2025-02-25,54
2025-02-26,61
2025-02-27,53
2025-02-28,57
2025-03-01,68
2025-03-02,75
2025-03-03,49
2025-03-04,54
2025-03-05,58
2025-03-06,48
2025-03-07,55
2025-03-08,58
2025-03-09,64
2025-03-10,54
2025-03-11,47
2025-03-12,44
2025-03-13,46
2025-03-14,49
2025-03-15,60
2025-03-16,58
2025-03-17,48
2025-03-18,46
2025-03-19,48
2025-03-20,52
2025-03-21,49
2025-03-22,69
2025-03-23,66
2025-03-24,55
2025-03-25,46
2025-03-26,61
2025-03-27,59
2025-03-28,58
2025-03-29,65
2025-03-30,56
2025-03-31,54
2025-04-01,55
2025-04-02,52
2025-04-03,59
2025-04-04,55
2025-04-05,68
2025-04-06,68
2025-04-07,54
2025-04-08,57
2025-04-09,41
2025-04-10,44
2025-04-11,46
2025-04-12,62
2025-04-13,70
2025-04-14,57
2025-04-15,49
2025-04-16,52
2025-04-17,56
2025-04-18,63
2025-04-19,53
2025-04-20,60
2025-04-21,40
2025-04-22,56
2025-04-23,47
2025-04-24,37
2025-04-25,42
2025-04-26,68
2025-04-27,56
2025-04-28,51
2025-04-29,39
2025-04-30,35
2025-05-01,48
2025-05-02,49
2025-05-03,52
2025-05-04,64
2025-05-05,52
2025-05-06,51
2025-05-07,53
2025-05-08,41
2025-05-09,48
2025-05-10,68
2025-05-11,76
2025-05-12,51
2025-05-13,47
2025-05-14,51
