Time,miami heat
2023-12-22,24
2023-12-23,42
2023-12-24,19
2023-12-25,31
2023-12-26,52
2023-12-27,19
2023-12-28,23
2023-12-29,41
2023-12-30,33
2023-12-31,24
2024-01-01,17
2024-01-02,29
2024-01-03,19
2024-01-04,38
2024-01-05,20
2024-01-06,33
2024-01-07,18
2024-01-08,21
2024-01-09,32
2024-01-10,26
2024-01-11,33
2024-01-12,25
2024-01-13,35
2024-01-14,29
2024-01-15,30
2024-01-16,27
2024-01-17,21
2024-01-18,28
2024-01-19,21
2024-01-20,40
2024-01-21,22
2024-01-22,25
2024-01-23,33
2024-01-24,33
2024-01-25,46
2024-01-26,38
2024-01-27,42
2024-01-28,22
2024-01-29,20
2024-01-30,37
2024-01-31,23
2024-02-01,32
2024-02-02,24
2024-02-03,35
2024-02-04,32
2024-02-05,30
2024-02-06,22
2024-02-07,41
2024-02-08,39
2024-02-09,21
2024-02-10,18
2024-02-11,44
2024-02-12,15
2024-02-13,19
2024-02-14,40
2024-02-15,28
2024-02-16,15
2024-02-17,15
2024-02-18,14
2024-02-19,12
2024-02-20,12
2024-02-21,12
2024-02-22,12
2024-02-23,18
2024-02-24,48
2024-02-25,22
2024-02-26,22
2024-02-27,45
2024-02-28,36
2024-02-29,21
2024-03-01,39
2024-03-02,34
2024-03-03,32
2024-03-04,16
2024-03-05,20
2024-03-06,31
2024-03-07,23
2024-03-08,39
2024-03-09,32
2024-03-10,29
2024-03-11,21
2024-03-12,14
2024-03-13,21
2024-03-14,30
2024-03-15,19
2024-03-16,26
2024-03-17,34
2024-03-18,25
2024-03-19,28
2024-03-20,21
2024-03-21,25
2024-03-22,21
2024-03-23,29
2024-03-24,29
2024-03-25,22
2024-03-26,26
2024-03-27,31
2024-03-28,16
2024-03-29,19
2024-03-30,32
2024-03-31,26
2024-04-01,22
2024-04-02,21
2024-04-03,33
2024-04-04,26
2024-04-05,36
2024-04-06,27
2024-04-07,36
2024-04-08,17
2024-04-09,18
2024-04-10,39
2024-04-11,33
2024-04-12,18
2024-04-13,32
2024-04-14,39
2024-04-15,21
2024-04-16,19
2024-04-17,48
2024-04-18,100
2024-04-19,57
2024-04-20,94
2024-04-21,87
2024-04-22,23
2024-04-23,27
2024-04-24,45
2024-04-25,87
2024-04-26,29
2024-04-27,71
2024-04-28,53
2024-04-29,43
2024-04-30,73
2024-05-01,39
2024-05-02,56
2024-05-03,14
2024-05-04,13
2024-05-05,12
2024-05-06,12
2024-05-07,12
2024-05-08,9
2024-05-09,9
2024-05-10,9
2024-05-11,9
2024-05-12,10
2024-05-13,9
2024-05-14,8
2024-05-15,9
2024-05-16,9
2024-05-17,8
2024-05-18,10
2024-05-19,11
2024-05-20,9
2024-05-21,8
2024-05-22,8
2024-05-23,8
2024-05-24,8
2024-05-25,8
2024-05-26,8
2024-05-27,9
2024-05-28,8
2024-05-29,8
2024-05-30,8
2024-05-31,9
2024-06-01,7
2024-06-02,7
2024-06-03,7
2024-06-04,7
2024-06-05,7
2024-06-06,8
2024-06-07,8
2024-06-08,7
2024-06-09,8
2024-06-10,7
2024-06-11,7
2024-06-12,7
2024-06-13,8
2024-06-14,8
2024-06-15,9
2024-06-16,7
2024-06-17,8
2024-06-18,11
2024-06-19,8
2024-06-20,8
2024-06-21,11
2024-06-22,10
2024-06-23,10
2024-06-24,9
2024-06-25,11
2024-06-26,15
2024-06-27,30
2024-06-28,17
2024-06-29,14
2024-06-30,17
2024-07-01,21
2024-07-02,19
2024-07-03,20
2024-07-04,18
2024-07-05,17
2024-07-06,22
2024-07-07,23
2024-07-08,15
2024-07-09,13
2024-07-10,13
2024-07-11,16
2024-07-12,10
2024-07-13,10
2024-07-14,11
2024-07-15,11
2024-07-16,10
2024-07-17,11
2024-07-18,11
2024-07-19,10
2024-07-20,12
2024-07-21,12
2024-07-22,11
2024-07-23,16
2024-07-24,9
2024-07-25,8
2024-07-26,8
2024-07-27,8
2024-07-28,10
2024-07-29,7
2024-07-30,7
2024-07-31,7
2024-08-01,6
2024-08-02,6
2024-08-03,6
2024-08-04,6
2024-08-05,6
2024-08-06,6
2024-08-07,6
2024-08-08,7
2024-08-09,7
2024-08-10,9
2024-08-11,7
2024-08-12,6
2024-08-13,7
2024-08-14,7
2024-08-15,9
2024-08-16,8
2024-08-17,7
2024-08-18,7
2024-08-19,6
2024-08-20,6
2024-08-21,6
2024-08-22,6
2024-08-23,6
2024-08-24,7
2024-08-25,6
2024-08-26,6
2024-08-27,7
2024-08-28,6
2024-08-29,5
2024-08-30,6
2024-08-31,6
2024-09-01,5
2024-09-02,5
2024-09-03,5
2024-09-04,6
2024-09-05,5
2024-09-06,5
2024-09-07,5
2024-09-08,6
2024-09-09,5
2024-09-10,6
2024-09-11,6
2024-09-12,6
2024-09-13,7
2024-09-14,6
2024-09-15,6
2024-09-16,6
