Time,miami heat
2022-08-29,2
2022-08-30,2
2022-08-31,3
2022-09-01,3
2022-09-02,3
2022-09-03,3
2022-09-04,3
2022-09-05,2
2022-09-06,2
2022-09-07,3
2022-09-08,2
2022-09-09,2
2022-09-10,3
2022-09-11,2
2022-09-12,2
2022-09-13,2
2022-09-14,2
2022-09-15,2
2022-09-16,2
2022-09-17,2
2022-09-18,2
2022-09-19,2
2022-09-20,2
2022-09-21,2
2022-09-22,2
2022-09-23,2
2022-09-24,3
2022-09-25,4
2022-09-26,3
2022-09-27,3
2022-09-28,3
2022-09-29,2
2022-09-30,3
2022-10-01,2
2022-10-02,3
2022-10-03,4
2022-10-04,4
2022-10-05,5
2022-10-06,4
2022-10-07,6
2022-10-08,6
2022-10-09,4
2022-10-10,4
2022-10-11,6
2022-10-12,4
2022-10-13,5
2022-10-14,3
2022-10-15,3
2022-10-16,3
2022-10-17,3
2022-10-18,4
2022-10-19,8
2022-10-20,12
2022-10-21,6
2022-10-22,12
2022-10-23,10
2022-10-24,7
2022-10-25,7
2022-10-26,5
2022-10-27,10
2022-10-28,10
2022-10-29,7
2022-10-30,7
2022-10-31,4
2022-11-01,6
2022-11-02,11
2022-11-03,8
2022-11-04,5
2022-11-05,7
2022-11-06,4
2022-11-07,4
2022-11-08,7
2022-11-09,3
2022-11-10,5
2022-11-11,8
2022-11-12,7
2022-11-13,10
2022-11-14,5
2022-11-15,8
2022-11-16,5
2022-11-17,7
2022-11-18,5
2022-11-19,8
2022-11-20,4
2022-11-21,5
2022-11-22,6
2022-11-23,5
2022-11-24,7
2022-11-25,4
2022-11-26,8
2022-11-27,5
2022-11-28,5
2022-11-29,4
2022-11-30,4
2022-12-01,7
2022-12-02,4
2022-12-03,9
2022-12-04,4
2022-12-05,4
2022-12-06,7
2022-12-07,7
2022-12-08,5
2022-12-09,8
2022-12-10,7
2022-12-11,6
2022-12-12,5
2022-12-13,6
2022-12-14,5
2022-12-15,9
2022-12-16,9
2022-12-17,7
2022-12-18,7
2022-12-19,4
2022-12-20,6
2022-12-21,8
2022-12-22,4
2022-12-23,5
2022-12-24,7
2022-12-25,5
2022-12-26,6
2022-12-27,7
2022-12-28,6
2022-12-29,8
2022-12-30,5
2022-12-31,8
2023-01-01,8
2023-01-02,4
2023-01-03,8
2023-01-04,5
2023-01-05,9
2023-01-06,5
2023-01-07,10
2023-01-08,7
2023-01-09,6
2023-01-10,5
2023-01-11,12
2023-01-12,6
2023-01-13,8
2023-01-14,11
2023-01-15,6
2023-01-16,7
2023-01-17,4
2023-01-18,4
2023-01-19,7
2023-01-20,6
2023-01-21,10
2023-01-22,8
2023-01-23,5
2023-01-24,6
2023-01-25,10
2023-01-26,5
2023-01-27,6
2023-01-28,11
2023-01-29,10
2023-01-30,4
2023-01-31,6
2023-02-01,8
2023-02-02,6
2023-02-03,9
2023-02-04,7
2023-02-05,10
2023-02-06,6
2023-02-07,7
2023-02-08,8
2023-02-09,15
2023-02-10,8
2023-02-11,13
2023-02-12,11
2023-02-13,5
2023-02-14,8
2023-02-15,5
2023-02-16,8
2023-02-17,5
2023-02-18,6
2023-02-19,7
2023-02-20,7
2023-02-21,6
2023-02-22,5
2023-02-23,5
2023-02-24,7
2023-02-25,12
2023-02-26,10
2023-02-27,6
2023-02-28,9
2023-03-01,6
2023-03-02,8
2023-03-03,5
2023-03-04,11
2023-03-05,9
2023-03-06,6
2023-03-07,9
2023-03-08,6
2023-03-09,9
2023-03-10,5
2023-03-11,10
2023-03-12,9
2023-03-13,6
2023-03-14,8
2023-03-15,6
2023-03-16,8
2023-03-17,4
2023-03-18,5
2023-03-19,9
2023-03-20,6
2023-03-21,4
2023-03-22,5
2023-03-23,8
2023-03-24,5
2023-03-25,6
2023-03-26,10
2023-03-27,4
2023-03-28,5
2023-03-29,7
2023-03-30,6
2023-03-31,4
2023-04-01,7
2023-04-02,9
2023-04-03,4
2023-04-04,5
2023-04-05,7
2023-04-06,6
2023-04-07,11
2023-04-08,8
2023-04-09,12
2023-04-10,7
2023-04-11,11
2023-04-12,25
2023-04-13,9
2023-04-14,12
2023-04-15,23
2023-04-16,20
2023-04-17,16
2023-04-18,7
2023-04-19,10
2023-04-20,17
2023-04-21,6
2023-04-22,12
2023-04-23,24
2023-04-24,13
2023-04-25,42
2023-04-26,14
2023-04-27,69
2023-04-28,11
2023-04-29,10
2023-04-30,45
2023-05-01,16
2023-05-02,17
2023-05-03,34
2023-05-04,11
2023-05-05,11
2023-05-06,42
2023-05-07,19
2023-05-08,16
2023-05-09,38
2023-05-10,18
2023-05-11,40
2023-05-12,19
2023-05-13,69
2023-05-14,18
2023-05-15,16
2023-05-16,13
2023-05-17,19
2023-05-18,63
2023-05-19,23
2023-05-20,86
2023-05-21,45
2023-05-22,100
2023-05-23,46
2023-05-24,97
2023-05-25,31
