Time,dall e
2023-12-22,86
2023-12-23,84
2023-12-24,100
2023-12-25,81
2023-12-26,78
2023-12-27,79
2023-12-28,70
2023-12-29,90
2023-12-30,66
2023-12-31,70
2024-01-01,66
2024-01-02,81
2024-01-03,79
2024-01-04,75
2024-01-05,71
2024-01-06,76
2024-01-07,77
2024-01-08,70
2024-01-09,66
2024-01-10,76
2024-01-11,67
2024-01-12,67
2024-01-13,57
2024-01-14,66
2024-01-15,54
2024-01-16,57
2024-01-17,52
2024-01-18,57
2024-01-19,78
2024-01-20,50
2024-01-21,54
2024-01-22,59
2024-01-23,55
2024-01-24,63
2024-01-25,53
2024-01-26,53
2024-01-27,45
2024-01-28,65
2024-01-29,57
2024-01-30,77
2024-01-31,66
2024-02-01,62
2024-02-02,60
2024-02-03,59
2024-02-04,62
2024-02-05,48
2024-02-06,41
2024-02-07,49
2024-02-08,57
2024-02-09,51
2024-02-10,27
2024-02-11,40
2024-02-12,37
2024-02-13,44
2024-02-14,54
2024-02-15,56
2024-02-16,64
2024-02-17,53
2024-02-18,47
2024-02-19,62
2024-02-20,55
2024-02-21,66
2024-02-22,60
2024-02-23,51
2024-02-24,45
2024-02-25,48
2024-02-26,49
2024-02-27,60
2024-02-28,59
2024-02-29,56
2024-03-01,45
2024-03-02,43
2024-03-03,51
2024-03-04,49
2024-03-05,38
2024-03-06,50
2024-03-07,45
2024-03-08,47
2024-03-09,31
2024-03-10,43
2024-03-11,40
2024-03-12,37
2024-03-13,49
2024-03-14,37
2024-03-15,46
2024-03-16,33
2024-03-17,29
2024-03-18,47
2024-03-19,36
2024-03-20,52
2024-03-21,42
2024-03-22,41
2024-03-23,37
2024-03-24,36
2024-03-25,34
2024-03-26,34
2024-03-27,41
2024-03-28,32
2024-03-29,38
2024-03-30,28
2024-03-31,32
2024-04-01,37
2024-04-02,33
2024-04-03,40
2024-04-04,29
2024-04-05,37
2024-04-06,38
2024-04-07,36
2024-04-08,32
2024-04-09,49
2024-04-10,28
2024-04-11,38
2024-04-12,31
2024-04-13,25
2024-04-14,31
2024-04-15,30
2024-04-16,35
2024-04-17,37
2024-04-18,37
2024-04-19,29
2024-04-20,28
2024-04-21,26
2024-04-22,23
2024-04-23,36
2024-04-24,38
2024-04-25,47
2024-04-26,29
2024-04-27,25
2024-04-28,19
2024-04-29,20
2024-04-30,31
2024-05-01,33
2024-05-02,29
2024-05-03,28
2024-05-04,19
2024-05-05,21
2024-05-06,25
2024-05-07,32
2024-05-08,30
2024-05-09,28
2024-05-10,19
2024-05-11,13
2024-05-12,22
2024-05-13,22
2024-05-14,35
2024-05-15,44
2024-05-16,27
2024-05-17,41
2024-05-18,33
2024-05-19,33
2024-05-20,33
2024-05-21,19
2024-05-22,27
2024-05-23,37
2024-05-24,30
2024-05-25,23
2024-05-26,21
2024-05-27,27
2024-05-28,35
2024-05-29,25
2024-05-30,30
2024-05-31,28
2024-06-01,29
2024-06-02,22
2024-06-03,30
2024-06-04,33
2024-06-05,31
2024-06-06,27
2024-06-07,30
2024-06-08,26
2024-06-09,28
2024-06-10,26
2024-06-11,30
2024-06-12,28
2024-06-13,38
2024-06-14,29
2024-06-15,27
2024-06-16,23
2024-06-17,21
2024-06-18,24
2024-06-19,18
2024-06-20,25
2024-06-21,26
2024-06-22,24
2024-06-23,27
2024-06-24,24
2024-06-25,27
2024-06-26,24
2024-06-27,15
2024-06-28,21
2024-06-29,39
2024-06-30,19
2024-07-01,17
2024-07-02,19
2024-07-03,26
2024-07-04,20
2024-07-05,18
2024-07-06,19
2024-07-07,20
2024-07-08,21
2024-07-09,25
2024-07-10,17
2024-07-11,16
2024-07-12,34
2024-07-13,20
2024-07-14,19
2024-07-15,19
2024-07-16,24
2024-07-17,17
2024-07-18,26
2024-07-19,15
2024-07-20,35
2024-07-21,24
2024-07-22,21
2024-07-23,24
2024-07-24,26
2024-07-25,27
2024-07-26,20
2024-07-27,22
2024-07-28,19
2024-07-29,13
2024-07-30,12
2024-07-31,21
2024-08-01,21
2024-08-02,21
2024-08-03,25
2024-08-04,18
2024-08-05,15
2024-08-06,22
2024-08-07,23
2024-08-08,24
2024-08-09,17
2024-08-10,27
2024-08-11,27
2024-08-12,17
2024-08-13,27
2024-08-14,20
2024-08-15,27
2024-08-16,19
2024-08-17,28
2024-08-18,18
2024-08-19,26
2024-08-20,24
2024-08-21,20
2024-08-22,20
2024-08-23,14
2024-08-24,24
2024-08-25,19
2024-08-26,16
2024-08-27,28
2024-08-28,24
2024-08-29,24
2024-08-30,19
2024-08-31,18
2024-09-01,26
2024-09-02,16
2024-09-03,23
2024-09-04,17
2024-09-05,20
2024-09-06,26
2024-09-07,24
2024-09-08,26
2024-09-09,25
2024-09-10,22
2024-09-11,22
2024-09-12,21
2024-09-13,28
2024-09-14,22
2024-09-15,21
2024-09-16,20
