Time,expedia
2023-12-22,64
2023-12-23,59
2023-12-24,56
2023-12-25,58
2023-12-26,79
2023-12-27,86
2023-12-28,81
2023-12-29,82
2023-12-30,73
2023-12-31,68
2024-01-01,69
2024-01-02,84
2024-01-03,89
2024-01-04,86
2024-01-05,79
2024-01-06,90
2024-01-07,91
2024-01-08,79
2024-01-09,85
2024-01-10,83
2024-01-11,87
2024-01-12,81
2024-01-13,82
2024-01-14,78
2024-01-15,83
2024-01-16,86
2024-01-17,84
2024-01-18,85
2024-01-19,79
2024-01-20,87
2024-01-21,79
2024-01-22,73
2024-01-23,81
2024-01-24,86
2024-01-25,74
2024-01-26,87
2024-01-27,75
2024-01-28,81
2024-01-29,87
2024-01-30,83
2024-01-31,86
2024-02-01,81
2024-02-02,80
2024-02-03,79
2024-02-04,89
2024-02-05,82
2024-02-06,90
2024-02-07,86
2024-02-08,91
2024-02-09,82
2024-02-10,75
2024-02-11,80
2024-02-12,70
2024-02-13,90
2024-02-14,76
2024-02-15,85
2024-02-16,83
2024-02-17,100
2024-02-18,89
2024-02-19,92
2024-02-20,88
2024-02-21,88
2024-02-22,86
2024-02-23,82
2024-02-24,87
2024-02-25,88
2024-02-26,86
2024-02-27,88
2024-02-28,84
2024-02-29,87
2024-03-01,80
2024-03-02,83
2024-03-03,94
2024-03-04,79
2024-03-05,92
2024-03-06,85
2024-03-07,80
2024-03-08,74
2024-03-09,83
2024-03-10,84
2024-03-11,81
2024-03-12,88
2024-03-13,86
2024-03-14,82
2024-03-15,80
2024-03-16,76
2024-03-17,81
2024-03-18,77
2024-03-19,85
2024-03-20,85
2024-03-21,73
2024-03-22,77
2024-03-23,87
2024-03-24,85
2024-03-25,80
2024-03-26,74
2024-03-27,78
2024-03-28,81
2024-03-29,77
2024-03-30,74
2024-03-31,71
2024-04-01,77
2024-04-02,80
2024-04-03,83
2024-04-04,83
2024-04-05,78
2024-04-06,78
2024-04-07,77
2024-04-08,69
2024-04-09,77
2024-04-10,82
2024-04-11,76
2024-04-12,71
2024-04-13,67
2024-04-14,77
2024-04-15,77
2024-04-16,80
2024-04-17,79
2024-04-18,77
2024-04-19,73
2024-04-20,72
2024-04-21,83
2024-04-22,80
2024-04-23,77
2024-04-24,79
2024-04-25,76
2024-04-26,73
2024-04-27,70
2024-04-28,74
2024-04-29,76
2024-04-30,75
2024-05-01,82
2024-05-02,80
2024-05-03,74
2024-05-04,73
2024-05-05,93
2024-05-06,78
2024-05-07,78
2024-05-08,84
2024-05-09,74
2024-05-10,76
2024-05-11,68
2024-05-12,74
2024-05-13,81
2024-05-14,82
2024-05-15,81
2024-05-16,88
2024-05-17,84
2024-05-18,79
2024-05-19,80
2024-05-20,90
2024-05-21,87
2024-05-22,81
2024-05-23,80
2024-05-24,84
2024-05-25,75
2024-05-26,77
2024-05-27,83
2024-05-28,88
2024-05-29,83
2024-05-30,85
2024-05-31,79
2024-06-01,80
2024-06-02,85
2024-06-03,84
2024-06-04,83
2024-06-05,80
2024-06-06,87
2024-06-07,80
2024-06-08,79
2024-06-09,87
2024-06-10,87
2024-06-11,88
2024-06-12,90
2024-06-13,81
2024-06-14,81
2024-06-15,83
2024-06-16,77
2024-06-17,86
2024-06-18,86
2024-06-19,91
2024-06-20,83
2024-06-21,80
2024-06-22,79
2024-06-23,83
2024-06-24,90
2024-06-25,88
2024-06-26,86
2024-06-27,85
2024-06-28,84
2024-06-29,84
2024-06-30,82
2024-07-01,92
2024-07-02,85
2024-07-03,87
2024-07-04,85
2024-07-05,79
2024-07-06,78
2024-07-07,80
2024-07-08,88
2024-07-09,88
2024-07-10,91
2024-07-11,86
2024-07-12,91
2024-07-13,80
2024-07-14,74
2024-07-15,83
2024-07-16,85
2024-07-17,86
2024-07-18,85
2024-07-19,89
2024-07-20,86
2024-07-21,88
2024-07-22,84
2024-07-23,90
2024-07-24,81
2024-07-25,83
2024-07-26,77
2024-07-27,70
2024-07-28,74
2024-07-29,85
2024-07-30,84
2024-07-31,85
2024-08-01,84
2024-08-02,84
2024-08-03,79
2024-08-04,87
2024-08-05,82
2024-08-06,81
2024-08-07,82
2024-08-08,81
2024-08-09,78
2024-08-10,72
2024-08-11,78
2024-08-12,81
2024-08-13,79
2024-08-14,84
2024-08-15,78
2024-08-16,80
2024-08-17,71
2024-08-18,79
2024-08-19,80
2024-08-20,83
2024-08-21,77
2024-08-22,76
2024-08-23,70
2024-08-24,75
2024-08-25,76
2024-08-26,75
2024-08-27,82
2024-08-28,79
2024-08-29,73
2024-08-30,74
2024-08-31,69
2024-09-01,67
2024-09-02,72
2024-09-03,71
2024-09-04,74
2024-09-05,69
2024-09-06,63
2024-09-07,64
2024-09-08,72
2024-09-09,72
2024-09-10,69
2024-09-11,69
2024-09-12,71
2024-09-13,68
2024-09-14,67
2024-09-15,64
2024-09-16,70
