Time,expedia
2023-04-26,82
2023-04-27,74
2023-04-28,73
2023-04-29,65
2023-04-30,78
2023-05-01,79
2023-05-02,79
2023-05-03,80
2023-05-04,78
2023-05-05,73
2023-05-06,71
2023-05-07,78
2023-05-08,81
2023-05-09,83
2023-05-10,78
2023-05-11,79
2023-05-12,76
2023-05-13,66
2023-05-14,74
2023-05-15,86
2023-05-16,97
2023-05-17,85
2023-05-18,81
2023-05-19,87
2023-05-20,75
2023-05-21,72
2023-05-22,82
2023-05-23,81
2023-05-24,86
2023-05-25,72
2023-05-26,76
2023-05-27,75
2023-05-28,72
2023-05-29,80
2023-05-30,82
2023-05-31,85
2023-06-01,91
2023-06-02,77
2023-06-03,74
2023-06-04,84
2023-06-05,77
2023-06-06,89
2023-06-07,84
2023-06-08,83
2023-06-09,74
2023-06-10,73
2023-06-11,81
2023-06-12,90
2023-06-13,89
2023-06-14,88
2023-06-15,84
2023-06-16,82
2023-06-17,73
2023-06-18,68
2023-06-19,87
2023-06-20,86
2023-06-21,87
2023-06-22,91
2023-06-23,81
2023-06-24,72
2023-06-25,82
2023-06-26,92
2023-06-27,100
2023-06-28,92
2023-06-29,88
2023-06-30,79
2023-07-01,77
2023-07-02,79
2023-07-03,77
2023-07-04,79
2023-07-05,81
2023-07-06,89
2023-07-07,83
2023-07-08,79
2023-07-09,80
2023-07-10,84
2023-07-11,88
2023-07-12,84
2023-07-13,83
2023-07-14,85
2023-07-15,75
2023-07-16,87
2023-07-17,84
2023-07-18,84
2023-07-19,82
2023-07-20,82
2023-07-21,75
2023-07-22,70
2023-07-23,79
2023-07-24,82
2023-07-25,76
2023-07-26,80
2023-07-27,82
2023-07-28,77
2023-07-29,78
2023-07-30,71
2023-07-31,76
2023-08-01,78
2023-08-02,76
2023-08-03,76
2023-08-04,69
2023-08-05,66
2023-08-06,71
2023-08-07,76
2023-08-08,77
2023-08-09,73
2023-08-10,77
2023-08-11,73
2023-08-12,67
2023-08-13,68
2023-08-14,75
2023-08-15,72
2023-08-16,77
2023-08-17,79
2023-08-18,70
2023-08-19,65
2023-08-20,71
2023-08-21,65
2023-08-22,74
2023-08-23,72
2023-08-24,65
2023-08-25,62
2023-08-26,64
2023-08-27,64
2023-08-28,67
2023-08-29,62
2023-08-30,67
2023-08-31,61
2023-09-01,63
2023-09-02,64
2023-09-03,60
2023-09-04,67
2023-09-05,66
2023-09-06,68
2023-09-07,66
2023-09-08,62
2023-09-09,65
2023-09-10,62
2023-09-11,66
2023-09-12,71
2023-09-13,66
2023-09-14,60
2023-09-15,63
2023-09-16,59
2023-09-17,61
2023-09-18,66
2023-09-19,69
2023-09-20,68
2023-09-21,78
2023-09-22,61
2023-09-23,61
2023-09-24,62
2023-09-25,67
2023-09-26,65
2023-09-27,70
2023-09-28,65
2023-09-29,60
2023-09-30,61
2023-10-01,58
2023-10-02,62
2023-10-03,65
2023-10-04,65
2023-10-05,67
2023-10-06,62
2023-10-07,61
2023-10-08,57
2023-10-09,62
2023-10-10,66
2023-10-11,63
2023-10-12,61
2023-10-13,58
2023-10-14,55
2023-10-15,62
2023-10-16,59
2023-10-17,63
2023-10-18,56
2023-10-19,61
2023-10-20,61
2023-10-21,54
2023-10-22,56
2023-10-23,58
2023-10-24,61
2023-10-25,60
2023-10-26,58
2023-10-27,56
2023-10-28,54
2023-10-29,50
2023-10-30,53
2023-10-31,57
2023-11-01,57
2023-11-02,60
2023-11-03,59
2023-11-04,58
2023-11-05,60
2023-11-06,57
2023-11-07,63
2023-11-08,63
2023-11-09,56
2023-11-10,62
2023-11-11,56
2023-11-12,58
2023-11-13,64
2023-11-14,63
2023-11-15,58
2023-11-16,59
2023-11-17,57
2023-11-18,57
2023-11-19,57
2023-11-20,58
2023-11-21,56
2023-11-22,55
2023-11-23,48
2023-11-24,61
2023-11-25,61
2023-11-26,60
2023-11-27,63
2023-11-28,80
2023-11-29,64
2023-11-30,56
2023-12-01,55
2023-12-02,56
2023-12-03,56
2023-12-04,60
2023-12-05,64
2023-12-06,60
2023-12-07,58
2023-12-08,52
2023-12-09,57
2023-12-10,56
2023-12-11,55
2023-12-12,62
2023-12-13,55
2023-12-14,56
2023-12-15,52
2023-12-16,53
2023-12-17,56
2023-12-18,54
2023-12-19,55
2023-12-20,58
2023-12-21,61
2023-12-22,54
2023-12-23,50
2023-12-24,47
2023-12-25,49
2023-12-26,66
2023-12-27,72
2023-12-28,68
2023-12-29,69
2023-12-30,62
2023-12-31,58
2024-01-01,58
2024-01-02,70
2024-01-03,75
2024-01-04,72
2024-01-05,66
2024-01-06,76
2024-01-07,77
2024-01-08,66
2024-01-09,71
2024-01-10,70
2024-01-11,73
2024-01-12,68
2024-01-13,69
2024-01-14,65
2024-01-15,70
2024-01-16,72
2024-01-17,71
2024-01-18,72
2024-01-19,66
2024-01-20,73
