Time,monthly_gt
2021-12-26,44
2022-01-02,45
2022-01-09,46
2022-01-16,43
2022-01-23,45
2022-01-30,48
2022-02-06,48
2022-02-13,47
2022-02-20,48
2022-02-27,44
2022-03-06,42
2022-03-13,46
2022-03-20,43
2022-03-27,50
2022-04-03,48
2022-04-10,45
2022-04-17,47
2022-04-24,48
2022-05-01,45
2022-05-08,44
2022-05-15,44
2022-05-22,45
2022-05-29,43
2022-06-05,47
2022-06-12,46
2022-06-19,43
2022-06-26,46
2022-07-03,43
2022-07-10,44
2022-07-17,47
2022-07-24,48
2022-07-31,48
2022-08-07,48
2022-08-14,46
2022-08-21,52
2022-08-28,64
2022-09-04,54
2022-09-11,52
2022-09-18,49
2022-09-25,48
2022-10-02,47
2022-10-09,48
2022-10-16,50
2022-10-23,48
2022-10-30,46
2022-11-06,45
2022-11-13,46
2022-11-20,43
2022-11-27,45
2022-12-04,54
2022-12-11,49
2022-12-18,53
2022-12-25,45
2023-01-01,47
2023-01-08,50
2023-01-15,46
2023-01-22,47
2023-01-29,51
2023-02-05,50
2023-02-12,50
2023-02-19,47
2023-02-26,49
2023-03-05,49
2023-03-12,49
2023-03-19,47
2023-03-26,50
2023-04-02,48
2023-04-09,47
2023-04-16,49
2023-04-23,48
2023-04-30,48
2023-05-07,46
2023-05-14,47
2023-05-21,48
2023-05-28,45
2023-06-04,47
2023-06-11,50
2023-06-18,47
2023-06-25,52
2023-07-02,50
2023-07-09,50
2023-07-16,50
2023-07-23,53
2023-07-30,51
2023-08-06,59
2023-08-13,52
2023-08-20,51
2023-08-27,49
2023-09-03,47
2023-09-10,50
2023-09-17,50
2023-09-24,50
2023-10-01,49
2023-10-08,49
2023-10-15,52
2023-10-22,51
2023-10-29,51
2023-11-05,50
2023-11-12,52
2023-11-19,46
2023-11-26,49
2023-12-03,51
2023-12-10,51
2023-12-17,46
2023-12-24,46
2023-12-31,53
2024-01-07,50
2024-01-14,50
2024-01-21,51
2024-01-28,52
2024-02-04,55
2024-02-11,54
2024-02-18,52
2024-02-25,52
2024-03-03,52
2024-03-10,52
2024-03-17,54
2024-03-24,49
2024-03-31,50
2024-04-07,52
2024-04-14,50
2024-04-21,54
2024-04-28,63
2024-05-05,50
2024-05-12,50
2024-05-19,49
2024-05-26,50
2024-06-02,54
2024-06-09,54
2024-06-16,51
2024-06-23,51
2024-06-30,48
2024-07-07,54
2024-07-14,51
2024-07-21,57
2024-07-28,57
2024-08-04,54
2024-08-11,55
2024-08-18,51
2024-08-25,51
2024-09-01,51
2024-09-08,52
2024-09-15,54
2024-09-22,52
2024-09-29,52
2024-10-06,48
2024-10-13,53
2024-10-20,54
2024-10-27,53
2024-11-03,49
2024-11-10,55
2024-11-17,55
2024-11-24,53
2024-12-01,53
2024-12-08,53
2024-12-15,52
2024-12-22,46
2024-12-29,57
2025-01-05,57
2025-01-12,55
2025-01-19,53
2025-01-26,56
2025-02-02,58
2025-02-09,55
2025-02-16,58
2025-02-23,56
2025-03-02,60
2025-03-09,55
2025-03-16,57
2025-03-23,55
2025-03-30,55
2025-04-06,56
2025-04-13,53
2025-04-20,54
2025-04-27,54
2025-05-04,55
2025-05-11,53
2025-05-18,54
2025-05-25,57
2025-06-01,58
2025-06-08,61
2025-06-15,60
2025-06-22,63
2025-06-29,58
2025-07-06,67
2025-07-13,67
2025-07-20,73
2025-07-27,84
2025-08-03,65
2025-08-10,63
2025-08-17,59
2025-08-24,59
2025-08-31,61
2025-09-07,62
2025-09-14,76
2025-09-21,69
2025-09-28,62
2025-10-05,61
2025-10-12,62
2025-10-19,64
2025-10-26,65
2025-11-02,73
2025-11-09,75
2025-11-16,74
2025-11-23,75
2025-11-30,75
2025-12-07,76
2025-12-14,76
2025-12-21,69
2025-12-28,75
2026-01-04,87
2026-01-11,87
2026-01-18,85
2026-01-25,85
2026-02-01,93
2026-02-08,91
2026-02-15,92
2026-02-22,91
2026-03-01,92
2026-03-08,88
2026-03-15,100
2026-03-22,91
2026-03-29,87
2026-04-05,90
2026-04-12,98
2026-04-19,92
2026-04-26,90
2026-05-03,89
2026-05-10,93
2026-05-17,85
2026-05-24,92
2026-05-31,89
