Time,clima_reynosa
2022-01-01,12.0
2022-01-02,31.0
2022-01-03,44.0
2022-01-04,27.0
2022-01-05,18.0
2022-01-06,13.0
2022-01-07,39.0
2022-01-08,34.0
2022-01-09,30.0
2022-01-10,35.0
2022-01-11,22.0
2022-01-12,30.0
2022-01-13,28.0
2022-01-14,19.0
2022-01-15,36.0
2022-01-16,39.0
2022-01-17,31.0
2022-01-18,25.0
2022-01-19,25.0
2022-01-20,65.0
2022-01-21,100.0
2022-01-22,66.0
2022-01-23,50.0
2022-01-24,43.0
2022-01-25,37.0
2022-01-26,37.0
2022-01-27,41.0
2022-01-28,58.0
2022-01-29,45.0
2022-01-30,31.0
2022-01-31,25.0
2022-02-01,26.0
2022-02-02,30.0
2022-02-03,65.0
2022-02-04,94.0
2022-02-05,73.0
2022-02-06,50.0
2022-02-07,45.0
2022-02-08,31.0
2022-02-09,27.0
2022-02-10,34.0
2022-02-11,35.0
2022-02-12,48.0
2022-02-13,36.0
2022-02-14,23.0
2022-02-15,20.0
2022-02-16,20.0
2022-02-17,18.0
2022-02-18,28.0
2022-02-19,23.0
2022-02-20,20.0
2022-02-21,24.0
2022-02-22,12.0
2022-02-23,34.0
2022-02-24,48.0
2022-02-25,41.0
2022-02-26,47.0
2022-02-27,43.0
2022-02-28,31.0
2022-03-01,22.0
2022-03-02,21.0
2022-03-03,21.0
2022-03-04,16.0
2022-03-05,14.0
2022-03-06,15.0
2022-03-07,38.0
2022-03-08,37.0
2022-03-09,30.0
2022-03-10,36.0
2022-03-11,39.0
2022-03-12,37.0
2022-03-13,26.0
2022-03-14,19.0
2022-03-15,14.0
2022-03-16,12.0
2022-03-17,17.0
2022-03-18,14.0
2022-03-19,14.0
2022-03-20,9.0
2022-03-21,15.0
2022-03-22,12.0
2022-03-23,10.0
2022-03-24,12.0
2022-03-25,8.0
2022-03-26,6.0
2022-03-27,6.0
2022-03-28,6.0
2022-03-29,9.0
2022-03-30,8.0
2022-03-31,6.0
2022-04-01,8.0
2022-04-02,7.0
2022-04-03,6.0
2022-04-04,8.0
2022-04-05,7.0
2022-04-06,12.0
2022-04-07,11.0
2022-04-08,7.0
2022-04-09,6.0
2022-04-10,7.0
2022-04-11,15.0
2022-04-12,19.0
2022-04-13,14.0
2022-04-14,8.0
2022-04-15,9.0
2022-04-16,4.0
2022-04-17,3.0
2022-04-18,6.0
2022-04-19,9.0
2022-04-20,14.0
2022-04-21,7.0
2022-04-22,5.0
2022-04-23,5.0
2022-04-24,6.0
2022-04-25,15.0
2022-04-26,34.0
2022-04-27,14.0
2022-04-28,10.0
2022-04-29,5.0
2022-04-30,6.0
2022-05-01,4.0
2022-05-02,7.0
2022-05-03,7.0
2022-05-04,3.0
2022-05-05,5.0
2022-05-06,5.0
2022-05-07,6.0
2022-05-08,4.0
2022-05-09,5.0
2022-05-10,4.0
2022-05-11,3.0
2022-05-12,2.0
2022-05-13,2.0
2022-05-14,4.0
2022-05-15,3.0
2022-05-16,3.0
2022-05-17,2.0
2022-05-18,4.0
2022-05-19,4.0
2022-05-20,8.0
2022-05-21,22.0
2022-05-22,19.0
2022-05-23,11.0
2022-05-24,35.0
2022-05-25,19.0
2022-05-26,8.0
2022-05-27,5.0
2022-05-28,6.0
2022-05-29,4.0
2022-05-30,8.0
2022-05-31,6.0
2022-06-01,6.0
2022-06-02,6.0
2022-06-03,5.0
2022-06-04,3.0
2022-06-05,3.0
2022-06-06,4.0
2022-06-07,4.0
2022-06-08,6.0
2022-06-09,6.0
2022-06-10,3.0
2022-06-11,4.0
2022-06-12,5.0
2022-06-13,8.0
2022-06-14,8.0
2022-06-15,9.0
2022-06-16,6.0
2022-06-17,6.0
2022-06-18,6.0
2022-06-19,5.0
2022-06-20,7.0
2022-06-21,20.0
2022-06-22,10.0
2022-06-23,5.0
2022-06-24,4.0
2022-06-25,5.0
2022-06-26,6.0
2022-06-27,10.0
2022-06-28,12.0
2022-06-29,16.0
2022-06-30,7.0
2022-07-01,8.0
2022-07-02,6.0
2022-07-03,6.0
2022-07-04,5.0
2022-07-05,4.0
2022-07-06,3.0
