Time,southwest
2023-04-26,55
2023-04-27,55
2023-04-28,52
2023-04-29,47
2023-04-30,53
2023-05-01,57
2023-05-02,57
2023-05-03,52
2023-05-04,55
2023-05-05,50
2023-05-06,45
2023-05-07,47
2023-05-08,58
2023-05-09,54
2023-05-10,56
2023-05-11,54
2023-05-12,54
2023-05-13,48
2023-05-14,48
2023-05-15,63
2023-05-16,58
2023-05-17,56
2023-05-18,57
2023-05-19,57
2023-05-20,49
2023-05-21,49
2023-05-22,55
2023-05-23,57
2023-05-24,55
2023-05-25,56
2023-05-26,52
2023-05-27,46
2023-05-28,43
2023-05-29,47
2023-05-30,58
2023-05-31,58
2023-06-01,55
2023-06-02,56
2023-06-03,47
2023-06-04,47
2023-06-05,56
2023-06-06,60
2023-06-07,61
2023-06-08,63
2023-06-09,55
2023-06-10,50
2023-06-11,50
2023-06-12,61
2023-06-13,80
2023-06-14,99
2023-06-15,100
2023-06-16,77
2023-06-17,51
2023-06-18,53
2023-06-19,59
2023-06-20,59
2023-06-21,56
2023-06-22,57
2023-06-23,54
2023-06-24,49
2023-06-25,53
2023-06-26,65
2023-06-27,66
2023-06-28,65
2023-06-29,63
2023-06-30,63
2023-07-01,51
2023-07-02,50
2023-07-03,52
2023-07-04,51
2023-07-05,57
2023-07-06,60
2023-07-07,57
2023-07-08,50
2023-07-09,54
2023-07-10,57
2023-07-11,59
2023-07-12,59
2023-07-13,57
2023-07-14,57
2023-07-15,50
2023-07-16,55
2023-07-17,59
2023-07-18,59
2023-07-19,57
2023-07-20,57
2023-07-21,54
2023-07-22,48
2023-07-23,51
2023-07-24,57
2023-07-25,58
2023-07-26,59
2023-07-27,57
2023-07-28,52
2023-07-29,49
2023-07-30,48
2023-07-31,54
2023-08-01,56
2023-08-02,54
2023-08-03,58
2023-08-04,53
2023-08-05,48
2023-08-06,50
2023-08-07,61
2023-08-08,57
2023-08-09,54
2023-08-10,56
2023-08-11,54
2023-08-12,47
2023-08-13,50
2023-08-14,55
2023-08-15,55
2023-08-16,55
2023-08-17,56
2023-08-18,54
2023-08-19,50
2023-08-20,51
2023-08-21,57
2023-08-22,59
2023-08-23,55
2023-08-24,51
2023-08-25,48
2023-08-26,42
2023-08-27,45
2023-08-28,53
2023-08-29,53
2023-08-30,54
2023-08-31,51
2023-09-01,50
2023-09-02,43
2023-09-03,39
2023-09-04,46
2023-09-05,54
2023-09-06,52
2023-09-07,52
2023-09-08,49
2023-09-09,44
2023-09-10,45
2023-09-11,52
2023-09-12,48
2023-09-13,49
2023-09-14,50
2023-09-15,49
2023-09-16,43
2023-09-17,43
2023-09-18,50
2023-09-19,50
2023-09-20,47
2023-09-21,52
2023-09-22,50
2023-09-23,42
2023-09-24,41
2023-09-25,51
2023-09-26,74
2023-09-27,72
2023-09-28,74
2023-09-29,66
2023-09-30,50
2023-10-01,43
2023-10-02,50
2023-10-03,49
2023-10-04,48
2023-10-05,50
2023-10-06,47
2023-10-07,43
2023-10-08,40
2023-10-09,50
2023-10-10,50
2023-10-11,48
2023-10-12,50
2023-10-13,48
2023-10-14,41
2023-10-15,42
2023-10-16,50
2023-10-17,51
2023-10-18,52
2023-10-19,55
2023-10-20,51
2023-10-21,42
2023-10-22,43
2023-10-23,47
2023-10-24,49
2023-10-25,49
2023-10-26,49
2023-10-27,47
2023-10-28,38
2023-10-29,37
2023-10-30,47
2023-10-31,47
2023-11-01,49
2023-11-02,50
2023-11-03,47
2023-11-04,42
2023-11-05,42
2023-11-06,48
2023-11-07,49
2023-11-08,47
2023-11-09,48
2023-11-10,47
2023-11-11,40
2023-11-12,41
2023-11-13,48
2023-11-14,50
2023-11-15,48
2023-11-16,48
2023-11-17,46
2023-11-18,44
2023-11-19,39
2023-11-20,49
2023-11-21,50
2023-11-22,49
2023-11-23,37
2023-11-24,42
2023-11-25,45
2023-11-26,48
2023-11-27,59
2023-11-28,64
2023-11-29,54
2023-11-30,47
2023-12-01,44
2023-12-02,38
2023-12-03,39
2023-12-04,46
2023-12-05,47
2023-12-06,44
2023-12-07,45
2023-12-08,45
2023-12-09,40
2023-12-10,40
2023-12-11,45
2023-12-12,47
2023-12-13,46
2023-12-14,49
2023-12-15,51
2023-12-16,47
2023-12-17,44
2023-12-18,51
2023-12-19,52
2023-12-20,50
2023-12-21,49
2023-12-22,47
2023-12-23,47
2023-12-24,42
2023-12-25,48
2023-12-26,67
2023-12-27,63
2023-12-28,56
2023-12-29,52
2023-12-30,45
2023-12-31,40
2024-01-01,43
2024-01-02,55
2024-01-03,60
2024-01-04,59
2024-01-05,53
2024-01-06,53
2024-01-07,53
2024-01-08,60
2024-01-09,67
2024-01-10,65
2024-01-11,64
2024-01-12,65
2024-01-13,46
2024-01-14,50
2024-01-15,56
2024-01-16,63
2024-01-17,62
2024-01-18,53
2024-01-19,54
2024-01-20,46
