Time,prodigy
2025-04-15,40
2025-04-16,46
2025-04-17,49
2025-04-18,29
2025-04-19,15
2025-04-20,11
2025-04-21,31
2025-04-22,39
2025-04-23,40
2025-04-24,44
2025-04-25,57
2025-04-26,13
2025-04-27,10
2025-04-28,39
2025-04-29,45
2025-04-30,52
2025-05-01,62
2025-05-02,71
2025-05-03,14
2025-05-04,12
2025-05-05,46
2025-05-06,56
2025-05-07,57
2025-05-08,64
2025-05-09,77
2025-05-10,14
2025-05-11,12
2025-05-12,54
2025-05-13,63
2025-05-14,63
2025-05-15,70
2025-05-16,73
2025-05-17,15
2025-05-18,13
2025-05-19,50
2025-05-20,55
2025-05-21,52
2025-05-22,53
2025-05-23,46
2025-05-24,13
2025-05-25,12
2025-05-26,12
2025-05-27,38
2025-05-28,40
2025-05-29,40
2025-05-30,38
2025-05-31,14
2025-06-01,12
2025-06-02,32
2025-06-03,31
2025-06-04,31
2025-06-05,29
2025-06-06,25
2025-06-07,12
2025-06-08,10
2025-06-09,22
2025-06-10,22
2025-06-11,20
2025-06-12,21
2025-06-13,17
2025-06-14,9
2025-06-15,9
2025-06-16,15
2025-06-17,15
2025-06-18,14
2025-06-19,11
2025-06-20,12
2025-06-21,10
2025-06-22,8
2025-06-23,11
2025-06-24,11
2025-06-25,10
2025-06-26,10
2025-06-27,10
2025-06-28,8
2025-06-29,8
2025-06-30,8
2025-07-01,8
2025-07-02,8
2025-07-03,8
2025-07-04,8
2025-07-05,8
2025-07-06,7
2025-07-07,8
2025-07-08,9
2025-07-09,9
2025-07-10,9
2025-07-11,8
2025-07-12,8
2025-07-13,7
2025-07-14,9
2025-07-15,8
2025-07-16,9
2025-07-17,10
2025-07-18,7
2025-07-19,8
2025-07-20,8
2025-07-21,9
2025-07-22,8
2025-07-23,8
2025-07-24,8
2025-07-25,9
2025-07-26,7
2025-07-27,8
2025-07-28,9
2025-07-29,9
2025-07-30,9
2025-07-31,11
2025-08-01,11
2025-08-02,8
2025-08-03,8
2025-08-04,10
2025-08-05,13
2025-08-06,13
2025-08-07,16
2025-08-08,18
2025-08-09,8
2025-08-10,8
2025-08-11,17
2025-08-12,23
2025-08-13,27
2025-08-14,32
2025-08-15,44
2025-08-16,14
2025-08-17,11
2025-08-18,33
2025-08-19,39
2025-08-20,40
2025-08-21,50
2025-08-22,69
2025-08-23,15
2025-08-24,13
2025-08-25,46
2025-08-26,45
2025-08-27,54
2025-08-28,60
2025-08-29,75
2025-08-30,16
2025-08-31,14
2025-09-01,12
2025-09-02,41
2025-09-03,48
2025-09-04,60
2025-09-05,86
2025-09-06,17
2025-09-07,13
2025-09-08,47
2025-09-09,62
2025-09-10,59
2025-09-11,65
2025-09-12,88
2025-09-13,16
2025-09-14,13
2025-09-15,45
2025-09-16,52
2025-09-17,60
2025-09-18,72
2025-09-19,100
2025-09-20,17
2025-09-21,13
2025-09-22,44
2025-09-23,49
2025-09-24,56
2025-09-25,64
2025-09-26,82
2025-09-27,16
2025-09-28,13
2025-09-29,43
2025-09-30,49
2025-10-01,51
2025-10-02,52
2025-10-03,77
2025-10-04,14
2025-10-05,11
2025-10-06,38
2025-10-07,43
2025-10-08,47
2025-10-09,53
2025-10-10,53
2025-10-11,14
2025-10-12,12
2025-10-13,27
2025-10-14,39
2025-10-15,45
2025-10-16,45
2025-10-17,53
2025-10-18,13
2025-10-19,10
2025-10-20,33
2025-10-21,36
2025-10-22,41
2025-10-23,43
2025-10-24,56
2025-10-25,12
2025-10-26,10
2025-10-27,37
2025-10-28,39
2025-10-29,41
2025-10-30,45
2025-10-31,41
2025-11-01,11
2025-11-02,11
2025-11-03,34
2025-11-04,34
2025-11-05,37
2025-11-06,38
2025-11-07,54
2025-11-08,13
2025-11-09,11
2025-11-10,32
2025-11-11,28
2025-11-12,37
2025-11-13,49
2025-11-14,57
2025-11-15,14
2025-11-16,12
2025-11-17,33
2025-11-18,38
2025-11-19,39
2025-11-20,49
2025-11-21,58
2025-11-22,14
2025-11-23,11
2025-11-24,26
2025-11-25,29
2025-11-26,16
2025-11-27,10
2025-11-28,9
2025-11-29,10
2025-11-30,9
2025-12-01,37
2025-12-02,34
2025-12-03,37
2025-12-04,41
2025-12-05,52
2025-12-06,14
2025-12-07,10
2025-12-08,35
2025-12-09,35
2025-12-10,40
2025-12-11,43
2025-12-12,55
2025-12-13,14
2025-12-14,11
2025-12-15,39
2025-12-16,43
2025-12-17,45
2025-12-18,55
2025-12-19,41
2025-12-20,13
2025-12-21,9
2025-12-22,14
2025-12-23,13
2025-12-24,9
2025-12-25,8
2025-12-26,9
2025-12-27,8
2025-12-28,8
2025-12-29,8
2025-12-30,8
2025-12-31,8
2026-01-01,7
2026-01-02,8
2026-01-03,8
2026-01-04,8
2026-01-05,18
2026-01-06,27
2026-01-07,31
2026-01-08,35
2026-01-09,47
