Time,dominos
2022-08-29,43
2022-08-30,41
2022-08-31,42
2022-09-01,46
2022-09-02,60
2022-09-03,79
2022-09-04,76
2022-09-05,67
2022-09-06,40
2022-09-07,39
2022-09-08,40
2022-09-09,54
2022-09-10,76
2022-09-11,74
2022-09-12,41
2022-09-13,35
2022-09-14,40
2022-09-15,42
2022-09-16,55
2022-09-17,79
2022-09-18,72
2022-09-19,40
2022-09-20,38
2022-09-21,38
2022-09-22,43
2022-09-23,55
2022-09-24,78
2022-09-25,76
2022-09-26,42
2022-09-27,40
2022-09-28,41
2022-09-29,46
2022-09-30,64
2022-10-01,79
2022-10-02,73
2022-10-03,40
2022-10-04,38
2022-10-05,43
2022-10-06,43
2022-10-07,58
2022-10-08,75
2022-10-09,72
2022-10-10,47
2022-10-11,38
2022-10-12,40
2022-10-13,42
2022-10-14,58
2022-10-15,73
2022-10-16,69
2022-10-17,40
2022-10-18,37
2022-10-19,40
2022-10-20,43
2022-10-21,56
2022-10-22,80
2022-10-23,73
2022-10-24,40
2022-10-25,36
2022-10-26,41
2022-10-27,45
2022-10-28,60
2022-10-29,81
2022-10-30,77
2022-10-31,60
2022-11-01,46
2022-11-02,38
2022-11-03,38
2022-11-04,57
2022-11-05,72
2022-11-06,63
2022-11-07,38
2022-11-08,40
2022-11-09,35
2022-11-10,42
2022-11-11,60
2022-11-12,75
2022-11-13,73
2022-11-14,43
2022-11-15,47
2022-11-16,46
2022-11-17,50
2022-11-18,65
2022-11-19,93
2022-11-20,87
2022-11-21,49
2022-11-22,46
2022-11-23,58
2022-11-24,62
2022-11-25,50
2022-11-26,64
2022-11-27,67
2022-11-28,37
2022-11-29,37
2022-11-30,40
2022-12-01,44
2022-12-02,55
2022-12-03,79
2022-12-04,73
2022-12-05,41
2022-12-06,37
2022-12-07,39
2022-12-08,44
2022-12-09,54
2022-12-10,76
2022-12-11,75
2022-12-12,40
2022-12-13,38
2022-12-14,42
2022-12-15,45
2022-12-16,58
2022-12-17,73
2022-12-18,73
2022-12-19,47
2022-12-20,48
2022-12-21,51
2022-12-22,59
2022-12-23,72
2022-12-24,92
2022-12-25,100
2022-12-26,80
2022-12-27,60
2022-12-28,54
2022-12-29,57
2022-12-30,63
2022-12-31,84
2023-01-01,89
2023-01-02,63
2023-01-03,40
2023-01-04,40
2023-01-05,40
2023-01-06,53
2023-01-07,73
2023-01-08,67
2023-01-09,37
2023-01-10,35
2023-01-11,36
2023-01-12,40
2023-01-13,51
2023-01-14,75
2023-01-15,68
2023-01-16,47
2023-01-17,34
2023-01-18,35
2023-01-19,38
2023-01-20,48
2023-01-21,71
2023-01-22,67
2023-01-23,37
2023-01-24,35
2023-01-25,36
2023-01-26,40
2023-01-27,49
2023-01-28,75
2023-01-29,71
2023-01-30,39
2023-01-31,39
2023-02-01,42
2023-02-02,43
2023-02-03,53
2023-02-04,75
2023-02-05,68
2023-02-06,37
2023-02-07,38
2023-02-08,38
2023-02-09,46
2023-02-10,55
2023-02-11,76
2023-02-12,93
2023-02-13,40
2023-02-14,45
2023-02-15,44
2023-02-16,42
2023-02-17,56
2023-02-18,73
2023-02-19,66
2023-02-20,46
2023-02-21,37
2023-02-22,39
2023-02-23,44
2023-02-24,59
2023-02-25,77
2023-02-26,72
2023-02-27,42
2023-02-28,37
2023-03-01,41
2023-03-02,43
2023-03-03,54
2023-03-04,77
2023-03-05,72
2023-03-06,39
2023-03-07,37
2023-03-08,39
2023-03-09,41
2023-03-10,53
2023-03-11,70
2023-03-12,72
2023-03-13,43
2023-03-14,48
2023-03-15,44
2023-03-16,46
2023-03-17,56
2023-03-18,71
2023-03-19,68
2023-03-20,43
2023-03-21,43
2023-03-22,46
2023-03-23,51
2023-03-24,67
2023-03-25,85
2023-03-26,79
2023-03-27,42
2023-03-28,38
2023-03-29,39
2023-03-30,43
2023-03-31,57
2023-04-01,74
2023-04-02,69
2023-04-03,41
2023-04-04,40
2023-04-05,41
2023-04-06,48
2023-04-07,62
2023-04-08,71
2023-04-09,67
2023-04-10,41
2023-04-11,36
2023-04-12,39
2023-04-13,42
2023-04-14,53
2023-04-15,69
2023-04-16,69
2023-04-17,38
2023-04-18,35
2023-04-19,37
2023-04-20,45
2023-04-21,64
2023-04-22,82
2023-04-23,78
2023-04-24,41
2023-04-25,38
2023-04-26,41
2023-04-27,43
2023-04-28,56
2023-04-29,78
2023-04-30,69
2023-05-01,42
2023-05-02,38
2023-05-03,38
2023-05-04,42
2023-05-05,52
2023-05-06,70
2023-05-07,69
2023-05-08,39
2023-05-09,36
2023-05-10,39
2023-05-11,39
2023-05-12,53
2023-05-13,69
2023-05-14,65
2023-05-15,40
2023-05-16,39
2023-05-17,40
2023-05-18,46
2023-05-19,58
2023-05-20,72
2023-05-21,72
2023-05-22,42
2023-05-23,39
2023-05-24,44
2023-05-25,48
