Time,ncaa_scores
2022-01-01,46.0
2022-01-02,20.0
2022-01-03,2.0
2022-01-04,3.0
2022-01-05,5.0
2022-01-06,2.0
2022-01-07,3.0
2022-01-08,5.0
2022-01-09,4.0
2022-01-10,2.0
2022-01-11,16.0
2022-01-12,3.0
2022-01-13,3.0
2022-01-14,2.0
2022-01-15,4.0
2022-01-16,3.0
2022-01-17,2.0
2022-01-18,2.0
2022-01-19,3.0
2022-01-20,2.0
2022-01-21,2.0
2022-01-22,5.0
2022-01-23,3.0
2022-01-24,2.0
2022-01-25,2.0
2022-01-26,3.0
2022-01-27,2.0
2022-01-28,3.0
2022-01-29,5.0
2022-01-30,5.0
2022-01-31,1.0
2022-02-01,2.0
2022-02-02,3.0
2022-02-03,3.0
2022-02-04,2.0
2022-02-05,5.0
2022-02-06,6.0
2022-02-07,2.0
2022-02-08,2.0
2022-02-09,4.0
2022-02-10,2.0
2022-02-11,3.0
2022-02-12,5.0
2022-02-13,4.0
2022-02-14,1.0
2022-02-15,2.0
2022-02-16,3.0
2022-02-17,3.0
2022-02-18,3.0
2022-02-19,6.0
2022-02-20,7.0
2022-02-21,2.0
2022-02-22,3.0
2022-02-23,3.0
2022-02-24,3.0
2022-02-25,3.0
2022-02-26,7.0
2022-02-27,8.0
2022-02-28,2.0
2022-03-01,3.0
2022-03-02,4.0
2022-03-03,3.0
2022-03-04,3.0
2022-03-05,7.0
2022-03-06,8.0
2022-03-07,3.0
2022-03-08,3.0
2022-03-09,4.0
2022-03-10,8.0
2022-03-11,10.0
2022-03-12,14.0
2022-03-13,13.0
2022-03-14,3.0
2022-03-15,4.0
2022-03-16,10.0
2022-03-17,49.0
2022-03-18,87.0
2022-03-19,97.0
2022-03-20,100.0
2022-03-21,49.0
2022-03-22,9.0
2022-03-23,5.0
2022-03-24,11.0
2022-03-25,57.0
2022-03-26,100.0
2022-03-27,96.0
2022-03-28,16.0
2022-03-29,6.0
2022-03-30,3.0
2022-03-31,2.0
2022-04-01,4.0
2022-04-02,16.0
2022-04-03,35.0
2022-04-04,7.0
2022-04-05,17.0
2022-04-06,1.0
2022-04-07,1.0
2022-04-08,2.0
2022-04-09,1.0
2022-04-10,2.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,1.0
2022-04-15,1.0
2022-04-16,1.0
2022-04-17,1.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,1.0
2022-04-24,1.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,1.0
2022-05-01,1.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,1.0
2022-05-07,1.0
2022-05-08,1.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,2.0
2022-05-15,2.0
2022-05-16,1.0
