step,file,overlap_days,valid_ratio_days,overlap_corr,median_ratio_new_over_base,scale_new_to_base,ratio_cv,method
0,gt_pbs_kids_2022-01-01_2022-09-27.csv,,,,,1.0,,base_chunk
1,gt_pbs_kids_2022-08-29_2023-05-25.csv,30.0,30.0,0.9998387916946135,1.0373864430468203,0.963960929605928,0.009090551066713722,overlap_ratio
2,gt_pbs_kids_2023-04-26_2024-01-20.csv,30.0,30.0,0.99985449294954,1.0562052447347445,0.9467856791897867,0.011481277419305203,overlap_ratio
3,gt_pbs_kids_2023-12-22_2024-09-16.csv,30.0,30.0,0.9998247609281556,0.9274714755157485,1.0782002750477258,0.013834939252396998,overlap_ratio
4,gt_pbs_kids_2024-08-18_2025-05-14.csv,30.0,30.0,0.9996142302578691,0.8627291484911102,1.1591123375731223,0.017604870444106396,overlap_ratio
5,gt_pbs_kids_2025-04-15_2026-01-09.csv,30.0,30.0,1.0,0.8627291484911102,1.1591123375731223,1.4535755904959003e-16,overlap_ratio
6,gt_pbs_kids_2025-12-11_2026-05-31.csv,30.0,30.0,0.9998932529941148,0.945783819760354,1.0573240724855957,0.017615878341096843,overlap_ratio
