Time,descendants 4
2022-08-29,4
2022-08-30,4
2022-08-31,4
2022-09-01,4
2022-09-02,5
2022-09-03,5
2022-09-04,7
2022-09-05,8
2022-09-06,2
2022-09-07,0
2022-09-08,3
2022-09-09,3
2022-09-10,5
2022-09-11,100
2022-09-12,42
2022-09-13,44
2022-09-14,21
2022-09-15,17
2022-09-16,12
2022-09-17,19
2022-09-18,24
2022-09-19,12
2022-09-20,10
2022-09-21,9
2022-09-22,10
2022-09-23,7
2022-09-24,12
2022-09-25,11
2022-09-26,17
2022-09-27,8
2022-09-28,6
2022-09-29,6
2022-09-30,6
2022-10-01,13
2022-10-02,17
2022-10-03,10
2022-10-04,11
2022-10-05,9
2022-10-06,7
2022-10-07,7
2022-10-08,11
2022-10-09,22
2022-10-10,14
2022-10-11,11
2022-10-12,9
2022-10-13,12
2022-10-14,10
2022-10-15,12
2022-10-16,15
2022-10-17,8
2022-10-18,7
2022-10-19,6
2022-10-20,5
2022-10-21,8
2022-10-22,9
2022-10-23,7
2022-10-24,7
2022-10-25,5
2022-10-26,7
2022-10-27,5
2022-10-28,4
2022-10-29,8
2022-10-30,7
2022-10-31,7
2022-11-01,6
2022-11-02,5
2022-11-03,8
2022-11-04,7
2022-11-05,6
2022-11-06,9
2022-11-07,7
2022-11-08,7
2022-11-09,9
2022-11-10,9
2022-11-11,12
2022-11-12,13
2022-11-13,12
2022-11-14,6
2022-11-15,5
2022-11-16,6
2022-11-17,0
2022-11-18,6
2022-11-19,7
2022-11-20,8
2022-11-21,11
2022-11-22,23
2022-11-23,18
2022-11-24,10
2022-11-25,12
2022-11-26,13
2022-11-27,15
2022-11-28,8
2022-11-29,6
2022-11-30,5
2022-12-01,7
2022-12-02,9
2022-12-03,7
2022-12-04,8
2022-12-05,3
2022-12-06,5
2022-12-07,5
2022-12-08,5
2022-12-09,3
2022-12-10,5
2022-12-11,9
2022-12-12,4
2022-12-13,4
2022-12-14,6
2022-12-15,3
2022-12-16,0
2022-12-17,0
2022-12-18,10
2022-12-19,5
2022-12-20,8
2022-12-21,10
2022-12-22,4
2022-12-23,6
2022-12-24,3
2022-12-25,6
2022-12-26,9
2022-12-27,7
2022-12-28,6
2022-12-29,6
2022-12-30,3
2022-12-31,9
2023-01-01,8
2023-01-02,7
2023-01-03,7
2023-01-04,4
2023-01-05,5
2023-01-06,5
2023-01-07,7
2023-01-08,13
2023-01-09,9
2023-01-10,6
2023-01-11,8
2023-01-12,6
2023-01-13,7
2023-01-14,9
2023-01-15,9
2023-01-16,13
2023-01-17,5
2023-01-18,6
2023-01-19,7
2023-01-20,5
2023-01-21,6
2023-01-22,11
2023-01-23,8
2023-01-24,5
2023-01-25,6
2023-01-26,5
2023-01-27,6
2023-01-28,7
2023-01-29,10
2023-01-30,6
2023-01-31,6
2023-02-01,5
2023-02-02,5
2023-02-03,7
2023-02-04,10
2023-02-05,9
2023-02-06,6
2023-02-07,6
2023-02-08,7
2023-02-09,9
2023-02-10,7
2023-02-11,13
2023-02-12,12
2023-02-13,6
2023-02-14,7
2023-02-15,6
2023-02-16,10
2023-02-17,15
2023-02-18,23
2023-02-19,21
2023-02-20,25
2023-02-21,16
2023-02-22,15
2023-02-23,16
2023-02-24,15
2023-02-25,17
2023-02-26,13
2023-02-27,7
2023-02-28,5
2023-03-01,6
2023-03-02,5
2023-03-03,5
2023-03-04,6
2023-03-05,8
2023-03-06,4
2023-03-07,4
2023-03-08,5
2023-03-09,5
2023-03-10,7
2023-03-11,7
2023-03-12,9
2023-03-13,7
2023-03-14,8
2023-03-15,7
2023-03-16,7
2023-03-17,15
2023-03-18,16
2023-03-19,12
2023-03-20,8
2023-03-21,6
2023-03-22,23
2023-03-23,41
2023-03-24,23
2023-03-25,26
2023-03-26,21
2023-03-27,13
2023-03-28,12
2023-03-29,12
2023-03-30,9
2023-03-31,10
2023-04-01,12
2023-04-02,11
2023-04-03,10
2023-04-04,9
2023-04-05,7
2023-04-06,9
2023-04-07,14
2023-04-08,14
2023-04-09,17
2023-04-10,11
2023-04-11,10
2023-04-12,6
2023-04-13,8
2023-04-14,10
2023-04-15,12
2023-04-16,7
2023-04-17,7
2023-04-18,6
2023-04-19,7
2023-04-20,8
2023-04-21,5
2023-04-22,13
2023-04-23,11
2023-04-24,7
2023-04-25,7
2023-04-26,4
2023-04-27,6
2023-04-28,7
2023-04-29,11
2023-04-30,11
2023-05-01,7
2023-05-02,6
2023-05-03,4
2023-05-04,5
2023-05-05,4
2023-05-06,8
2023-05-07,7
2023-05-08,6
2023-05-09,5
2023-05-10,6
2023-05-11,0
2023-05-12,4
2023-05-13,8
2023-05-14,8
2023-05-15,6
2023-05-16,5
2023-05-17,8
2023-05-18,7
2023-05-19,8
2023-05-20,18
2023-05-21,15
2023-05-22,10
2023-05-23,10
2023-05-24,10
2023-05-25,5
