cluster,n_terms,share_of_terms
1,42,0.049586776859504134
2,13,0.015348288075560802
3,102,0.1204250295159386
4,227,0.2680047225501771
5,28,0.03305785123966942
6,88,0.1038961038961039
7,28,0.03305785123966942
8,37,0.043683589138134596
9,24,0.02833530106257379
10,49,0.05785123966942149
11,74,0.08736717827626919
12,26,0.030696576151121605
13,109,0.12868949232585597
