Time,olive garden
2022-08-29,27
2022-08-30,26
2022-08-31,26
2022-09-01,26
2022-09-02,30
2022-09-03,40
2022-09-04,44
2022-09-05,42
2022-09-06,23
2022-09-07,23
2022-09-08,24
2022-09-09,29
2022-09-10,40
2022-09-11,38
2022-09-12,26
2022-09-13,24
2022-09-14,25
2022-09-15,27
2022-09-16,31
2022-09-17,43
2022-09-18,39
2022-09-19,27
2022-09-20,26
2022-09-21,25
2022-09-22,26
2022-09-23,28
2022-09-24,39
2022-09-25,42
2022-09-26,26
2022-09-27,24
2022-09-28,27
2022-09-29,25
2022-09-30,33
2022-10-01,49
2022-10-02,41
2022-10-03,26
2022-10-04,26
2022-10-05,26
2022-10-06,31
2022-10-07,35
2022-10-08,52
2022-10-09,48
2022-10-10,32
2022-10-11,27
2022-10-12,27
2022-10-13,28
2022-10-14,36
2022-10-15,50
2022-10-16,50
2022-10-17,30
2022-10-18,27
2022-10-19,29
2022-10-20,30
2022-10-21,35
2022-10-22,45
2022-10-23,48
2022-10-24,27
2022-10-25,27
2022-10-26,28
2022-10-27,29
2022-10-28,34
2022-10-29,47
2022-10-30,46
2022-10-31,27
2022-11-01,26
2022-11-02,28
2022-11-03,29
2022-11-04,35
2022-11-05,48
2022-11-06,48
2022-11-07,30
2022-11-08,28
2022-11-09,27
2022-11-10,32
2022-11-11,63
2022-11-12,55
2022-11-13,48
2022-11-14,29
2022-11-15,27
2022-11-16,27
2022-11-17,29
2022-11-18,33
2022-11-19,48
2022-11-20,44
2022-11-21,30
2022-11-22,27
2022-11-23,30
2022-11-24,22
2022-11-25,27
2022-11-26,30
2022-11-27,35
2022-11-28,24
2022-11-29,23
2022-11-30,24
2022-12-01,28
2022-12-02,33
2022-12-03,46
2022-12-04,46
2022-12-05,29
2022-12-06,27
2022-12-07,28
2022-12-08,36
2022-12-09,40
2022-12-10,53
2022-12-11,51
2022-12-12,32
2022-12-13,30
2022-12-14,33
2022-12-15,31
2022-12-16,36
2022-12-17,51
2022-12-18,51
2022-12-19,38
2022-12-20,34
2022-12-21,40
2022-12-22,37
2022-12-23,41
2022-12-24,59
2022-12-25,33
2022-12-26,43
2022-12-27,39
2022-12-28,40
2022-12-29,42
2022-12-30,47
2022-12-31,57
2023-01-01,57
2023-01-02,45
2023-01-03,29
2023-01-04,28
2023-01-05,30
2023-01-06,35
2023-01-07,56
2023-01-08,50
2023-01-09,30
2023-01-10,28
2023-01-11,27
2023-01-12,28
2023-01-13,34
2023-01-14,53
2023-01-15,49
2023-01-16,38
2023-01-17,27
2023-01-18,25
2023-01-19,26
2023-01-20,33
2023-01-21,53
2023-01-22,43
2023-01-23,27
2023-01-24,26
2023-01-25,27
2023-01-26,28
2023-01-27,33
2023-01-28,54
2023-01-29,44
2023-01-30,28
2023-01-31,24
2023-02-01,26
2023-02-02,26
2023-02-03,30
2023-02-04,53
2023-02-05,51
2023-02-06,27
2023-02-07,26
2023-02-08,28
2023-02-09,28
2023-02-10,33
2023-02-11,53
2023-02-12,40
2023-02-13,26
2023-02-14,73
2023-02-15,48
2023-02-16,28
2023-02-17,36
2023-02-18,53
2023-02-19,55
2023-02-20,32
2023-02-21,26
2023-02-22,26
2023-02-23,27
2023-02-24,36
2023-02-25,56
2023-02-26,52
2023-02-27,29
2023-02-28,24
2023-03-01,25
2023-03-02,27
2023-03-03,32
2023-03-04,47
2023-03-05,51
2023-03-06,26
2023-03-07,26
2023-03-08,27
2023-03-09,29
2023-03-10,33
2023-03-11,48
2023-03-12,48
2023-03-13,28
2023-03-14,28
2023-03-15,26
2023-03-16,27
2023-03-17,33
2023-03-18,47
2023-03-19,48
2023-03-20,28
2023-03-21,28
2023-03-22,24
2023-03-23,27
2023-03-24,32
2023-03-25,48
2023-03-26,45
2023-03-27,28
2023-03-28,24
2023-03-29,27
2023-03-30,28
2023-03-31,31
2023-04-01,44
2023-04-02,43
2023-04-03,25
2023-04-04,26
2023-04-05,24
2023-04-06,29
2023-04-07,37
2023-04-08,42
2023-04-09,50
2023-04-10,26
2023-04-11,25
2023-04-12,23
2023-04-13,25
2023-04-14,28
2023-04-15,40
2023-04-16,43
2023-04-17,24
2023-04-18,23
2023-04-19,24
2023-04-20,24
2023-04-21,29
2023-04-22,43
2023-04-23,42
2023-04-24,29
2023-04-25,25
2023-04-26,26
2023-04-27,25
2023-04-28,30
2023-04-29,42
2023-04-30,41
2023-05-01,26
2023-05-02,26
2023-05-03,25
2023-05-04,26
2023-05-05,28
2023-05-06,39
2023-05-07,40
2023-05-08,26
2023-05-09,26
2023-05-10,29
2023-05-11,29
2023-05-12,34
2023-05-13,59
2023-05-14,100
2023-05-15,30
2023-05-16,26
2023-05-17,24
2023-05-18,27
2023-05-19,30
2023-05-20,39
2023-05-21,39
2023-05-22,24
2023-05-23,26
2023-05-24,24
2023-05-25,26
