Time,the pitt
2023-04-26,36
2023-04-27,27
2023-04-28,34
2023-04-29,37
2023-04-30,40
2023-05-01,33
2023-05-02,32
2023-05-03,31
2023-05-04,36
2023-05-05,37
2023-05-06,36
2023-05-07,30
2023-05-08,37
2023-05-09,27
2023-05-10,35
2023-05-11,28
2023-05-12,37
2023-05-13,34
2023-05-14,40
2023-05-15,32
2023-05-16,33
2023-05-17,34
2023-05-18,27
2023-05-19,31
2023-05-20,31
2023-05-21,30
2023-05-22,32
2023-05-23,31
2023-05-24,30
2023-05-25,29
2023-05-26,34
2023-05-27,37
2023-05-28,38
2023-05-29,39
2023-05-30,29
2023-05-31,33
2023-06-01,34
2023-06-02,33
2023-06-03,39
2023-06-04,39
2023-06-05,30
2023-06-06,31
2023-06-07,28
2023-06-08,28
2023-06-09,31
2023-06-10,38
2023-06-11,33
2023-06-12,39
2023-06-13,27
2023-06-14,30
2023-06-15,28
2023-06-16,37
2023-06-17,43
2023-06-18,42
2023-06-19,27
2023-06-20,31
2023-06-21,28
2023-06-22,30
2023-06-23,29
2023-06-24,37
2023-06-25,44
2023-06-26,31
2023-06-27,42
2023-06-28,30
2023-06-29,31
2023-06-30,34
2023-07-01,36
2023-07-02,40
2023-07-03,33
2023-07-04,45
2023-07-05,38
2023-07-06,37
2023-07-07,38
2023-07-08,40
2023-07-09,47
2023-07-10,36
2023-07-11,45
2023-07-12,36
2023-07-13,28
2023-07-14,36
2023-07-15,35
2023-07-16,49
2023-07-17,38
2023-07-18,35
2023-07-19,39
2023-07-20,31
2023-07-21,30
2023-07-22,36
2023-07-23,46
2023-07-24,34
2023-07-25,29
2023-07-26,32
2023-07-27,30
2023-07-28,34
2023-07-29,41
2023-07-30,40
2023-07-31,42
2023-08-01,28
2023-08-02,30
2023-08-03,34
2023-08-04,31
2023-08-05,37
2023-08-06,42
2023-08-07,31
2023-08-08,39
2023-08-09,35
2023-08-10,31
2023-08-11,40
2023-08-12,39
2023-08-13,46
2023-08-14,30
2023-08-15,28
2023-08-16,49
2023-08-17,42
2023-08-18,48
2023-08-19,44
2023-08-20,37
2023-08-21,43
2023-08-22,36
2023-08-23,32
2023-08-24,31
2023-08-25,34
2023-08-26,39
2023-08-27,42
2023-08-28,42
2023-08-29,41
2023-08-30,37
2023-08-31,39
2023-09-01,38
2023-09-02,83
2023-09-03,54
2023-09-04,49
2023-09-05,45
2023-09-06,34
2023-09-07,39
2023-09-08,44
2023-09-09,97
2023-09-10,77
2023-09-11,48
2023-09-12,39
2023-09-13,36
2023-09-14,42
2023-09-15,39
2023-09-16,100
2023-09-17,100
2023-09-18,50
2023-09-19,44
2023-09-20,41
2023-09-21,43
2023-09-22,36
2023-09-23,64
2023-09-24,74
2023-09-25,54
2023-09-26,40
2023-09-27,41
2023-09-28,42
2023-09-29,39
2023-09-30,47
2023-10-01,66
2023-10-02,44
2023-10-03,41
2023-10-04,38
2023-10-05,40
2023-10-06,50
2023-10-07,47
2023-10-08,41
2023-10-09,38
2023-10-10,39
2023-10-11,43
2023-10-12,45
2023-10-13,49
2023-10-14,68
2023-10-15,69
2023-10-16,41
2023-10-17,41
2023-10-18,39
2023-10-19,39
2023-10-20,39
2023-10-21,60
2023-10-22,45
2023-10-23,42
2023-10-24,40
2023-10-25,29
2023-10-26,39
2023-10-27,38
2023-10-28,59
2023-10-29,52
2023-10-30,44
2023-10-31,44
2023-11-01,43
2023-11-02,40
2023-11-03,40
2023-11-04,69
2023-11-05,43
2023-11-06,44
2023-11-07,42
2023-11-08,35
2023-11-09,37
2023-11-10,46
2023-11-11,63
2023-11-12,49
2023-11-13,45
2023-11-14,39
2023-11-15,44
2023-11-16,47
2023-11-17,51
2023-11-18,55
2023-11-19,40
2023-11-20,45
2023-11-21,35
2023-11-22,35
2023-11-23,53
2023-11-24,49
2023-11-25,49
2023-11-26,43
2023-11-27,35
2023-11-28,35
2023-11-29,40
2023-11-30,35
2023-12-01,39
2023-12-02,46
2023-12-03,47
2023-12-04,39
2023-12-05,36
2023-12-06,41
2023-12-07,34
2023-12-08,39
2023-12-09,41
2023-12-10,51
2023-12-11,44
2023-12-12,38
2023-12-13,39
2023-12-14,38
2023-12-15,45
2023-12-16,32
2023-12-17,43
2023-12-18,38
2023-12-19,48
2023-12-20,34
2023-12-21,36
2023-12-22,40
2023-12-23,40
2023-12-24,34
2023-12-25,33
2023-12-26,34
2023-12-27,36
2023-12-28,30
2023-12-29,36
2023-12-30,44
2023-12-31,46
2024-01-01,42
2024-01-02,34
2024-01-03,49
2024-01-04,27
2024-01-05,35
2024-01-06,45
2024-01-07,40
2024-01-08,38
2024-01-09,37
2024-01-10,39
2024-01-11,31
2024-01-12,37
2024-01-13,39
2024-01-14,39
2024-01-15,40
2024-01-16,40
2024-01-17,39
2024-01-18,34
2024-01-19,38
2024-01-20,43
