Time,the pitt
2023-12-22,25
2023-12-23,24
2023-12-24,21
2023-12-25,20
2023-12-26,21
2023-12-27,22
2023-12-28,18
2023-12-29,22
2023-12-30,27
2023-12-31,28
2024-01-01,26
2024-01-02,21
2024-01-03,30
2024-01-04,16
2024-01-05,22
2024-01-06,27
2024-01-07,25
2024-01-08,23
2024-01-09,22
2024-01-10,24
2024-01-11,19
2024-01-12,22
2024-01-13,24
2024-01-14,24
2024-01-15,24
2024-01-16,25
2024-01-17,24
2024-01-18,21
2024-01-19,23
2024-01-20,26
2024-01-21,29
2024-01-22,26
2024-01-23,25
2024-01-24,42
2024-01-25,28
2024-01-26,24
2024-01-27,27
2024-01-28,38
2024-01-29,24
2024-01-30,26
2024-01-31,21
2024-02-01,23
2024-02-02,30
2024-02-03,36
2024-02-04,36
2024-02-05,28
2024-02-06,25
2024-02-07,27
2024-02-08,22
2024-02-09,23
2024-02-10,29
2024-02-11,27
2024-02-12,25
2024-02-13,25
2024-02-14,25
2024-02-15,27
2024-02-16,24
2024-02-17,23
2024-02-18,34
2024-02-19,28
2024-02-20,24
2024-02-21,27
2024-02-22,24
2024-02-23,22
2024-02-24,27
2024-02-25,28
2024-02-26,26
2024-02-27,23
2024-02-28,22
2024-02-29,28
2024-03-01,20
2024-03-02,31
2024-03-03,29
2024-03-04,25
2024-03-05,25
2024-03-06,25
2024-03-07,21
2024-03-08,21
2024-03-09,22
2024-03-10,28
2024-03-11,26
2024-03-12,22
2024-03-13,22
2024-03-14,27
2024-03-15,34
2024-03-16,38
2024-03-17,49
2024-03-18,36
2024-03-19,22
2024-03-20,24
2024-03-21,20
2024-03-22,20
2024-03-23,27
2024-03-24,23
2024-03-25,20
2024-03-26,23
2024-03-27,24
2024-03-28,25
2024-03-29,23
2024-03-30,28
2024-03-31,28
2024-04-01,22
2024-04-02,22
2024-04-03,23
2024-04-04,19
2024-04-05,28
2024-04-06,31
2024-04-07,25
2024-04-08,25
2024-04-09,20
2024-04-10,17
2024-04-11,18
2024-04-12,26
2024-04-13,27
2024-04-14,27
2024-04-15,24
2024-04-16,21
2024-04-17,23
2024-04-18,25
2024-04-19,24
2024-04-20,26
2024-04-21,31
2024-04-22,25
2024-04-23,24
2024-04-24,26
2024-04-25,25
2024-04-26,29
2024-04-27,28
2024-04-28,32
2024-04-29,24
2024-04-30,23
2024-05-01,28
2024-05-02,24
2024-05-03,27
2024-05-04,25
2024-05-05,28
2024-05-06,27
2024-05-07,21
2024-05-08,24
2024-05-09,18
2024-05-10,23
2024-05-11,22
2024-05-12,30
2024-05-13,25
2024-05-14,20
2024-05-15,24
2024-05-16,25
2024-05-17,22
2024-05-18,24
2024-05-19,28
2024-05-20,21
2024-05-21,21
2024-05-22,19
2024-05-23,22
2024-05-24,22
2024-05-25,24
2024-05-26,27
2024-05-27,32
2024-05-28,26
2024-05-29,38
2024-05-30,29
2024-05-31,36
2024-06-01,36
2024-06-02,43
2024-06-03,27
2024-06-04,26
2024-06-05,26
2024-06-06,23
2024-06-07,20
2024-06-08,25
2024-06-09,23
2024-06-10,18
2024-06-11,16
2024-06-12,20
2024-06-13,16
2024-06-14,21
2024-06-15,24
2024-06-16,22
2024-06-17,30
2024-06-18,23
2024-06-19,19
2024-06-20,16
2024-06-21,24
2024-06-22,20
2024-06-23,22
2024-06-24,20
2024-06-25,17
2024-06-26,18
2024-06-27,19
2024-06-28,18
2024-06-29,20
2024-06-30,22
2024-07-01,17
2024-07-02,15
2024-07-03,16
2024-07-04,25
2024-07-05,15
2024-07-06,24
2024-07-07,32
2024-07-08,27
2024-07-09,29
2024-07-10,22
2024-07-11,21
2024-07-12,23
2024-07-13,24
2024-07-14,27
2024-07-15,18
2024-07-16,20
2024-07-17,20
2024-07-18,19
2024-07-19,22
2024-07-20,30
2024-07-21,22
2024-07-22,16
2024-07-23,20
2024-07-24,22
2024-07-25,18
2024-07-26,18
2024-07-27,21
2024-07-28,21
2024-07-29,22
2024-07-30,21
2024-07-31,22
2024-08-01,18
2024-08-02,20
2024-08-03,19
2024-08-04,24
2024-08-05,25
2024-08-06,26
2024-08-07,32
2024-08-08,26
2024-08-09,23
2024-08-10,28
2024-08-11,24
2024-08-12,20
2024-08-13,27
2024-08-14,18
2024-08-15,20
2024-08-16,23
2024-08-17,22
2024-08-18,27
2024-08-19,28
2024-08-20,21
2024-08-21,22
2024-08-22,23
2024-08-23,21
2024-08-24,26
2024-08-25,26
2024-08-26,28
2024-08-27,26
2024-08-28,44
2024-08-29,36
2024-08-30,30
2024-08-31,53
2024-09-01,43
2024-09-02,46
2024-09-03,36
2024-09-04,32
2024-09-05,25
2024-09-06,25
2024-09-07,42
2024-09-08,34
2024-09-09,36
2024-09-10,32
2024-09-11,28
2024-09-12,32
2024-09-13,35
2024-09-14,100
2024-09-15,47
2024-09-16,29
