Time,new york yankees
2023-04-26,54
2023-04-27,33
2023-04-28,48
2023-04-29,59
2023-04-30,67
2023-05-01,34
2023-05-02,46
2023-05-03,50
2023-05-04,50
2023-05-05,31
2023-05-06,64
2023-05-07,59
2023-05-08,35
2023-05-09,46
2023-05-10,58
2023-05-11,36
2023-05-12,45
2023-05-13,79
2023-05-14,65
2023-05-15,35
2023-05-16,51
2023-05-17,62
2023-05-18,58
2023-05-19,54
2023-05-20,85
2023-05-21,84
2023-05-22,37
2023-05-23,35
2023-05-24,70
2023-05-25,73
2023-05-26,58
2023-05-27,81
2023-05-28,69
2023-05-29,47
2023-05-30,54
2023-05-31,60
2023-06-01,55
2023-06-02,36
2023-06-03,69
2023-06-04,80
2023-06-05,55
2023-06-06,42
2023-06-07,64
2023-06-08,70
2023-06-09,54
2023-06-10,58
2023-06-11,71
2023-06-12,51
2023-06-13,35
2023-06-14,59
2023-06-15,61
2023-06-16,37
2023-06-17,64
2023-06-18,83
2023-06-19,49
2023-06-20,35
2023-06-21,52
2023-06-22,53
2023-06-23,55
2023-06-24,71
2023-06-25,65
2023-06-26,31
2023-06-27,32
2023-06-28,47
2023-06-29,79
2023-06-30,45
2023-07-01,97
2023-07-02,100
2023-07-03,41
2023-07-04,86
2023-07-05,48
2023-07-06,62
2023-07-07,56
2023-07-08,71
2023-07-09,67
2023-07-10,31
2023-07-11,26
2023-07-12,26
2023-07-13,27
2023-07-14,35
2023-07-15,63
2023-07-16,81
2023-07-17,36
2023-07-18,57
2023-07-19,54
2023-07-20,51
2023-07-21,39
2023-07-22,66
2023-07-23,63
2023-07-24,36
2023-07-25,39
2023-07-26,52
2023-07-27,51
2023-07-28,48
2023-07-29,82
2023-07-30,80
2023-07-31,62
2023-08-01,76
2023-08-02,57
2023-08-03,56
2023-08-04,60
2023-08-05,82
2023-08-06,74
2023-08-07,36
2023-08-08,50
2023-08-09,51
2023-08-10,50
2023-08-11,38
2023-08-12,61
2023-08-13,59
2023-08-14,37
2023-08-15,48
2023-08-16,49
2023-08-17,47
2023-08-18,37
2023-08-19,69
2023-08-20,61
2023-08-21,33
2023-08-22,34
2023-08-23,42
2023-08-24,58
2023-08-25,31
2023-08-26,57
2023-08-27,56
2023-08-28,29
2023-08-29,40
2023-08-30,45
2023-08-31,51
2023-09-01,31
2023-09-02,63
2023-09-03,62
2023-09-04,58
2023-09-05,31
2023-09-06,49
2023-09-07,49
2023-09-08,43
2023-09-09,66
2023-09-10,51
2023-09-11,35
2023-09-12,54
2023-09-13,51
2023-09-14,59
2023-09-15,47
2023-09-16,60
2023-09-17,57
2023-09-18,24
2023-09-19,31
2023-09-20,36
2023-09-21,39
2023-09-22,39
2023-09-23,53
2023-09-24,51
2023-09-25,34
2023-09-26,27
2023-09-27,34
2023-09-28,39
2023-09-29,33
2023-09-30,41
2023-10-01,50
2023-10-02,22
2023-10-03,17
2023-10-04,17
2023-10-05,15
2023-10-06,13
2023-10-07,14
2023-10-08,14
2023-10-09,11
2023-10-10,12
2023-10-11,13
2023-10-12,13
2023-10-13,14
2023-10-14,12
2023-10-15,11
2023-10-16,11
2023-10-17,12
2023-10-18,13
2023-10-19,11
2023-10-20,14
2023-10-21,12
2023-10-22,11
2023-10-23,11
2023-10-24,13
2023-10-25,13
2023-10-26,11
2023-10-27,13
2023-10-28,12
2023-10-29,9
2023-10-30,11
2023-10-31,11
2023-11-01,11
2023-11-02,14
2023-11-03,12
2023-11-04,11
2023-11-05,11
2023-11-06,13
2023-11-07,13
2023-11-08,13
2023-11-09,14
2023-11-10,11
2023-11-11,11
2023-11-12,13
2023-11-13,13
2023-11-14,13
2023-11-15,13
2023-11-16,14
2023-11-17,15
2023-11-18,14
2023-11-19,14
2023-11-20,15
2023-11-21,15
2023-11-22,17
2023-11-23,14
2023-11-24,17
2023-11-25,16
2023-11-26,15
2023-11-27,14
2023-11-28,15
2023-11-29,15
2023-11-30,17
2023-12-01,15
2023-12-02,17
2023-12-03,16
2023-12-04,16
2023-12-05,23
2023-12-06,32
2023-12-07,42
2023-12-08,24
2023-12-09,27
2023-12-10,24
2023-12-11,23
2023-12-12,23
2023-12-13,21
2023-12-14,22
2023-12-15,25
2023-12-16,21
2023-12-17,19
2023-12-18,22
2023-12-19,23
2023-12-20,23
2023-12-21,20
2023-12-22,28
2023-12-23,22
2023-12-24,19
2023-12-25,17
2023-12-26,19
2023-12-27,19
2023-12-28,21
2023-12-29,18
2023-12-30,19
2023-12-31,17
2024-01-01,18
2024-01-02,16
2024-01-03,17
2024-01-04,19
2024-01-05,19
2024-01-06,18
2024-01-07,18
2024-01-08,18
2024-01-09,19
2024-01-10,17
2024-01-11,18
2024-01-12,24
2024-01-13,18
2024-01-14,18
2024-01-15,19
2024-01-16,18
2024-01-17,24
2024-01-18,16
2024-01-19,18
2024-01-20,16
