Time,jimmy_garoppolo
2022-01-01,2.0
2022-01-02,8.0
2022-01-03,4.0
2022-01-04,3.0
2022-01-05,2.0
2022-01-06,2.0
2022-01-07,2.0
2022-01-08,2.0
2022-01-09,9.0
2022-01-10,16.0
2022-01-11,4.0
2022-01-12,3.0
2022-01-13,3.0
2022-01-14,2.0
2022-01-15,3.0
2022-01-16,32.0
2022-01-17,39.0
2022-01-18,8.0
2022-01-19,6.0
2022-01-20,6.0
2022-01-21,5.0
2022-01-22,11.0
2022-01-23,100.0
2022-01-24,19.0
2022-01-25,8.0
2022-01-26,6.0
2022-01-27,7.0
2022-01-28,7.0
2022-01-29,8.0
2022-01-30,35.0
2022-01-31,96.0
2022-02-01,21.0
2022-02-02,24.0
2022-02-03,11.0
2022-02-04,7.0
2022-02-05,8.0
2022-02-06,7.0
2022-02-07,5.0
2022-02-08,4.0
2022-02-09,4.0
2022-02-10,3.0
2022-02-11,4.0
2022-02-12,4.0
2022-02-13,4.0
2022-02-14,6.0
2022-02-15,4.0
2022-02-16,5.0
2022-02-17,3.0
2022-02-18,5.0
2022-02-19,4.0
2022-02-20,2.0
2022-02-21,3.0
2022-02-22,2.0
2022-02-23,3.0
2022-02-24,3.0
2022-02-25,2.0
2022-02-26,2.0
2022-02-27,1.0
2022-02-28,2.0
2022-03-01,2.0
2022-03-02,3.0
2022-03-03,3.0
2022-03-04,2.0
2022-03-05,2.0
2022-03-06,2.0
2022-03-07,2.0
2022-03-08,5.0
2022-03-09,10.0
2022-03-10,9.0
2022-03-11,6.0
2022-03-12,5.0
2022-03-13,5.0
2022-03-14,8.0
2022-03-15,6.0
2022-03-16,6.0
2022-03-17,6.0
2022-03-18,7.0
2022-03-19,6.0
2022-03-20,6.0
2022-03-21,9.0
2022-03-22,6.0
2022-03-23,5.0
2022-03-24,4.0
2022-03-25,4.0
2022-03-26,3.0
2022-03-27,4.0
2022-03-28,3.0
2022-03-29,3.0
2022-03-30,2.0
2022-03-31,2.0
2022-04-01,2.0
2022-04-02,2.0
2022-04-03,2.0
2022-04-04,2.0
2022-04-05,2.0
2022-04-06,1.0
2022-04-07,2.0
2022-04-08,2.0
2022-04-09,2.0
2022-04-10,2.0
2022-04-11,1.0
2022-04-12,1.0
2022-04-13,2.0
2022-04-14,2.0
2022-04-15,1.0
2022-04-16,2.0
2022-04-17,2.0
2022-04-18,2.0
2022-04-19,2.0
2022-04-20,2.0
2022-04-21,2.0
2022-04-22,1.0
2022-04-23,1.0
2022-04-24,1.0
2022-04-25,2.0
2022-04-26,1.0
2022-04-27,1.0
2022-04-28,2.0
2022-04-29,2.0
2022-04-30,3.0
2022-05-01,2.0
2022-05-02,1.0
2022-05-03,1.0
2022-05-04,1.0
2022-05-05,3.0
2022-05-06,2.0
2022-05-07,2.0
2022-05-08,1.0
2022-05-09,1.0
2022-05-10,1.0
2022-05-11,1.0
2022-05-12,1.0
2022-05-13,1.0
2022-05-14,1.0
2022-05-15,1.0
2022-05-16,1.0
2022-05-17,1.0
2022-05-18,1.0
2022-05-19,1.0
2022-05-20,1.0
2022-05-21,1.0
2022-05-22,1.0
2022-05-23,1.0
2022-05-24,1.0
2022-05-25,1.0
2022-05-26,1.0
2022-05-27,1.0
2022-05-28,1.0
2022-05-29,1.0
2022-05-30,1.0
2022-05-31,1.0
2022-06-01,1.0
2022-06-02,1.0
2022-06-03,1.0
2022-06-04,1.0
2022-06-05,1.0
2022-06-06,1.0
2022-06-07,1.0
2022-06-08,1.0
2022-06-09,1.0
2022-06-10,1.0
2022-06-11,1.0
2022-06-12,1.0
2022-06-13,1.0
2022-06-14,1.0
2022-06-15,1.0
2022-06-16,1.0
2022-06-17,1.0
2022-06-18,1.0
2022-06-19,1.0
2022-06-20,1.0
2022-06-21,1.0
2022-06-22,1.0
2022-06-23,1.0
2022-06-24,1.0
2022-06-25,1.0
2022-06-26,1.0
2022-06-27,1.0
2022-06-28,2.0
2022-06-29,2.0
2022-06-30,1.0
2022-07-01,1.0
2022-07-02,1.0
2022-07-03,1.0
2022-07-04,1.0
2022-07-05,1.0
2022-07-06,3.0
2022-07-07,3.0
2022-07-08,2.0
2022-07-09,2.0
2022-07-10,2.0
2022-07-11,3.0
2022-07-12,3.0
2022-07-13,2.0
2022-07-14,2.0
2022-07-15,2.0
2022-07-16,2.0
2022-07-17,2.0
2022-07-18,2.0
2022-07-19,1.0
2022-07-20,3.0
2022-07-21,6.0
2022-07-22,3.0
2022-07-23,2.0
2022-07-24,2.0
2022-07-25,3.0
2022-07-26,6.0
2022-07-27,12.0
2022-07-28,7.0
2022-07-29,4.0
2022-07-30,3.0
2022-07-31,4.0
2022-08-01,5.0
2022-08-02,3.0
2022-08-03,3.0
2022-08-04,3.0
2022-08-05,3.0
2022-08-06,3.0
2022-08-07,3.0
2022-08-08,3.0
2022-08-09,3.0
2022-08-10,3.0
2022-08-11,4.0
2022-08-12,5.0
2022-08-13,15.0
2022-08-14,5.0
2022-08-15,5.0
2022-08-16,4.0
2022-08-17,4.0
2022-08-18,6.0
2022-08-19,6.0
2022-08-20,5.0
2022-08-21,6.0
2022-08-22,4.0
2022-08-23,3.0
2022-08-24,4.0
2022-08-25,5.0
2022-08-26,6.0
2022-08-27,4.0
2022-08-28,4.0
2022-08-29,13.741573033707866
2022-08-30,16.859550561797754
2022-08-31,4.926966292134832
2022-09-01,3.117977528089888
2022-09-02,3.117977528089888
2022-09-03,2.0786516853932584
2022-09-04,2.0786516853932584
2022-09-05,2.0786516853932584
2022-09-06,2.0786516853932584
2022-09-07,2.0786516853932584
2022-09-08,1.808988764044944
2022-09-09,2.0786516853932584
2022-09-10,2.0786516853932584
2022-09-11,14.780898876404496
2022-09-12,9.584269662921349
2022-09-13,5.966292134831461
2022-09-14,2.848314606741573
2022-09-15,2.0786516853932584
2022-09-16,2.848314606741573
2022-09-17,2.0786516853932584
2022-09-18,17.898876404494384
2022-09-19,18.668539325842698
2022-09-20,8.04494382022472
2022-09-21,4.657303370786517
2022-09-22,3.117977528089888
2022-09-23,3.617977528089888
2022-09-24,2.0786516853932584
2022-09-25,6.235955056179776
2022-09-26,29.831460674157306
2022-09-27,5.966292134831461
2022-09-28,3.235955056179776
2022-09-29,3.7752808988764053
2022-09-30,2.1573033707865172
2022-10-01,1.617977528089888
2022-10-02,3.7752808988764053
2022-10-03,7.011235955056181
2022-10-04,18.876404494382026
2022-10-05,2.6966292134831464
2022-10-06,1.617977528089888
2022-10-07,2.1573033707865172
2022-10-08,1.617977528089888
2022-10-09,5.9325842696629225
2022-10-10,5.393258426966293
2022-10-11,2.6966292134831464
2022-10-12,2.1573033707865172
2022-10-13,2.6966292134831464
2022-10-14,1.617977528089888
2022-10-15,1.617977528089888
2022-10-16,4.853932584269664
2022-10-17,1.617977528089888
2022-10-18,1.617977528089888
2022-10-19,1.617977528089888
2022-10-20,1.0786516853932586
2022-10-21,3.235955056179776
2022-10-22,2.1573033707865172
2022-10-23,12.404494382022474
2022-10-24,4.853932584269664
2022-10-25,2.6966292134831464
2022-10-26,1.617977528089888
2022-10-27,1.617977528089888
2022-10-28,2.1573033707865172
2022-10-29,1.0786516853932586
2022-10-30,5.9325842696629225
2022-10-31,4.3146067415730345
2022-11-01,3.235955056179776
2022-11-02,3.235955056179776
2022-11-03,2.1573033707865172
2022-11-04,1.617977528089888
2022-11-05,1.617977528089888
2022-11-06,1.617977528089888
2022-11-07,1.617977528089888
2022-11-08,1.617977528089888
2022-11-09,1.617977528089888
2022-11-10,2.1573033707865172
2022-11-11,2.1573033707865172
2022-11-12,1.617977528089888
2022-11-13,3.235955056179776
2022-11-14,11.865168539325845
2022-11-15,7.011235955056181
2022-11-16,4.853932584269664
2022-11-17,4.3146067415730345
2022-11-18,3.235955056179776
2022-11-19,3.235955056179776
2022-11-20,3.7752808988764053
2022-11-21,4.853932584269664
2022-11-22,25.348314606741578
2022-11-23,4.853932584269664
2022-11-24,5.393258426966293
2022-11-25,4.3146067415730345
2022-11-26,2.6966292134831464
2022-11-27,5.9325842696629225
2022-11-28,8.629213483146069
2022-11-29,3.235955056179776
2022-11-30,2.1573033707865172
2022-12-01,2.1573033707865172
2022-12-02,2.1573033707865172
2022-12-03,2.1573033707865172
2022-12-04,38.29213483146068
2022-12-05,53.93258426966293
2022-12-06,15.101123595505621
2022-12-07,7.5505617977528106
2022-12-08,3.7752808988764053
2022-12-09,2.6966292134831464
2022-12-10,2.1573033707865172
2022-12-11,9.707865168539328
2022-12-12,5.393258426966293
2022-12-13,2.6966292134831464
2022-12-14,1.617977528089888
2022-12-15,2.1573033707865172
2022-12-16,7.011235955056181
2022-12-17,2.6966292134831464
2022-12-18,2.1573033707865172
2022-12-19,1.617977528089888
2022-12-20,1.0786516853932586
2022-12-21,1.0786516853932586
2022-12-22,1.0786516853932586
2022-12-23,2.1573033707865172
2022-12-24,3.235955056179776
2022-12-25,3.7752808988764053
2022-12-26,2.6966292134831464
2022-12-27,2.1573033707865172
2022-12-28,2.1573033707865172
2022-12-29,2.1573033707865172
2022-12-30,1.617977528089888
2022-12-31,1.617977528089888
2023-01-01,3.7752808988764053
2023-01-02,3.235955056179776
2023-01-03,1.617977528089888
2023-01-04,1.617977528089888
2023-01-05,1.617977528089888
2023-01-06,1.617977528089888
2023-01-07,2.1573033707865172
2023-01-08,3.7752808988764053
2023-01-09,3.7752808988764053
2023-01-10,3.235955056179776
2023-01-11,2.1573033707865172
2023-01-12,2.1573033707865172
2023-01-13,2.1573033707865172
2023-01-14,9.707865168539328
2023-01-15,11.865168539325845
2023-01-16,4.3146067415730345
2023-01-17,4.3146067415730345
2023-01-18,2.1573033707865172
2023-01-19,2.6966292134831464
2023-01-20,2.6966292134831464
2023-01-21,3.235955056179776
2023-01-22,10.786516853932586
2023-01-23,20.494382022471914
2023-01-24,4.3146067415730345
2023-01-25,3.235955056179776
2023-01-26,3.235955056179776
2023-01-27,2.6966292134831464
