Time,messi
2022-01-01,23
2022-01-02,35
2022-01-03,34
2022-01-04,26
2022-01-05,25
2022-01-06,20
2022-01-07,22
2022-01-08,28
2022-01-09,28
2022-01-10,24
2022-01-11,22
2022-01-12,28
2022-01-13,26
2022-01-14,20
2022-01-15,30
2022-01-16,34
2022-01-17,31
2022-01-18,28
2022-01-19,28
2022-01-20,25
2022-01-21,25
2022-01-22,30
2022-01-23,34
2022-01-24,26
2022-01-25,22
2022-01-26,25
2022-01-27,28
2022-01-28,33
2022-01-29,35
2022-01-30,37
2022-01-31,34
2022-02-01,36
2022-02-02,29
2022-02-03,28
2022-02-04,29
2022-02-05,32
2022-02-06,43
2022-02-07,31
2022-02-08,28
2022-02-09,27
2022-02-10,23
2022-02-11,29
2022-02-12,35
2022-02-13,26
2022-02-14,24
2022-02-15,60
2022-02-16,38
2022-02-17,28
2022-02-18,25
2022-02-19,34
2022-02-20,33
2022-02-21,26
2022-02-22,26
2022-02-23,28
2022-02-24,24
2022-02-25,23
2022-02-26,33
2022-02-27,36
2022-02-28,26
2022-03-01,22
2022-03-02,24
2022-03-03,23
2022-03-04,23
2022-03-05,28
2022-03-06,27
2022-03-07,25
2022-03-08,24
2022-03-09,49
2022-03-10,50
2022-03-11,29
2022-03-12,42
2022-03-13,58
2022-03-14,44
2022-03-15,41
2022-03-16,31
2022-03-17,26
2022-03-18,25
2022-03-19,28
2022-03-20,53
2022-03-21,31
2022-03-22,24
2022-03-23,26
2022-03-24,25
2022-03-25,33
2022-03-26,43
2022-03-27,31
2022-03-28,27
2022-03-29,32
2022-03-30,31
2022-03-31,33
2022-04-01,39
2022-04-02,36
2022-04-03,39
2022-04-04,38
2022-04-05,31
2022-04-06,32
2022-04-07,32
2022-04-08,30
2022-04-09,41
2022-04-10,38
2022-04-11,31
2022-04-12,28
2022-04-13,28
2022-04-14,48
2022-04-15,29
2022-04-16,38
2022-04-17,40
2022-04-18,37
2022-04-19,37
2022-04-20,34
2022-04-21,32
2022-04-22,32
2022-04-23,45
2022-04-24,47
2022-04-25,38
2022-04-26,40
2022-04-27,34
2022-04-28,33
2022-04-29,36
2022-04-30,37
2022-05-01,32
2022-05-02,33
2022-05-03,33
2022-05-04,39
2022-05-05,34
2022-05-06,32
2022-05-07,36
2022-05-08,39
2022-05-09,35
2022-05-10,39
2022-05-11,36
2022-05-12,35
2022-05-13,34
2022-05-14,44
2022-05-15,44
2022-05-16,37
2022-05-17,94
2022-05-18,64
2022-05-19,45
2022-05-20,40
2022-05-21,50
2022-05-22,51
2022-05-23,42
2022-05-24,36
2022-05-25,33
2022-05-26,33
2022-05-27,34
2022-05-28,57
2022-05-29,45
2022-05-30,39
2022-05-31,39
2022-06-01,55
2022-06-02,56
2022-06-03,40
2022-06-04,35
2022-06-05,71
2022-06-06,62
2022-06-07,40
2022-06-08,39
2022-06-09,33
2022-06-10,38
2022-06-11,32
2022-06-12,41
2022-06-13,29
2022-06-14,30
2022-06-15,29
2022-06-16,30
2022-06-17,29
2022-06-18,32
2022-06-19,34
2022-06-20,31
2022-06-21,31
2022-06-22,27
2022-06-23,32
2022-06-24,62
2022-06-25,46
2022-06-26,36
2022-06-27,28
2022-06-28,29
2022-06-29,29
2022-06-30,28
2022-07-01,28
2022-07-02,29
2022-07-03,30
2022-07-04,28
2022-07-05,27
2022-07-06,26
2022-07-07,27
2022-07-08,26
2022-07-09,28
2022-07-10,28
2022-07-11,25
2022-07-12,24
2022-07-13,22
2022-07-14,24
2022-07-15,27
2022-07-16,29
2022-07-17,30
2022-07-18,29
2022-07-19,28
2022-07-20,28
2022-07-21,29
2022-07-22,26
2022-07-23,29
2022-07-24,34
2022-07-25,28
2022-07-26,27
2022-07-27,25
2022-07-28,25
2022-07-29,25
2022-07-30,29
2022-07-31,35
2022-08-01,29
2022-08-02,25
2022-08-03,25
2022-08-04,23
2022-08-05,26
2022-08-06,45
2022-08-07,100
2022-08-08,40
2022-08-09,28
2022-08-10,27
2022-08-11,28
2022-08-12,32
2022-08-13,47
2022-08-14,34
2022-08-15,29
2022-08-16,30
2022-08-17,29
2022-08-18,38
2022-08-19,47
2022-08-20,40
2022-08-21,48
2022-08-22,39
2022-08-23,37
2022-08-24,29
2022-08-25,28
2022-08-26,30
2022-08-27,32
2022-08-28,34
2022-08-29,32
2022-08-30,26
2022-08-31,34
2022-09-01,40
2022-09-02,37
2022-09-03,39
2022-09-04,39
2022-09-05,31
2022-09-06,38
2022-09-07,34
2022-09-08,32
2022-09-09,32
2022-09-10,38
2022-09-11,36
2022-09-12,33
2022-09-13,33
2022-09-14,41
2022-09-15,45
2022-09-16,36
2022-09-17,34
2022-09-18,42
2022-09-19,44
2022-09-20,39
2022-09-21,42
2022-09-22,42
2022-09-23,40
2022-09-24,58
2022-09-25,47
2022-09-26,40
2022-09-27,48
