Time,schoology
2024-08-18,24
2024-08-19,83
2024-08-20,85
2024-08-21,92
2024-08-22,88
2024-08-23,91
2024-08-24,21
2024-08-25,22
2024-08-26,94
2024-08-27,95
2024-08-28,96
2024-08-29,84
2024-08-30,54
2024-08-31,17
2024-09-01,13
2024-09-02,23
2024-09-03,94
2024-09-04,92
2024-09-05,92
2024-09-06,89
2024-09-07,23
2024-09-08,24
2024-09-09,100
2024-09-10,89
2024-09-11,82
2024-09-12,87
2024-09-13,86
2024-09-14,20
2024-09-15,19
2024-09-16,87
2024-09-17,88
2024-09-18,81
2024-09-19,78
2024-09-20,80
2024-09-21,18
2024-09-22,20
2024-09-23,75
2024-09-24,75
2024-09-25,79
2024-09-26,75
2024-09-27,67
2024-09-28,19
2024-09-29,18
2024-09-30,72
2024-10-01,71
2024-10-02,72
2024-10-03,45
2024-10-04,69
2024-10-05,16
2024-10-06,17
2024-10-07,69
2024-10-08,65
2024-10-09,68
2024-10-10,73
2024-10-11,63
2024-10-12,16
2024-10-13,15
2024-10-14,59
2024-10-15,71
2024-10-16,67
2024-10-17,67
2024-10-18,63
2024-10-19,15
2024-10-20,16
2024-10-21,67
2024-10-22,72
2024-10-23,67
2024-10-24,72
2024-10-25,67
2024-10-26,16
2024-10-27,16
2024-10-28,69
2024-10-29,64
2024-10-30,67
2024-10-31,59
2024-11-01,57
2024-11-02,14
2024-11-03,15
2024-11-04,62
2024-11-05,53
2024-11-06,49
2024-11-07,64
2024-11-08,62
2024-11-09,14
2024-11-10,13
2024-11-11,31
2024-11-12,68
2024-11-13,59
2024-11-14,63
2024-11-15,58
2024-11-16,14
2024-11-17,14
2024-11-18,64
2024-11-19,69
2024-11-20,66
2024-11-21,64
2024-11-22,57
2024-11-23,13
2024-11-24,11
2024-11-25,25
2024-11-26,23
2024-11-27,13
2024-11-28,7
2024-11-29,7
2024-11-30,9
2024-12-01,14
2024-12-02,71
2024-12-03,63
2024-12-04,62
2024-12-05,60
2024-12-06,63
2024-12-07,15
2024-12-08,15
2024-12-09,66
2024-12-10,70
2024-12-11,64
2024-12-12,73
2024-12-13,54
2024-12-14,16
2024-12-15,14
2024-12-16,47
2024-12-17,43
2024-12-18,43
2024-12-19,40
2024-12-20,25
2024-12-21,8
2024-12-22,5
2024-12-23,6
2024-12-24,5
2024-12-25,5
2024-12-26,5
2024-12-27,6
2024-12-28,5
2024-12-29,5
2024-12-30,6
2024-12-31,5
2025-01-01,6
2025-01-02,16
2025-01-03,17
2025-01-04,10
2025-01-05,13
2025-01-06,57
2025-01-07,60
2025-01-08,57
2025-01-09,48
2025-01-10,41
2025-01-11,13
2025-01-12,15
2025-01-13,76
2025-01-14,65
2025-01-15,67
2025-01-16,65
2025-01-17,62
2025-01-18,13
2025-01-19,10
2025-01-20,16
2025-01-21,61
2025-01-22,64
2025-01-23,66
2025-01-24,70
2025-01-25,15
2025-01-26,15
2025-01-27,63
2025-01-28,65
2025-01-29,65
2025-01-30,63
2025-01-31,67
2025-02-01,15
2025-02-02,14
2025-02-03,55
2025-02-04,60
2025-02-05,62
2025-02-06,62
2025-02-07,65
2025-02-08,15
2025-02-09,13
2025-02-10,59
2025-02-11,59
2025-02-12,63
2025-02-13,63
2025-02-14,53
2025-02-15,13
2025-02-16,10
2025-02-17,16
2025-02-18,64
2025-02-19,58
2025-02-20,60
2025-02-21,55
2025-02-22,14
2025-02-23,13
2025-02-24,62
2025-02-25,59
2025-02-26,60
2025-02-27,60
2025-02-28,61
2025-03-01,14
2025-03-02,13
2025-03-03,63
2025-03-04,62
2025-03-05,60
2025-03-06,61
2025-03-07,55
2025-03-08,14
2025-03-09,12
2025-03-10,56
2025-03-11,56
2025-03-12,55
2025-03-13,53
2025-03-14,50
2025-03-15,13
2025-03-16,12
2025-03-17,56
2025-03-18,64
2025-03-19,64
2025-03-20,55
2025-03-21,51
2025-03-22,12
2025-03-23,13
2025-03-24,54
2025-03-25,54
2025-03-26,57
2025-03-27,54
2025-03-28,51
2025-03-29,12
2025-03-30,12
2025-03-31,28
2025-04-01,64
2025-04-02,51
2025-04-03,54
2025-04-04,53
2025-04-05,12
2025-04-06,13
2025-04-07,54
2025-04-08,52
2025-04-09,55
2025-04-10,55
2025-04-11,50
2025-04-12,11
2025-04-13,9
2025-04-14,29
2025-04-15,25
2025-04-16,26
2025-04-17,24
2025-04-18,13
2025-04-19,7
2025-04-20,9
2025-04-21,48
2025-04-22,51
2025-04-23,51
2025-04-24,31
2025-04-25,48
2025-04-26,11
2025-04-27,11
2025-04-28,55
2025-04-29,51
2025-04-30,51
2025-05-01,54
2025-05-02,49
2025-05-03,12
2025-05-04,13
2025-05-05,49
2025-05-06,50
2025-05-07,48
2025-05-08,51
2025-05-09,48
2025-05-10,11
2025-05-11,11
2025-05-12,53
2025-05-13,53
2025-05-14,52
