Time,monthly_gt
2021-12-26,64
2022-01-02,66
2022-01-09,67
2022-01-16,64
2022-01-23,72
2022-01-30,73
2022-02-06,78
2022-02-13,69
2022-02-20,73
2022-02-27,71
2022-03-06,74
2022-03-13,77
2022-03-20,78
2022-03-27,76
2022-04-03,78
2022-04-10,79
2022-04-17,82
2022-04-24,79
2022-05-01,79
2022-05-08,80
2022-05-15,82
2022-05-22,79
2022-05-29,82
2022-06-05,78
2022-06-12,81
2022-06-19,79
2022-06-26,80
2022-07-03,77
2022-07-10,82
2022-07-17,76
2022-07-24,81
2022-07-31,73
2022-08-07,74
2022-08-14,76
2022-08-21,79
2022-08-28,71
2022-09-04,71
2022-09-11,74
2022-09-18,73
2022-09-25,66
2022-10-02,72
2022-10-09,71
2022-10-16,68
2022-10-23,68
2022-10-30,69
2022-11-06,70
2022-11-13,74
2022-11-20,70
2022-11-27,65
2022-12-04,67
2022-12-11,66
2022-12-18,61
2022-12-25,67
2023-01-01,72
2023-01-08,76
2023-01-15,85
2023-01-22,82
2023-01-29,75
2023-02-05,78
2023-02-12,76
2023-02-19,80
2023-02-26,81
2023-03-05,78
2023-03-12,81
2023-03-19,85
2023-03-26,87
2023-04-02,84
2023-04-09,83
2023-04-16,84
2023-04-23,81
2023-04-30,80
2023-05-07,85
2023-05-14,86
2023-05-21,85
2023-05-28,83
2023-06-04,79
2023-06-11,87
2023-06-18,78
2023-06-25,87
2023-07-02,79
2023-07-09,76
2023-07-16,75
2023-07-23,78
2023-07-30,75
2023-08-06,74
2023-08-13,76
2023-08-20,73
2023-08-27,72
2023-09-03,73
2023-09-10,74
2023-09-17,73
2023-09-24,74
2023-10-01,71
2023-10-08,70
2023-10-15,73
2023-10-22,71
2023-10-29,69
2023-11-05,67
2023-11-12,71
2023-11-19,70
2023-11-26,72
2023-12-03,67
2023-12-10,70
2023-12-17,69
2023-12-24,69
2023-12-31,74
2024-01-07,76
2024-01-14,70
2024-01-21,77
2024-01-28,75
2024-02-04,78
2024-02-11,73
2024-02-18,86
2024-02-25,90
2024-03-03,83
2024-03-10,82
2024-03-17,81
2024-03-24,80
2024-03-31,79
2024-04-07,80
2024-04-14,85
2024-04-21,88
2024-04-28,86
2024-05-05,84
2024-05-12,84
2024-05-19,84
2024-05-26,83
2024-06-02,80
2024-06-09,81
2024-06-16,78
2024-06-23,78
2024-06-30,79
2024-07-07,75
2024-07-14,73
2024-07-21,74
2024-07-28,77
2024-08-04,75
2024-08-11,74
2024-08-18,77
2024-08-25,74
2024-09-01,71
2024-09-08,73
2024-09-15,76
2024-09-22,75
2024-09-29,72
2024-10-06,70
2024-10-13,70
2024-10-20,78
2024-10-27,75
2024-11-03,65
2024-11-10,71
2024-11-17,75
2024-11-24,75
2024-12-01,71
2024-12-08,69
2024-12-15,70
2024-12-22,70
2024-12-29,77
2025-01-05,76
2025-01-12,75
2025-01-19,78
2025-01-26,89
2025-02-02,84
2025-02-09,87
2025-02-16,89
2025-02-23,88
2025-03-02,86
2025-03-09,88
2025-03-16,86
2025-03-23,89
2025-03-30,83
2025-04-06,91
2025-04-13,86
2025-04-20,92
2025-04-27,91
2025-05-04,85
2025-05-11,88
2025-05-18,84
2025-05-25,87
2025-06-01,82
2025-06-08,82
2025-06-15,81
2025-06-22,83
2025-06-29,83
2025-07-06,84
2025-07-13,85
2025-07-20,83
2025-07-27,81
2025-08-03,81
2025-08-10,83
2025-08-17,80
2025-08-24,78
2025-08-31,79
2025-09-07,76
2025-09-14,77
2025-09-21,80
2025-09-28,78
2025-10-05,81
2025-10-12,76
2025-10-19,78
2025-10-26,78
2025-11-02,79
2025-11-09,80
2025-11-16,83
2025-11-23,86
2025-11-30,77
2025-12-07,81
2025-12-14,75
2025-12-21,76
2025-12-28,76
2026-01-04,83
2026-01-11,78
2026-01-18,82
2026-01-25,85
2026-02-01,86
2026-02-08,81
2026-02-15,85
2026-02-22,87
2026-03-01,87
2026-03-08,93
2026-03-15,90
2026-03-22,94
2026-03-29,97
2026-04-05,98
2026-04-12,100
2026-04-19,98
2026-04-26,96
2026-05-03,92
2026-05-10,98
2026-05-17,99
2026-05-24,97
2026-05-31,94
