Time,bbc news
2023-12-22,31
2023-12-23,32
2023-12-24,30
2023-12-25,33
2023-12-26,33
2023-12-27,32
2023-12-28,31
2023-12-29,31
2023-12-30,31
2023-12-31,31
2024-01-01,40
2024-01-02,37
2024-01-03,39
2024-01-04,35
2024-01-05,32
2024-01-06,32
2024-01-07,36
2024-01-08,32
2024-01-09,34
2024-01-10,34
2024-01-11,35
2024-01-12,38
2024-01-13,30
2024-01-14,35
2024-01-15,35
2024-01-16,36
2024-01-17,34
2024-01-18,35
2024-01-19,33
2024-01-20,29
2024-01-21,30
2024-01-22,32
2024-01-23,34
2024-01-24,36
2024-01-25,34
2024-01-26,33
2024-01-27,28
2024-01-28,29
2024-01-29,33
2024-01-30,33
2024-01-31,30
2024-02-01,30
2024-02-02,30
2024-02-03,29
2024-02-04,28
2024-02-05,35
2024-02-06,35
2024-02-07,34
2024-02-08,33
2024-02-09,33
2024-02-10,29
2024-02-11,29
2024-02-12,31
2024-02-13,31
2024-02-14,33
2024-02-15,33
2024-02-16,33
2024-02-17,28
2024-02-18,27
2024-02-19,31
2024-02-20,31
2024-02-21,31
2024-02-22,32
2024-02-23,31
2024-02-24,29
2024-02-25,28
2024-02-26,31
2024-02-27,29
2024-02-28,29
2024-02-29,29
2024-03-01,32
2024-03-02,29
2024-03-03,27
2024-03-04,30
2024-03-05,32
2024-03-06,31
2024-03-07,28
2024-03-08,31
2024-03-09,26
2024-03-10,27
2024-03-11,29
2024-03-12,29
2024-03-13,29
2024-03-14,29
2024-03-15,28
2024-03-16,29
2024-03-17,45
2024-03-18,77
2024-03-19,44
2024-03-20,38
2024-03-21,30
2024-03-22,51
2024-03-23,38
2024-03-24,31
2024-03-25,32
2024-03-26,39
2024-03-27,32
2024-03-28,29
2024-03-29,28
2024-03-30,28
2024-03-31,28
2024-04-01,28
2024-04-02,30
2024-04-03,32
2024-04-04,29
2024-04-05,30
2024-04-06,27
2024-04-07,32
2024-04-08,74
2024-04-09,32
2024-04-10,28
2024-04-11,27
2024-04-12,28
2024-04-13,44
2024-04-14,58
2024-04-15,38
2024-04-16,34
2024-04-17,29
2024-04-18,31
2024-04-19,48
2024-04-20,30
2024-04-21,29
2024-04-22,31
2024-04-23,33
2024-04-24,30
2024-04-25,30
2024-04-26,28
2024-04-27,27
2024-04-28,25
2024-04-29,28
2024-04-30,28
2024-05-01,27
2024-05-02,28
2024-05-03,27
2024-05-04,25
2024-05-05,22
2024-05-06,27
2024-05-07,28
2024-05-08,25
2024-05-09,27
2024-05-10,28
2024-05-11,25
2024-05-12,27
2024-05-13,27
2024-05-14,26
2024-05-15,28
2024-05-16,28
2024-05-17,24
2024-05-18,23
2024-05-19,34
2024-05-20,39
2024-05-21,30
2024-05-22,30
2024-05-23,29
2024-05-24,27
2024-05-25,26
2024-05-26,28
2024-05-27,26
2024-05-28,31
2024-05-29,27
2024-05-30,41
2024-05-31,40
2024-06-01,27
2024-06-02,28
2024-06-03,28
2024-06-04,29
2024-06-05,28
2024-06-06,27
2024-06-07,28
2024-06-08,27
2024-06-09,28
2024-06-10,28
2024-06-11,28
2024-06-12,28
2024-06-13,26
2024-06-14,26
2024-06-15,27
2024-06-16,23
2024-06-17,28
2024-06-18,25
2024-06-19,26
2024-06-20,27
2024-06-21,25
2024-06-22,24
2024-06-23,24
2024-06-24,27
2024-06-25,26
2024-06-26,27
2024-06-27,26
2024-06-28,40
2024-06-29,27
2024-06-30,29
2024-07-01,29
2024-07-02,28
2024-07-03,28
2024-07-04,47
2024-07-05,50
2024-07-06,29
2024-07-07,31
2024-07-08,31
2024-07-09,29
2024-07-10,30
2024-07-11,29
2024-07-12,32
2024-07-13,43
2024-07-14,100
2024-07-15,43
2024-07-16,37
2024-07-17,33
2024-07-18,34
2024-07-19,47
2024-07-20,34
2024-07-21,49
2024-07-22,42
2024-07-23,36
2024-07-24,33
2024-07-25,33
2024-07-26,30
2024-07-27,29
2024-07-28,31
2024-07-29,36
2024-07-30,35
2024-07-31,35
2024-08-01,35
2024-08-02,33
2024-08-03,33
2024-08-04,35
2024-08-05,42
2024-08-06,38
2024-08-07,40
2024-08-08,36
2024-08-09,33
2024-08-10,30
2024-08-11,31
2024-08-12,35
2024-08-13,35
2024-08-14,33
2024-08-15,30
2024-08-16,28
2024-08-17,27
2024-08-18,26
2024-08-19,30
2024-08-20,31
2024-08-21,29
2024-08-22,28
2024-08-23,29
2024-08-24,28
2024-08-25,30
2024-08-26,31
2024-08-27,30
2024-08-28,30
2024-08-29,29
2024-08-30,28
2024-08-31,23
2024-09-01,24
2024-09-02,27
2024-09-03,27
2024-09-04,28
2024-09-05,28
2024-09-06,26
2024-09-07,22
2024-09-08,25
2024-09-09,29
2024-09-10,26
2024-09-11,45
2024-09-12,30
2024-09-13,28
2024-09-14,25
2024-09-15,28
2024-09-16,33
