Time,bbc news
2023-04-26,39
2023-04-27,41
2023-04-28,39
2023-04-29,37
2023-04-30,39
2023-05-01,43
2023-05-02,43
2023-05-03,45
2023-05-04,43
2023-05-05,46
2023-05-06,61
2023-05-07,45
2023-05-08,46
2023-05-09,48
2023-05-10,47
2023-05-11,45
2023-05-12,43
2023-05-13,41
2023-05-14,44
2023-05-15,46
2023-05-16,46
2023-05-17,45
2023-05-18,44
2023-05-19,40
2023-05-20,36
2023-05-21,37
2023-05-22,45
2023-05-23,41
2023-05-24,43
2023-05-25,44
2023-05-26,40
2023-05-27,40
2023-05-28,40
2023-05-29,39
2023-05-30,40
2023-05-31,44
2023-06-01,42
2023-06-02,42
2023-06-03,38
2023-06-04,39
2023-06-05,42
2023-06-06,44
2023-06-07,48
2023-06-08,45
2023-06-09,49
2023-06-10,44
2023-06-11,44
2023-06-12,46
2023-06-13,49
2023-06-14,47
2023-06-15,42
2023-06-16,42
2023-06-17,42
2023-06-18,39
2023-06-19,52
2023-06-20,55
2023-06-21,65
2023-06-22,84
2023-06-23,54
2023-06-24,100
2023-06-25,66
2023-06-26,55
2023-06-27,49
2023-06-28,48
2023-06-29,49
2023-06-30,46
2023-07-01,45
2023-07-02,45
2023-07-03,44
2023-07-04,46
2023-07-05,48
2023-07-06,46
2023-07-07,42
2023-07-08,43
2023-07-09,43
2023-07-10,47
2023-07-11,44
2023-07-12,46
2023-07-13,43
2023-07-14,46
2023-07-15,40
2023-07-16,41
2023-07-17,43
2023-07-18,44
2023-07-19,45
2023-07-20,43
2023-07-21,42
2023-07-22,41
2023-07-23,40
2023-07-24,45
2023-07-25,43
2023-07-26,45
2023-07-27,45
2023-07-28,43
2023-07-29,40
2023-07-30,40
2023-07-31,43
2023-08-01,44
2023-08-02,46
2023-08-03,43
2023-08-04,41
2023-08-05,38
2023-08-06,38
2023-08-07,44
2023-08-08,44
2023-08-09,42
2023-08-10,47
2023-08-11,44
2023-08-12,38
2023-08-13,39
2023-08-14,42
2023-08-15,47
2023-08-16,44
2023-08-17,42
2023-08-18,41
2023-08-19,37
2023-08-20,40
2023-08-21,44
2023-08-22,45
2023-08-23,56
2023-08-24,53
2023-08-25,46
2023-08-26,37
2023-08-27,40
2023-08-28,44
2023-08-29,42
2023-08-30,42
2023-08-31,43
2023-09-01,38
2023-09-02,35
2023-09-03,36
2023-09-04,37
2023-09-05,41
2023-09-06,41
2023-09-07,39
2023-09-08,40
2023-09-09,36
2023-09-10,34
2023-09-11,42
2023-09-12,41
2023-09-13,42
2023-09-14,42
2023-09-15,40
2023-09-16,34
2023-09-17,34
2023-09-18,39
2023-09-19,41
2023-09-20,40
2023-09-21,41
2023-09-22,37
2023-09-23,36
2023-09-24,38
2023-09-25,42
2023-09-26,39
2023-09-27,41
2023-09-28,42
2023-09-29,41
2023-09-30,35
2023-10-01,36
2023-10-02,41
2023-10-03,45
2023-10-04,41
2023-10-05,41
2023-10-06,40
2023-10-07,67
2023-10-08,85
2023-10-09,96
2023-10-10,90
2023-10-11,77
2023-10-12,79
2023-10-13,88
2023-10-14,72
2023-10-15,70
2023-10-16,70
2023-10-17,73
2023-10-18,78
2023-10-19,66
2023-10-20,65
2023-10-21,51
2023-10-22,56
2023-10-23,59
2023-10-24,59
2023-10-25,54
2023-10-26,60
2023-10-27,60
2023-10-28,50
2023-10-29,58
2023-10-30,58
2023-10-31,55
2023-11-01,54
2023-11-02,51
2023-11-03,47
2023-11-04,46
2023-11-05,47
2023-11-06,50
2023-11-07,48
2023-11-08,49
2023-11-09,47
2023-11-10,43
2023-11-11,43
2023-11-12,44
2023-11-13,48
2023-11-14,49
2023-11-15,51
2023-11-16,47
2023-11-17,45
2023-11-18,45
2023-11-19,47
2023-11-20,50
2023-11-21,45
2023-11-22,44
2023-11-23,42
2023-11-24,46
2023-11-25,41
2023-11-26,43
2023-11-27,42
2023-11-28,41
2023-11-29,42
2023-11-30,40
2023-12-01,40
2023-12-02,36
2023-12-03,37
2023-12-04,39
2023-12-05,43
2023-12-06,43
2023-12-07,41
2023-12-08,39
2023-12-09,39
2023-12-10,38
2023-12-11,41
2023-12-12,43
2023-12-13,39
2023-12-14,40
2023-12-15,36
2023-12-16,36
2023-12-17,34
2023-12-18,39
2023-12-19,41
2023-12-20,42
2023-12-21,39
2023-12-22,38
2023-12-23,39
2023-12-24,37
2023-12-25,41
2023-12-26,41
2023-12-27,40
2023-12-28,38
2023-12-29,39
2023-12-30,38
2023-12-31,38
2024-01-01,50
2024-01-02,47
2024-01-03,48
2024-01-04,44
2024-01-05,40
2024-01-06,40
2024-01-07,45
2024-01-08,40
2024-01-09,42
2024-01-10,43
2024-01-11,43
2024-01-12,47
2024-01-13,37
2024-01-14,44
2024-01-15,44
2024-01-16,44
2024-01-17,42
2024-01-18,44
2024-01-19,41
2024-01-20,37
