Time,sonic
2023-04-26,57
2023-04-27,58
2023-04-28,58
2023-04-29,70
2023-04-30,77
2023-05-01,55
2023-05-02,55
2023-05-03,56
2023-05-04,57
2023-05-05,57
2023-05-06,69
2023-05-07,73
2023-05-08,58
2023-05-09,56
2023-05-10,54
2023-05-11,54
2023-05-12,59
2023-05-13,70
2023-05-14,69
2023-05-15,55
2023-05-16,61
2023-05-17,66
2023-05-18,59
2023-05-19,63
2023-05-20,70
2023-05-21,73
2023-05-22,58
2023-05-23,59
2023-05-24,57
2023-05-25,63
2023-05-26,66
2023-05-27,74
2023-05-28,78
2023-05-29,77
2023-05-30,60
2023-05-31,62
2023-06-01,61
2023-06-02,65
2023-06-03,75
2023-06-04,99
2023-06-05,100
2023-06-06,68
2023-06-07,64
2023-06-08,67
2023-06-09,70
2023-06-10,75
2023-06-11,71
2023-06-12,62
2023-06-13,60
2023-06-14,62
2023-06-15,65
2023-06-16,65
2023-06-17,77
2023-06-18,74
2023-06-19,69
2023-06-20,62
2023-06-21,63
2023-06-22,62
2023-06-23,76
2023-06-24,85
2023-06-25,84
2023-06-26,67
2023-06-27,67
2023-06-28,63
2023-06-29,65
2023-06-30,68
2023-07-01,74
2023-07-02,75
2023-07-03,71
2023-07-04,82
2023-07-05,66
2023-07-06,62
2023-07-07,64
2023-07-08,71
2023-07-09,76
2023-07-10,60
2023-07-11,62
2023-07-12,60
2023-07-13,67
2023-07-14,69
2023-07-15,77
2023-07-16,76
2023-07-17,62
2023-07-18,62
2023-07-19,66
2023-07-20,64
2023-07-21,63
2023-07-22,74
2023-07-23,76
2023-07-24,63
2023-07-25,62
2023-07-26,63
2023-07-27,62
2023-07-28,64
2023-07-29,74
2023-07-30,72
2023-07-31,61
2023-08-01,64
2023-08-02,60
2023-08-03,61
2023-08-04,62
2023-08-05,73
2023-08-06,80
2023-08-07,61
2023-08-08,58
2023-08-09,57
2023-08-10,59
2023-08-11,61
2023-08-12,68
2023-08-13,68
2023-08-14,60
2023-08-15,55
2023-08-16,61
2023-08-17,56
2023-08-18,57
2023-08-19,74
2023-08-20,72
2023-08-21,56
2023-08-22,57
2023-08-23,60
2023-08-24,55
2023-08-25,56
2023-08-26,68
2023-08-27,71
2023-08-28,51
2023-08-29,50
2023-08-30,52
2023-08-31,53
2023-09-01,55
2023-09-02,66
2023-09-03,66
2023-09-04,69
2023-09-05,53
2023-09-06,48
2023-09-07,49
2023-09-08,51
2023-09-09,63
2023-09-10,62
2023-09-11,47
2023-09-12,47
2023-09-13,49
2023-09-14,45
2023-09-15,52
2023-09-16,62
2023-09-17,60
2023-09-18,50
2023-09-19,49
2023-09-20,52
2023-09-21,54
2023-09-22,53
2023-09-23,63
2023-09-24,61
2023-09-25,50
2023-09-26,49
2023-09-27,49
2023-09-28,56
2023-09-29,63
2023-09-30,71
2023-10-01,68
2023-10-02,52
2023-10-03,52
2023-10-04,53
2023-10-05,55
2023-10-06,55
2023-10-07,62
2023-10-08,63
2023-10-09,52
2023-10-10,51
2023-10-11,51
2023-10-12,53
2023-10-13,54
2023-10-14,63
2023-10-15,63
2023-10-16,52
2023-10-17,59
2023-10-18,58
2023-10-19,57
2023-10-20,56
2023-10-21,65
2023-10-22,64
2023-10-23,51
2023-10-24,48
2023-10-25,49
2023-10-26,49
2023-10-27,51
2023-10-28,59
2023-10-29,58
2023-10-30,48
2023-10-31,58
2023-11-01,52
2023-11-02,46
2023-11-03,48
2023-11-04,63
2023-11-05,57
2023-11-06,46
2023-11-07,47
2023-11-08,49
2023-11-09,51
2023-11-10,50
2023-11-11,58
2023-11-12,58
2023-11-13,45
2023-11-14,42
2023-11-15,48
2023-11-16,50
2023-11-17,52
2023-11-18,57
2023-11-19,58
2023-11-20,49
2023-11-21,50
2023-11-22,51
2023-11-23,63
2023-11-24,57
2023-11-25,57
2023-11-26,58
2023-11-27,51
2023-11-28,49
2023-11-29,53
2023-11-30,52
2023-12-01,54
2023-12-02,57
2023-12-03,74
2023-12-04,54
2023-12-05,54
2023-12-06,52
2023-12-07,53
2023-12-08,53
2023-12-09,61
2023-12-10,64
2023-12-11,50
2023-12-12,52
2023-12-13,51
2023-12-14,52
2023-12-15,54
2023-12-16,61
2023-12-17,63
2023-12-18,53
2023-12-19,51
2023-12-20,54
2023-12-21,60
2023-12-22,56
2023-12-23,64
2023-12-24,64
2023-12-25,73
2023-12-26,59
2023-12-27,56
2023-12-28,55
2023-12-29,57
2023-12-30,60
2023-12-31,61
2024-01-01,65
2024-01-02,50
2024-01-03,54
2024-01-04,51
2024-01-05,50
2024-01-06,60
2024-01-07,60
2024-01-08,48
2024-01-09,45
2024-01-10,48
2024-01-11,56
2024-01-12,57
2024-01-13,63
2024-01-14,60
2024-01-15,52
2024-01-16,49
2024-01-17,52
2024-01-18,52
2024-01-19,51
2024-01-20,61
