Time,sonic
2025-12-11,58
2025-12-12,59
2025-12-13,64
2025-12-14,62
2025-12-15,56
2025-12-16,54
2025-12-17,59
2025-12-18,61
2025-12-19,58
2025-12-20,68
2025-12-21,69
2025-12-22,67
2025-12-23,62
2025-12-24,68
2025-12-25,80
2025-12-26,69
2025-12-27,67
2025-12-28,66
2025-12-29,60
2025-12-30,57
2025-12-31,61
2026-01-01,69
2026-01-02,65
2026-01-03,63
2026-01-04,61
2026-01-05,53
2026-01-06,54
2026-01-07,53
2026-01-08,56
2026-01-09,57
2026-01-10,68
2026-01-11,71
2026-01-12,60
2026-01-13,57
2026-01-14,59
2026-01-15,56
2026-01-16,58
2026-01-17,68
2026-01-18,73
2026-01-19,62
2026-01-20,55
2026-01-21,57
2026-01-22,55
2026-01-23,58
2026-01-24,61
2026-01-25,56
2026-01-26,51
2026-01-27,55
2026-01-28,52
2026-01-29,54
2026-01-30,56
2026-01-31,65
2026-02-01,66
2026-02-02,56
2026-02-03,53
2026-02-04,54
2026-02-05,56
2026-02-06,60
2026-02-07,68
2026-02-08,64
2026-02-09,49
2026-02-10,54
2026-02-11,54
2026-02-12,55
2026-02-13,55
2026-02-14,64
2026-02-15,70
2026-02-16,62
2026-02-17,58
2026-02-18,56
2026-02-19,60
2026-02-20,58
2026-02-21,72
2026-02-22,66
2026-02-23,55
2026-02-24,57
2026-02-25,55
2026-02-26,58
2026-02-27,60
2026-02-28,70
2026-03-01,72
2026-03-02,55
2026-03-03,59
2026-03-04,60
2026-03-05,59
2026-03-06,62
2026-03-07,70
2026-03-08,72
2026-03-09,61
2026-03-10,62
2026-03-11,59
2026-03-12,61
2026-03-13,63
2026-03-14,68
2026-03-15,71
2026-03-16,60
2026-03-17,61
2026-03-18,61
2026-03-19,71
2026-03-20,71
2026-03-21,81
2026-03-22,80
2026-03-23,63
2026-03-24,62
2026-03-25,64
2026-03-26,64
2026-03-27,64
2026-03-28,75
2026-03-29,77
2026-03-30,62
2026-03-31,64
2026-04-01,68
2026-04-02,69
2026-04-03,70
2026-04-04,75
2026-04-05,83
2026-04-06,70
2026-04-07,65
2026-04-08,66
2026-04-09,67
2026-04-10,100
2026-04-11,90
2026-04-12,80
2026-04-13,65
2026-04-14,67
2026-04-15,65
2026-04-16,69
2026-04-17,71
2026-04-18,80
2026-04-19,75
2026-04-20,65
2026-04-21,63
2026-04-22,63
2026-04-23,68
2026-04-24,64
2026-04-25,74
2026-04-26,78
2026-04-27,64
2026-04-28,61
2026-04-29,63
2026-04-30,63
2026-05-01,67
2026-05-02,74
2026-05-03,81
2026-05-04,66
2026-05-05,60
2026-05-06,62
2026-05-07,64
2026-05-08,65
2026-05-09,77
2026-05-10,79
2026-05-11,64
2026-05-12,61
2026-05-13,69
2026-05-14,75
2026-05-15,77
2026-05-16,93
2026-05-17,91
2026-05-18,74
2026-05-19,77
2026-05-20,65
2026-05-21,66
2026-05-22,74
2026-05-23,76
2026-05-24,78
2026-05-25,77
2026-05-26,65
2026-05-27,70
2026-05-28,75
2026-05-29,81
2026-05-30,92
2026-05-31,97
