Time,nvda stock
2022-01-01,7
2022-01-02,6
2022-01-03,35
2022-01-04,49
2022-01-05,44
2022-01-06,35
2022-01-07,37
2022-01-08,10
2022-01-09,5
2022-01-10,43
2022-01-11,42
2022-01-12,30
2022-01-13,39
2022-01-14,29
2022-01-15,9
2022-01-16,4
2022-01-17,9
2022-01-18,30
2022-01-19,32
2022-01-20,36
2022-01-21,40
2022-01-22,13
2022-01-23,7
2022-01-24,74
2022-01-25,43
2022-01-26,37
2022-01-27,40
2022-01-28,40
2022-01-29,11
2022-01-30,7
2022-01-31,36
2022-02-01,42
2022-02-02,49
2022-02-03,37
2022-02-04,32
2022-02-05,8
2022-02-06,5
2022-02-07,34
2022-02-08,49
2022-02-09,35
2022-02-10,32
2022-02-11,37
2022-02-12,10
2022-02-13,6
2022-02-14,41
2022-02-15,56
2022-02-16,100
2022-02-17,97
2022-02-18,58
2022-02-19,12
2022-02-20,5
2022-02-21,11
2022-02-22,42
2022-02-23,37
2022-02-24,47
2022-02-25,38
2022-02-26,10
2022-02-27,6
2022-02-28,35
2022-03-01,28
2022-03-02,30
2022-03-03,27
2022-03-04,29
2022-03-05,7
2022-03-06,3
2022-03-07,38
2022-03-08,30
2022-03-09,32
2022-03-10,30
2022-03-11,28
2022-03-12,8
2022-03-13,4
2022-03-14,32
2022-03-15,29
2022-03-16,40
2022-03-17,33
2022-03-18,37
2022-03-19,10
2022-03-20,7
2022-03-21,39
2022-03-22,40
2022-03-23,29
2022-03-24,48
2022-03-25,41
2022-03-26,10
2022-03-27,6
2022-03-28,33
2022-03-29,35
2022-03-30,36
2022-03-31,27
2022-04-01,26
2022-04-02,7
2022-04-03,4
2022-04-04,28
2022-04-05,27
2022-04-06,34
2022-04-07,28
2022-04-08,32
2022-04-09,11
2022-04-10,5
2022-04-11,41
2022-04-12,35
2022-04-13,34
2022-04-14,30
2022-04-15,12
2022-04-16,6
2022-04-17,4
2022-04-18,33
2022-04-19,28
2022-04-20,31
2022-04-21,36
2022-04-22,39
2022-04-23,11
2022-04-24,6
2022-04-25,34
2022-04-26,37
2022-04-27,33
2022-04-28,37
2022-04-29,30
2022-04-30,10
2022-05-01,6
2022-05-02,28
2022-05-03,29
2022-05-04,30
2022-05-05,30
2022-05-06,29
2022-05-07,8
2022-05-08,6
2022-05-09,38
2022-05-10,31
2022-05-11,37
2022-05-12,39
2022-05-13,34
2022-05-14,8
2022-05-15,5
2022-05-16,27
2022-05-17,31
2022-05-18,31
2022-05-19,30
2022-05-20,33
2022-05-21,8
2022-05-22,5
2022-05-23,31
2022-05-24,33
2022-05-25,82
2022-05-26,75
2022-05-27,38
2022-05-28,9
2022-05-29,5
2022-05-30,6
2022-05-31,31
2022-06-01,27
2022-06-02,29
2022-06-03,27
2022-06-04,5
2022-06-05,4
2022-06-06,26
2022-06-07,24
2022-06-08,24
2022-06-09,23
2022-06-10,24
2022-06-11,5
2022-06-12,4
2022-06-13,29
2022-06-14,25
2022-06-15,25
2022-06-16,25
2022-06-17,24
2022-06-18,5
2022-06-19,4
2022-06-20,8
2022-06-21,24
2022-06-22,22
2022-06-23,22
2022-06-24,21
2022-06-25,6
2022-06-26,4
2022-06-27,20
2022-06-28,20
2022-06-29,26
2022-06-30,27
2022-07-01,29
2022-07-02,9
2022-07-03,5
2022-07-04,5
2022-07-05,26
2022-07-06,24
2022-07-07,24
2022-07-08,19
2022-07-09,5
2022-07-10,3
2022-07-11,21
2022-07-12,20
2022-07-13,20
2022-07-14,21
2022-07-15,24
2022-07-16,9
2022-07-17,7
2022-07-18,36
2022-07-19,39
2022-07-20,44
2022-07-21,36
2022-07-22,31
2022-07-23,7
2022-07-24,5
2022-07-25,25
2022-07-26,26
2022-07-27,38
2022-07-28,35
2022-07-29,29
2022-07-30,6
2022-07-31,5
2022-08-01,25
2022-08-02,29
2022-08-03,28
2022-08-04,28
2022-08-05,25
2022-08-06,4
2022-08-07,5
2022-08-08,49
2022-08-09,38
2022-08-10,32
2022-08-11,29
2022-08-12,26
2022-08-13,6
2022-08-14,4
2022-08-15,26
2022-08-16,25
2022-08-17,23
2022-08-18,23
2022-08-19,21
2022-08-20,5
2022-08-21,4
2022-08-22,22
2022-08-23,24
2022-08-24,51
2022-08-25,49
2022-08-26,32
2022-08-27,7
2022-08-28,4
2022-08-29,25
2022-08-30,25
2022-08-31,30
2022-09-01,67
2022-09-02,42
2022-09-03,9
2022-09-04,5
2022-09-05,5
2022-09-06,26
2022-09-07,26
2022-09-08,21
2022-09-09,22
2022-09-10,5
2022-09-11,3
2022-09-12,22
2022-09-13,28
2022-09-14,26
2022-09-15,23
2022-09-16,26
2022-09-17,6
2022-09-18,3
2022-09-19,24
2022-09-20,25
2022-09-21,26
2022-09-22,26
2022-09-23,24
2022-09-24,8
2022-09-25,3
2022-09-26,21
2022-09-27,22
