Time,nvda stock
2025-12-11,45
2025-12-12,40
2025-12-13,10
2025-12-14,7
2025-12-15,36
2025-12-16,35
2025-12-17,40
2025-12-18,42
2025-12-19,39
2025-12-20,10
2025-12-21,7
2025-12-22,39
2025-12-23,38
2025-12-24,32
2025-12-25,10
2025-12-26,38
2025-12-27,10
2025-12-28,7
2025-12-29,36
2025-12-30,30
2025-12-31,30
2026-01-01,9
2026-01-02,34
2026-01-03,9
2026-01-04,7
2026-01-05,41
2026-01-06,41
2026-01-07,38
2026-01-08,34
2026-01-09,34
2026-01-10,8
2026-01-11,6
2026-01-12,33
2026-01-13,32
2026-01-14,30
2026-01-15,33
2026-01-16,30
2026-01-17,8
2026-01-18,5
2026-01-19,11
2026-01-20,35
2026-01-21,37
2026-01-22,33
2026-01-23,30
2026-01-24,8
2026-01-25,5
2026-01-26,30
2026-01-27,31
2026-01-28,36
2026-01-29,37
2026-01-30,32
2026-01-31,9
2026-02-01,7
2026-02-02,33
2026-02-03,37
2026-02-04,41
2026-02-05,40
2026-02-06,43
2026-02-07,11
2026-02-08,7
2026-02-09,34
2026-02-10,32
2026-02-11,33
2026-02-12,32
2026-02-13,31
2026-02-14,7
2026-02-15,6
2026-02-16,10
2026-02-17,30
2026-02-18,34
2026-02-19,27
2026-02-20,29
2026-02-21,10
2026-02-22,7
2026-02-23,33
2026-02-24,39
2026-02-25,77
2026-02-26,79
2026-02-27,49
2026-02-28,13
2026-03-01,8
2026-03-02,44
2026-03-03,41
2026-03-04,39
2026-03-05,38
2026-03-06,35
2026-03-07,8
2026-03-08,8
2026-03-09,39
2026-03-10,35
2026-03-11,35
2026-03-12,28
2026-03-13,30
2026-03-14,8
2026-03-15,23
2026-03-16,41
2026-03-17,50
2026-03-18,46
2026-03-19,47
2026-03-20,40
2026-03-21,13
2026-03-22,7
2026-03-23,33
2026-03-24,31
2026-03-25,31
2026-03-26,31
2026-03-27,34
2026-03-28,10
2026-03-29,7
2026-03-30,34
2026-03-31,37
2026-04-01,32
2026-04-02,31
2026-04-03,13
2026-04-04,5
2026-04-05,4
2026-04-06,28
2026-04-07,26
2026-04-08,38
2026-04-09,30
2026-04-10,31
2026-04-11,8
2026-04-12,7
2026-04-13,30
2026-04-14,33
2026-04-15,39
2026-04-16,38
2026-04-17,43
2026-04-18,10
2026-04-19,7
2026-04-20,32
2026-04-21,33
2026-04-22,33
2026-04-23,34
2026-04-24,46
2026-04-25,11
2026-04-26,8
2026-04-27,45
2026-04-28,46
2026-04-29,38
2026-04-30,43
2026-05-01,39
2026-05-02,10
2026-05-03,8
2026-05-04,37
2026-05-05,38
2026-05-06,45
2026-05-07,42
2026-05-08,45
2026-05-09,12
2026-05-10,9
2026-05-11,48
2026-05-12,43
2026-05-13,55
2026-05-14,61
2026-05-15,53
2026-05-16,12
2026-05-17,9
2026-05-18,47
2026-05-19,45
2026-05-20,100
2026-05-21,80
2026-05-22,50
2026-05-23,15
2026-05-24,8
2026-05-25,11
2026-05-26,47
2026-05-27,45
2026-05-28,43
2026-05-29,44
2026-05-30,12
2026-05-31,9
