Time,quincy jones
2023-04-26,6
2023-04-27,8
2023-04-28,7
2023-04-29,7
2023-04-30,9
2023-05-01,5
2023-05-02,6
2023-05-03,5
2023-05-04,10
2023-05-05,11
2023-05-06,11
2023-05-07,12
2023-05-08,6
2023-05-09,5
2023-05-10,6
2023-05-11,7
2023-05-12,7
2023-05-13,8
2023-05-14,9
2023-05-15,6
2023-05-16,6
2023-05-17,5
2023-05-18,15
2023-05-19,8
2023-05-20,9
2023-05-21,8
2023-05-22,6
2023-05-23,7
2023-05-24,9
2023-05-25,7
2023-05-26,6
2023-05-27,9
2023-05-28,7
2023-05-29,9
2023-05-30,7
2023-05-31,7
2023-06-01,8
2023-06-02,6
2023-06-03,14
2023-06-04,10
2023-06-05,11
2023-06-06,12
2023-06-07,8
2023-06-08,6
2023-06-09,8
2023-06-10,7
2023-06-11,7
2023-06-12,8
2023-06-13,6
2023-06-14,7
2023-06-15,7
2023-06-16,6
2023-06-17,7
2023-06-18,86
2023-06-19,100
2023-06-20,18
2023-06-21,10
2023-06-22,8
2023-06-23,8
2023-06-24,14
2023-06-25,44
2023-06-26,23
2023-06-27,10
2023-06-28,7
2023-06-29,8
2023-06-30,7
2023-07-01,8
2023-07-02,9
2023-07-03,8
2023-07-04,11
2023-07-05,9
2023-07-06,9
2023-07-07,8
2023-07-08,11
2023-07-09,13
2023-07-10,11
2023-07-11,8
2023-07-12,9
2023-07-13,9
2023-07-14,9
2023-07-15,9
2023-07-16,10
2023-07-17,8
2023-07-18,7
2023-07-19,9
2023-07-20,10
2023-07-21,11
2023-07-22,12
2023-07-23,14
2023-07-24,13
2023-07-25,11
2023-07-26,11
2023-07-27,9
2023-07-28,11
2023-07-29,20
2023-07-30,20
2023-07-31,12
2023-08-01,9
2023-08-02,6
2023-08-03,5
2023-08-04,8
2023-08-05,9
2023-08-06,8
2023-08-07,8
2023-08-08,6
2023-08-09,7
2023-08-10,8
2023-08-11,9
2023-08-12,8
2023-08-13,10
2023-08-14,8
2023-08-15,9
2023-08-16,7
2023-08-17,5
2023-08-18,8
2023-08-19,7
2023-08-20,7
2023-08-21,7
2023-08-22,5
2023-08-23,8
2023-08-24,5
2023-08-25,7
2023-08-26,9
2023-08-27,8
2023-08-28,6
2023-08-29,6
2023-08-30,7
2023-08-31,5
2023-09-01,11
2023-09-02,6
2023-09-03,10
2023-09-04,7
2023-09-05,7
2023-09-06,4
2023-09-07,7
2023-09-08,6
2023-09-09,7
2023-09-10,7
2023-09-11,4
2023-09-12,5
2023-09-13,5
2023-09-14,5
2023-09-15,8
2023-09-16,10
2023-09-17,7
2023-09-18,7
2023-09-19,12
2023-09-20,6
2023-09-21,6
2023-09-22,6
2023-09-23,9
2023-09-24,8
2023-09-25,5
2023-09-26,6
2023-09-27,5
2023-09-28,9
2023-09-29,7
2023-09-30,8
2023-10-01,9
2023-10-02,5
2023-10-03,5
2023-10-04,5
2023-10-05,4
2023-10-06,5
2023-10-07,6
2023-10-08,6
2023-10-09,6
2023-10-10,6
2023-10-11,5
2023-10-12,8
2023-10-13,8
2023-10-14,12
2023-10-15,14
2023-10-16,9
2023-10-17,8
2023-10-18,7
2023-10-19,7
2023-10-20,7
2023-10-21,8
2023-10-22,10
2023-10-23,8
2023-10-24,5
2023-10-25,8
2023-10-26,5
2023-10-27,6
2023-10-28,8
2023-10-29,6
2023-10-30,7
2023-10-31,6
2023-11-01,6
2023-11-02,6
2023-11-03,6
2023-11-04,6
2023-11-05,6
2023-11-06,5
2023-11-07,4
2023-11-08,4
2023-11-09,5
2023-11-10,6
2023-11-11,6
2023-11-12,8
2023-11-13,5
2023-11-14,5
2023-11-15,7
2023-11-16,8
2023-11-17,9
2023-11-18,10
2023-11-19,11
2023-11-20,7
2023-11-21,8
2023-11-22,10
2023-11-23,10
2023-11-24,10
2023-11-25,11
2023-11-26,11
2023-11-27,7
2023-11-28,6
2023-11-29,9
2023-11-30,9
2023-12-01,6
2023-12-02,9
2023-12-03,9
2023-12-04,6
2023-12-05,6
2023-12-06,8
2023-12-07,7
2023-12-08,7
2023-12-09,9
2023-12-10,8
2023-12-11,7
2023-12-12,6
2023-12-13,20
2023-12-14,15
2023-12-15,7
2023-12-16,9
2023-12-17,9
2023-12-18,7
2023-12-19,8
2023-12-20,7
2023-12-21,9
2023-12-22,7
2023-12-23,7
2023-12-24,9
2023-12-25,9
2023-12-26,7
2023-12-27,7
2023-12-28,6
2023-12-29,8
2023-12-30,7
2023-12-31,7
2024-01-01,8
2024-01-02,5
2024-01-03,5
2024-01-04,7
2024-01-05,4
2024-01-06,7
2024-01-07,8
2024-01-08,7
2024-01-09,6
2024-01-10,7
2024-01-11,6
2024-01-12,6
2024-01-13,9
2024-01-14,9
2024-01-15,6
2024-01-16,5
2024-01-17,8
2024-01-18,9
2024-01-19,8
2024-01-20,10
