Time,hobby lobby
2022-08-29,32
2022-08-30,32
2022-08-31,29
2022-09-01,31
2022-09-02,36
2022-09-03,51
2022-09-04,37
2022-09-05,72
2022-09-06,32
2022-09-07,31
2022-09-08,29
2022-09-09,32
2022-09-10,47
2022-09-11,30
2022-09-12,32
2022-09-13,31
2022-09-14,29
2022-09-15,31
2022-09-16,32
2022-09-17,48
2022-09-18,28
2022-09-19,33
2022-09-20,29
2022-09-21,29
2022-09-22,31
2022-09-23,33
2022-09-24,46
2022-09-25,29
2022-09-26,33
2022-09-27,29
2022-09-28,30
2022-09-29,31
2022-09-30,33
2022-10-01,43
2022-10-02,30
2022-10-03,35
2022-10-04,32
2022-10-05,31
2022-10-06,31
2022-10-07,37
2022-10-08,46
2022-10-09,30
2022-10-10,38
2022-10-11,30
2022-10-12,31
2022-10-13,32
2022-10-14,36
2022-10-15,45
2022-10-16,29
2022-10-17,34
2022-10-18,32
2022-10-19,34
2022-10-20,31
2022-10-21,36
2022-10-22,49
2022-10-23,38
2022-10-24,40
2022-10-25,43
2022-10-26,42
2022-10-27,42
2022-10-28,44
2022-10-29,56
2022-10-30,35
2022-10-31,38
2022-11-01,37
2022-11-02,44
2022-11-03,45
2022-11-04,50
2022-11-05,74
2022-11-06,52
2022-11-07,53
2022-11-08,51
2022-11-09,45
2022-11-10,49
2022-11-11,60
2022-11-12,82
2022-11-13,62
2022-11-14,56
2022-11-15,54
2022-11-16,50
2022-11-17,48
2022-11-18,52
2022-11-19,75
2022-11-20,58
2022-11-21,58
2022-11-22,53
2022-11-23,56
2022-11-24,39
2022-11-25,100
2022-11-26,90
2022-11-27,65
2022-11-28,58
2022-11-29,53
2022-11-30,52
2022-12-01,51
2022-12-02,53
2022-12-03,71
2022-12-04,54
2022-12-05,51
2022-12-06,48
2022-12-07,45
2022-12-08,46
2022-12-09,48
2022-12-10,63
2022-12-11,48
2022-12-12,48
2022-12-13,45
2022-12-14,43
2022-12-15,41
2022-12-16,47
2022-12-17,63
2022-12-18,42
2022-12-19,48
2022-12-20,46
2022-12-21,47
2022-12-22,44
2022-12-23,46
2022-12-24,55
2022-12-25,25
2022-12-26,81
2022-12-27,47
2022-12-28,43
2022-12-29,43
2022-12-30,42
2022-12-31,47
2023-01-01,30
2023-01-02,62
2023-01-03,36
2023-01-04,34
2023-01-05,32
2023-01-06,33
2023-01-07,46
2023-01-08,31
2023-01-09,31
2023-01-10,28
2023-01-11,27
2023-01-12,27
2023-01-13,31
2023-01-14,43
2023-01-15,31
2023-01-16,44
2023-01-17,27
2023-01-18,25
2023-01-19,26
2023-01-20,30
2023-01-21,45
2023-01-22,29
2023-01-23,29
2023-01-24,26
2023-01-25,25
2023-01-26,26
2023-01-27,29
2023-01-28,43
2023-01-29,27
2023-01-30,25
2023-01-31,26
2023-02-01,24
2023-02-02,25
2023-02-03,30
2023-02-04,45
2023-02-05,29
2023-02-06,28
2023-02-07,29
2023-02-08,26
2023-02-09,27
2023-02-10,31
2023-02-11,44
2023-02-12,27
2023-02-13,29
2023-02-14,26
2023-02-15,22
2023-02-16,24
2023-02-17,28
2023-02-18,42
2023-02-19,29
2023-02-20,37
2023-02-21,25
2023-02-22,24
2023-02-23,24
2023-02-24,29
2023-02-25,42
2023-02-26,27
2023-02-27,26
2023-02-28,24
2023-03-01,25
2023-03-02,33
2023-03-03,28
2023-03-04,41
2023-03-05,27
2023-03-06,26
2023-03-07,26
2023-03-08,25
2023-03-09,25
2023-03-10,28
2023-03-11,40
2023-03-12,26
2023-03-13,28
2023-03-14,25
2023-03-15,26
2023-03-16,28
2023-03-17,27
2023-03-18,40
2023-03-19,25
2023-03-20,27
2023-03-21,27
2023-03-22,25
2023-03-23,25
2023-03-24,30
2023-03-25,39
2023-03-26,24
2023-03-27,26
2023-03-28,25
2023-03-29,24
2023-03-30,23
2023-03-31,25
2023-04-01,36
2023-04-02,21
2023-04-03,26
2023-04-04,23
2023-04-05,22
2023-04-06,25
2023-04-07,33
2023-04-08,36
2023-04-09,19
2023-04-10,24
2023-04-11,23
2023-04-12,22
2023-04-13,24
2023-04-14,26
2023-04-15,35
2023-04-16,23
2023-04-17,25
2023-04-18,20
2023-04-19,22
2023-04-20,23
2023-04-21,25
2023-04-22,35
2023-04-23,21
2023-04-24,25
2023-04-25,23
2023-04-26,24
2023-04-27,23
2023-04-28,25
2023-04-29,37
2023-04-30,21
2023-05-01,26
2023-05-02,23
2023-05-03,24
2023-05-04,25
2023-05-05,26
2023-05-06,36
2023-05-07,24
2023-05-08,27
2023-05-09,26
2023-05-10,26
2023-05-11,27
2023-05-12,29
2023-05-13,40
2023-05-14,22
2023-05-15,26
2023-05-16,24
2023-05-17,22
2023-05-18,26
2023-05-19,26
2023-05-20,38
2023-05-21,22
2023-05-22,25
2023-05-23,25
2023-05-24,24
2023-05-25,24
